block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4162517,50.00000000,50.00000000,0.00000000,0.00000000,2,50.00000000
4162518,100.00000000,100.00000000,0.00000000,0.00000000,4,50.00000000
4162521,52.50000000,52.50000000,0.00000000,0.00000000,6,50.00000000
4162545,1.00000000,1.00000000,0.00000000,0.00000000,7,1.00000000
4162663,53.00000000,53.00000000,0.00000000,0.00000000,8,53.00000000
4162698,0.31251436,0.00000000,0.31251436,0.31251436,9,0.31251436
4162839,0.20000000,0.00000000,0.20000000,0.51251436,9,0.20000000
4163271,0.04000000,0.04000000,0.00000000,0.51251436,10,0.04000000
4165201,0.10000000,0.10000000,0.00000000,0.51251436,11,0.10000000
4165774,50.10000000,50.10000000,0.00000000,0.51251436,12,50.10000000
4166189,1.45118043,1.45118043,0.00000000,0.51251436,13,1.45118043
4168643,0.20000000,0.20000000,0.00000000,0.51251436,14,0.20000000
4169621,2.00000000,2.00000000,0.00000000,0.51251436,15,2.00000000
4169963,1.00000000,1.00000000,0.00000000,0.51251436,16,1.00000000
4170088,0.10000000,0.10000000,0.00000000,0.51251436,17,0.10000000
4170434,0.10000000,0.10000000,0.00000000,0.51251436,18,0.10000000
4171263,0.05000000,0.05000000,0.00000000,0.51251436,19,0.05000000
4171947,1.00000000,1.00000000,0.00000000,0.51251436,20,1.00000000
4173503,3.00000000,3.00000000,0.00000000,0.51251436,20,3.00000000
4173795,2.50000000,2.50000000,0.00000000,0.51251436,21,2.50000000
4173808,0.99355900,0.99355900,0.00000000,0.51251436,22,0.99355900
4174599,0.21700000,0.21700000,0.00000000,0.51251436,23,0.21700000
4176107,0.00200000,0.00000000,0.00200000,0.51451436,24,0.00200000
4176345,0.10200000,0.00000000,0.10200000,0.61651436,25,0.10200000
4176791,65.00000000,65.00000000,0.00000000,0.61651436,26,65.00000000
4177269,1.50000000,1.50000000,0.00000000,0.61651436,27,1.50000000
4178341,0.20000000,0.20000000,0.00000000,0.61651436,28,0.20000000
4179302,3.00000000,3.00000000,0.00000000,0.61651436,29,3.00000000
4179735,0.11400000,0.11400000,0.00000000,0.61651436,30,0.11400000
4180638,0.20000000,0.20000000,0.00000000,0.61651436,31,0.20000000
4182148,50.50000000,50.50000000,0.00000000,0.61651436,32,50.50000000
4182880,50.00000000,0.00000000,50.00000000,50.61651436,32,50.00000000
4183833,0.00250000,0.00000000,0.00250000,50.61901436,32,0.00250000
4183953,1.00000000,1.00000000,0.00000000,50.61901436,33,1.00000000
4185201,55.00000000,55.00000000,0.00000000,50.61901436,33,55.00000000
