block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1259443,0.10000000,0.00300000,0.09700000,0.09700000,1,0.10000000
1259449,0.12000000,0.00360000,0.11640000,0.21340000,1,0.12000000
1259459,0.12000000,0.00360000,0.11640000,0.32980000,1,0.12000000
1260024,35.00000000,2.53400000,32.46600000,32.79580000,2,35.00000000
1266518,1.00000000,14.19400000,-13.19400000,19.60180000,2,14.00000000
1266528,0.22000000,14.60540000,-14.38540000,5.21640000,2,14.00000000
1266739,50.00000000,26.07200000,23.92800000,29.14440000,3,50.00000000
1271334,1.50000000,14.97700000,-13.47700000,15.66740000,4,14.00000000
1277227,0.11000000,14.60610000,-14.49610000,1.17130000,4,14.00000000
1284429,0.10000000,0.00000000,0.10000000,1.27130000,5,0.10000000
1284438,0.10000000,0.11900000,-0.01900000,1.25230000,5,0.10000000
1284450,0.10000000,0.12300000,-0.02300000,1.22930000,5,0.10000000
1284457,0.20000000,0.25800000,-0.05800000,1.17130000,5,0.10000000
5340370,0.00000000,0.00000000,0.00000000,1.17130000,6,0.00000000
