block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1259573,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1259777,1.00000000,1.00000000,0.00000000,1.00000000,2,1.00000000
1259791,1.00000000,1.00000000,0.00000000,1.00000000,3,1.00000000
1260043,20.00000000,20.00000000,0.00000000,1.00000000,4,20.00000000
1261028,0.00100000,0.00100000,0.00000000,1.00000000,5,0.00100000
1262543,1.00000000,1.00000000,0.00000000,1.00000000,6,1.00000000
1262697,1.00000000,1.00000000,0.00000000,1.00000000,6,1.00000000
1263123,1.00000000,1.00000000,0.00000000,1.00000000,7,1.00000000
1263193,1.00000000,1.00000000,0.00000000,1.00000000,7,1.00000000
1263418,1.00000000,1.00000000,-0.00000000,1.00000000,8,1.00000000
1263527,1.00000000,1.00000000,0.00000000,1.00000000,9,1.00000000
1263529,1.00000000,1.00000000,-0.00000000,1.00000000,10,1.00000000
1263531,1.00000000,1.00000000,0.00000000,1.00000000,11,1.00000000
1263534,2.00000000,2.00000000,0.00000000,1.00000000,13,1.00000000
1263535,1.00000000,1.00000000,0.00000000,1.00000000,14,1.00000000
1263536,1.00000000,1.00000000,0.00000000,1.00000000,15,1.00000000
1264040,1.00000000,1.00000000,0.00000000,1.00000000,15,1.00000000
1264498,1.00000000,1.00000000,0.00000000,1.00000000,15,1.00000000
1268645,1.00000000,1.00000000,0.00000000,1.00000000,15,1.00000000
1268762,1.00000000,1.00000000,-0.00000000,1.00000000,16,1.00000000
1268802,1.00000000,1.00000000,-0.00000000,1.00000000,16,1.00000000
1277108,0.10183299,0.10183299,0.00000000,1.00000000,17,0.10183299
1277170,1.00000000,0.50000000,0.50000000,1.50000000,18,1.00000000
1304574,1.00000000,1.00000000,-0.00000000,1.50000000,19,1.00000000
4521972,0.00133000,0.00000000,0.00133000,1.50133000,20,0.00133000
