block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4044867,0.00500000,0.00000000,0.00500000,0.00500000,1,0.00500000
4044894,0.00700000,0.01200000,-0.00500000,0.00000000,2,0.01200000
4045190,0.10000000,0.00000000,0.10000000,0.10000000,3,0.10000000
4062511,0.10000000,0.00000000,0.10000000,0.20000000,3,0.10000000
4068643,0.01000000,0.00000000,0.01000000,0.21000000,4,0.01000000
4068647,0.01000000,0.00000000,0.01000000,0.22000000,4,0.01000000
4068650,0.01000000,0.00000000,0.01000000,0.23000000,4,0.01000000
4068669,0.00100000,0.00000000,0.00100000,0.23100000,4,0.00100000
4068741,0.00100000,0.00000000,0.00100000,0.23200000,4,0.00100000
4068745,0.00100000,0.00000000,0.00100000,0.23300000,4,0.00100000
4068751,0.00100000,0.00000000,0.00100000,0.23400000,4,0.00100000
4068757,0.00100000,0.00000000,0.00100000,0.23500000,4,0.00100000
4071786,0.01000000,0.00000000,0.01000000,0.24500000,5,0.01000000
