block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1247345,0.00000000,0.00000000,0.00000000,0.00000000,1,0.00000000
1247357,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1247387,1.00000000,0.00000000,1.00000000,2.00000000,2,1.00000000
1247390,1.00000000,0.00000000,1.00000000,3.00000000,2,1.00000000
1247429,1.00000000,0.00000000,1.00000000,4.00000000,2,1.00000000
1247435,1.00000000,0.00000000,1.00000000,5.00000000,2,1.00000000
1247437,1.00000000,0.25600000,0.74400000,5.74400000,2,1.00000000
1256665,0.01100000,0.00077000,0.01023000,5.75423000,3,0.01100000
1256673,1.00000000,1.56618400,-0.56618400,5.18804600,3,1.49618400
24778554,0.00011000,0.00000000,0.00011000,5.18815600,4,0.00011000
