block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3254994,0.00100000,0.00000000,0.00100000,0.00100000,1,0.00100000
3266230,1.00000000,0.00000000,1.00000000,1.00100000,2,1.00000000
3266640,38.99611276,0.00000000,38.99611276,39.99711276,3,38.99611276
3266794,1.50000000,0.00000000,1.50000000,41.49711276,4,1.50000000
3266827,0.03000000,0.00000000,0.03000000,41.52711276,5,0.03000000
3266873,200.00000000,200.00000000,0.00000000,41.52711276,7,200.00000000
3266874,1784.81877650,1634.81877650,150.00000000,191.52711276,22,624.00000000
3266875,826.00000000,801.00000000,25.00000000,216.52711276,26,490.00000000
3266877,401.00000000,401.00000000,0.00000000,216.52711276,28,400.00000000
3266878,4.90000000,4.90000000,0.00000000,216.52711276,29,4.90000000
3266880,530.00000000,530.00000000,0.00000000,216.52711276,31,500.00000000
3266883,100.00000000,100.00000000,0.00000000,216.52711276,32,100.00000000
3266884,577.43913992,572.44913992,4.99000000,221.51711276,40,300.00000000
3266885,10.00000000,10.00000000,0.00000000,221.51711276,41,10.00000000
3266886,283.29170270,283.29170270,0.00000000,221.51711276,46,150.00000000
3266887,4.63290634,4.63290634,0.00000000,221.51711276,47,4.63290634
3266888,142.13975000,92.13975000,50.00000000,271.51711276,55,50.00000000
3266889,50.00000000,50.00000000,0.00000000,271.51711276,56,50.00000000
3266890,9.30000000,4.40000000,4.90000000,276.41711276,57,4.90000000
3266891,566.00000000,566.00000000,0.00000000,276.41711276,62,435.00000000
3266893,11.10000000,11.10000000,0.00000000,276.41711276,64,9.10000000
3266895,49.77754400,49.77754400,0.00000000,276.41711276,66,39.00000000
3266896,140.00000000,140.00000000,0.00000000,276.41711276,69,75.00000000
3266897,23.70000000,23.70000000,0.00000000,276.41711276,71,13.70000000
3266902,188.78266322,188.78266322,0.00000000,276.41711276,75,98.00000000
3266904,17.94760500,17.94760500,0.00000000,276.41711276,77,17.94655539
3266906,115.07901361,115.00231901,0.07669460,276.49380736,78,100.00000000
3266908,86.11427800,86.11427800,0.00000000,276.49380736,79,74.99385000
3266915,285.10358436,285.10358436,0.00000000,276.49380736,82,200.00000000
3266917,12410.75623810,12410.75623810,0.00000000,276.49380736,85,4481.33792884
3266919,0.98977460,0.91394100,0.07583360,276.56964096,85,0.91394100
3266920,10.00000000,10.00000000,0.00000000,276.56964096,85,10.00000000
3266922,100.00000000,100.00000000,0.00000000,276.56964096,86,100.00000000
3266924,10.00000000,10.00000000,0.00000000,276.56964096,87,10.00000000
3266925,40.43677575,40.43677575,0.00000000,276.56964096,90,23.43677575
3266934,17.65861895,17.65861895,0.00000000,276.56964096,91,10.00475000
3266939,158.00000000,158.00000000,0.00000000,276.56964096,92,136.00000000
3266944,38.67507460,38.67507460,0.00000000,276.56964096,94,29.99790000
3266946,351.00555000,350.01555000,0.99000000,277.55964096,95,349.00000000
3266947,57.24692992,57.24692992,0.00000000,277.55964096,96,29.00000000
3266950,10.00000000,10.00000000,0.00000000,277.55964096,97,10.00000000
3266951,187.00000000,187.00000000,0.00000000,277.55964096,98,187.00000000
3266954,2.00000000,2.00000000,0.00000000,277.55964096,99,2.00000000
3266959,70.00000000,70.00000000,0.00000000,277.55964096,101,50.00000000
3266964,1.01290000,1.01290000,0.00000000,277.55964096,102,1.01290000
3266966,50.00000000,50.00000000,0.00000000,277.55964096,103,50.00000000
3266967,4203.21464423,4203.21464423,0.00000000,277.55964096,103,1000.00000000
3266968,4744.03913900,4744.03913900,0.00000000,277.55964096,103,2100.00000000
3266969,113.33385000,113.33385000,0.00000000,277.55964096,106,100.00000000
3266971,14.93429077,14.93429077,0.00000000,277.55964096,107,14.93429077
3266972,6139.75055667,6139.75055667,0.00000000,277.55964096,108,6139.75055667
3266973,10.91733170,10.91733170,0.00000000,277.55964096,110,10.00000000
3266974,1049.09887167,1049.09887167,0.00000000,277.55964096,111,166.67000000
3266975,1022.98741500,1022.98741500,0.00000000,277.55964096,111,250.00000000
3266976,55.95080000,55.95080000,0.00000000,277.55964096,111,50.00000000
3266979,2010.33254884,2010.33254884,-0.00000000,277.55964096,114,300.00000000
3266980,1173.25977700,1173.25977700,0.00000000,277.55964096,116,299.99285000
3266983,190.14696594,190.14696594,0.00000000,277.55964096,118,154.14696594
