block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1315995,4.00000000,0.12000000,3.88000000,3.88000000,1,4.00000000
1315998,5.00000000,6.15000000,-1.15000000,2.73000000,2,6.00000000
1315999,20.00000000,8.10000000,11.90000000,14.63000000,4,10.00000000
1317308,9.00000000,15.27000000,-6.27000000,8.36000000,5,15.00000000
1317830,1.00000000,0.03000000,0.97000000,9.33000000,6,1.00000000
1319349,3.00000000,0.09000000,2.91000000,12.24000000,6,3.00000000
1319351,1.00000000,0.03000000,0.97000000,13.21000000,7,1.00000000
1321421,1.50000000,2.19500000,-0.69500000,12.51500000,7,1.50500000
1324921,2.00000000,1.56000000,0.44000000,12.95500000,8,2.00000000
1327289,2.00000000,2.06000000,-0.06000000,12.89500000,9,2.00000000
1328644,4.00000000,0.12000000,3.88000000,16.77500000,9,4.00000000
1328680,2.00000000,0.06000000,1.94000000,18.71500000,10,2.00000000
1328686,3.00000000,15.09000000,-12.09000000,6.62500000,10,15.00000000
1329483,2.11000000,0.06330000,2.04670000,8.67170000,10,2.11000000
1331134,7.00000000,2.76550000,4.23450000,12.90620000,10,7.00000000
1334154,2.00000000,7.06000000,-5.06000000,7.84620000,10,4.90000000
1334155,1.12000000,0.03360000,1.08640000,8.93260000,10,1.12000000
1336964,5.00000000,2.20600000,2.79400000,11.72660000,10,5.00000000
1339931,3.11000000,5.09330000,-1.98330000,9.74330000,10,3.50000000
1340123,5.12000000,0.15360000,4.96640000,14.70970000,10,5.12000000
1340265,6.00000000,13.68000000,-7.68000000,7.02970000,10,13.50000000
1345412,3.12000000,3.75960000,-0.63960000,6.39010000,10,3.12000000
1351327,5.00000000,3.27000000,1.73000000,8.12010000,10,5.00000000
1357836,2.11000000,5.06330000,-2.95330000,5.16680000,10,3.50000000
1357887,2.13000000,1.56390000,0.56610000,5.73290000,10,2.13000000
1363669,5.11000000,2.36980000,2.74020000,8.47310000,10,5.11000000
1363671,3.12000000,0.09360000,3.02640000,11.49950000,10,3.12000000
1371646,0.00000000,3.28650000,-3.28650000,8.21300000,10,3.28650000
1371652,0.00000000,8.21300000,-8.21300000,0.00000000,10,8.21300000
