block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1285451,2.00000000,0.00000000,2.00000000,2.00000000,1,2.00000000
1285452,2.00000000,3.60000000,-1.60000000,0.40000000,2,3.60000000
1285453,9.00000000,3.60000000,5.40000000,5.80000000,2,7.00000000
1285455,5.00000000,0.00000000,5.00000000,10.80000000,3,5.00000000
1285457,3.00000000,12.60000000,-9.60000000,1.20000000,4,12.60000000
1285506,7.00000000,3.60000000,3.40000000,4.60000000,4,7.00000000
1285524,1.00000000,0.00000000,1.00000000,5.60000000,4,1.00000000
1285527,1.00000000,0.00000000,1.00000000,6.60000000,5,1.00000000
1285534,3.00000000,9.00000000,-6.00000000,0.60000000,6,9.00000000
1285545,4.00000000,0.00000000,4.00000000,4.60000000,6,4.00000000
1285547,2.00000000,5.40000000,-3.40000000,1.20000000,6,5.40000000
1285551,1.00000000,0.00000000,1.00000000,2.20000000,6,1.00000000
1285554,1.00000000,0.00000000,1.00000000,3.20000000,6,1.00000000
1285562,1.00000000,0.00000000,1.00000000,4.20000000,6,1.00000000
1285571,2.50000000,0.00000000,2.50000000,6.70000000,6,2.50000000
1285593,2.20000000,0.00000000,2.20000000,8.90000000,6,2.20000000
1285617,1.20000000,0.00000000,1.20000000,10.10000000,7,1.20000000
1285618,2.00000000,0.00000000,2.00000000,12.10000000,7,2.00000000
1285653,3.00000000,14.40000000,-11.40000000,0.70000000,7,12.60000000
1285670,1.50000000,1.80000000,-0.30000000,0.40000000,7,1.80000000
1285673,3.00000000,0.00000000,3.00000000,3.40000000,7,3.00000000
1285717,0.80000000,0.00000000,0.80000000,4.20000000,7,0.80000000
1285726,2.00010000,5.40000000,-3.39990000,0.80010000,7,5.40000000
1285760,2.20000000,0.00000000,2.20000000,3.00010000,7,2.20000000
1285761,1.00000000,0.00000000,1.00000000,4.00010000,7,1.00000000
1285762,1.00000000,0.00000000,1.00000000,5.00010000,7,1.00000000
1285763,2.00000000,0.00000000,2.00000000,7.00010000,7,2.00000000
1285769,3.80000000,10.80000000,-7.00000000,0.00010000,7,7.20000000
1286937,5.00000000,3.60000000,1.40000000,1.40010000,8,5.00000000
1288275,6.30000000,6.30000000,0.00000000,1.40010000,8,6.30000000
1288615,2.56300000,3.96000000,-1.39700000,0.00310000,8,3.96000000
1288687,1.00000000,0.00000000,1.00000000,1.00310000,9,1.00000000
1289267,1.00000000,0.00000000,1.00000000,2.00310000,10,1.00000000
