block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3943377,0.02000000,0.00000000,0.02000000,0.02000000,1,0.02000000
3980034,0.20000000,0.00000000,0.20000000,0.22000000,2,0.20000000
4076810,0.02500000,0.00000000,0.02500000,0.24500000,3,0.02500000
4093773,1.00000000,0.00000000,1.00000000,1.24500000,4,1.00000000
4103422,0.34940900,0.00000000,0.34940900,1.59440900,5,0.34940900
4206618,0.14000000,0.00000000,0.14000000,1.73440900,6,0.14000000
4206687,0.10000000,0.00000000,0.10000000,1.83440900,7,0.10000000
4263451,0.00100000,0.00000000,0.00100000,1.83540900,8,0.00100000
4331279,0.01000000,0.00000000,0.01000000,1.84540900,9,0.01000000
4518720,0.01000000,0.00000000,0.01000000,1.85540900,10,0.01000000
4579865,0.01611893,0.00000000,0.01611893,1.87152793,11,0.01611893
4700823,0.00022218,0.00000000,0.00022218,1.87175011,12,0.00022218
5279482,0.00995929,0.00000000,0.00995929,1.88170940,13,0.00995929
6207560,0.01000000,0.00000000,0.01000000,1.89170940,14,0.01000000
7931776,0.01495000,0.00000000,0.01495000,1.90665940,15,0.01495000
7931798,0.02600000,0.00000000,0.02600000,1.93265940,15,0.02600000
