block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1277925,1.00000000,1.00000000,0.00000000,0.00000000,1,1.00000000
1277926,1.00000000,1.00000000,0.00000000,0.00000000,2,1.00000000
1277928,3.00000000,0.00000000,3.00000000,3.00000000,3,3.00000000
1277931,6.00000000,5.10000000,0.90000000,3.90000000,4,6.00000000
1277935,10.00000000,10.00000000,0.00000000,3.90000000,4,10.00000000
1277938,12.00000000,1.20000000,10.80000000,14.70000000,4,12.00000000
1277940,6.00000000,15.60000000,-9.60000000,5.10000000,4,15.00000000
1277951,10.00000000,1.00000000,9.00000000,14.10000000,4,10.00000000
1277954,3.00000000,0.30000000,2.70000000,16.80000000,5,3.00000000
1277956,27.00000000,29.70000000,-2.70000000,14.10000000,6,27.00000000
1277958,4.00000000,15.40000000,-11.40000000,2.70000000,7,15.00000000
1277959,14.00000000,5.90000000,8.10000000,10.80000000,9,10.00000000
1278022,2.00000000,2.00000000,0.00000000,10.80000000,10,2.00000000
1295737,30.00000000,5.70000000,24.30000000,35.10000000,10,30.00000000
1295748,5.00000000,0.50000000,4.50000000,39.60000000,10,5.00000000
1295751,1.00000000,1.00000000,0.00000000,39.60000000,10,1.00000000
1295760,3.00000000,40.80000000,-37.80000000,1.80000000,10,40.50000000
