block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1371601,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1371603,1.10000000,0.11000000,0.99000000,1.99000000,2,1.10000000
1371612,4.00000000,4.60000000,-0.60000000,1.39000000,3,4.00000000
1371615,1.00000000,0.10000000,0.90000000,2.29000000,4,1.00000000
1371658,2.20000000,0.22000000,1.98000000,4.27000000,4,2.20000000
1371752,1.10000000,0.11000000,0.99000000,5.26000000,5,1.10000000
1371760,3.02000000,0.30200000,2.71800000,7.97800000,5,3.02000000
1371768,1.00000000,8.10000000,-7.10000000,0.87800000,6,8.00000000
1371779,1.24200000,0.12420000,1.11780000,1.99580000,7,1.24200000
1371791,4.88400000,2.48840000,2.39560000,4.39140000,8,4.88400000
1371799,2.26000000,4.62600000,-2.36600000,2.02540000,8,4.40000000
1371824,6.80000000,2.88000000,3.92000000,5.94540000,8,6.80000000
1371840,2.32000000,6.27200000,-3.95200000,1.99340000,8,6.04000000
1371847,2.74000000,2.27400000,0.46600000,2.45940000,8,2.74000000
1371854,9.90000000,3.47400000,6.42600000,8.88540000,8,9.90000000
1371860,1.00000000,9.86800000,-8.86800000,0.01740000,8,9.76800000
