block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1273771,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1273780,10.00000000,1.25000000,8.75000000,9.75000000,2,10.00000000
1274010,1.30000000,0.00000000,1.30000000,11.05000000,3,1.30000000
1274015,1.50000000,12.50000000,-11.00000000,0.05000000,4,12.50000000
1274125,0.20000000,0.00000000,0.20000000,0.25000000,5,0.20000000
1274343,1.00000000,0.00000000,1.00000000,1.25000000,6,1.00000000
1274436,1.00000000,1.62500000,-0.62500000,0.62500000,7,1.62500000
1274490,1.50000000,1.87500000,-0.37500000,0.25000000,7,1.87500000
1274582,0.50000000,0.25000000,0.25000000,0.50000000,8,0.50000000
1274586,1.00000000,1.25000000,-0.25000000,0.25000000,8,1.25000000
1274849,3.40000000,3.12500000,0.27500000,0.52500000,8,3.40000000
1274857,1.75000000,1.87500000,-0.12500000,0.40000000,8,1.75000000
1274861,5.00000000,4.25000000,0.75000000,1.15000000,8,5.00000000
1274869,4.30000000,2.18750000,2.11250000,3.26250000,8,4.30000000
1274876,4.00000000,6.25000000,-2.25000000,1.01250000,8,6.25000000
1274878,2.00000000,0.00000000,2.00000000,3.01250000,8,2.00000000
1274881,10.00000000,12.87500000,-2.87500000,0.13750000,9,10.00000000
1274887,5.30000000,0.00000000,5.30000000,5.43750000,9,5.30000000
1274888,3.00000000,0.00000000,3.00000000,8.43750000,9,3.00000000
1274893,2.75000000,0.00000000,2.75000000,11.18750000,9,2.75000000
1274899,10.00000000,19.12500000,-9.12500000,2.06250000,10,12.50000000
1274903,1.10000000,0.00000000,1.10000000,3.16250000,10,1.10000000
1274905,11.00000000,0.00000000,11.00000000,14.16250000,10,11.00000000
1274908,6.65000000,7.18750000,-0.53750000,13.62500000,10,6.65000000
1274921,3.50000000,0.00000000,3.50000000,17.12500000,10,3.50000000
1274922,10.00000000,13.87500000,-3.87500000,13.25000000,10,12.50000000
1274930,9.00000000,8.31250000,0.68750000,13.93750000,11,9.00000000
1274936,10.00000000,4.37500000,5.62500000,19.56250000,11,10.00000000
1274937,8.35000000,12.50000000,-4.15000000,15.41250000,11,12.50000000
1274938,19.48874948,23.75000000,-4.26125052,11.15124948,12,12.50000000
