block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4067674,0.03000000,0.00000000,0.03000000,0.03000000,1,0.03000000
4067676,0.01000000,0.00000000,0.01000000,0.04000000,2,0.01000000
4067682,0.00000000,0.00407353,-0.00407353,0.03592647,3,0.00407353
4067751,0.00000000,0.01750000,-0.01750000,0.01842647,3,0.01750000
4067845,0.03000000,0.01222059,0.01777941,0.03620588,4,0.01000000
4067846,0.01000000,0.00407353,0.00592647,0.04213235,4,0.01000000
4067894,0.00000000,0.00407353,-0.00407353,0.03805882,4,0.00407353
4067904,0.00000000,0.00407353,-0.00407353,0.03398529,4,0.00407353
4067911,0.00000000,0.01750000,-0.01750000,0.01648529,4,0.01750000
4067970,0.00000000,0.00407353,-0.00407353,0.01241176,4,0.00407353
4068013,0.00000000,0.00407353,-0.00407353,0.00833823,4,0.00407353
4069466,0.01000000,0.00407353,0.00592647,0.01426470,4,0.01000000
4069468,0.00000000,0.00407353,-0.00407353,0.01019117,4,0.00407353
4075796,0.01000000,0.00000000,0.01000000,0.02019117,4,0.01000000
4078649,0.30000000,0.30000000,0.00000000,0.02019117,4,0.30000000
4078656,0.02000000,0.00000000,0.02000000,0.04019117,4,0.02000000
4078753,0.30000000,0.00000000,0.30000000,0.34019117,4,0.30000000
4079401,0.02000000,0.00407353,0.01592647,0.35611764,4,0.02000000
4079406,0.00000000,0.00407353,-0.00407353,0.35204411,4,0.00407353
4079416,0.00000000,0.03500000,-0.03500000,0.31704411,4,0.03500000
4079521,0.01000000,0.00407353,0.00592647,0.32297058,4,0.01000000
4079523,0.00000000,0.00407353,-0.00407353,0.31889705,4,0.00407353
4079528,0.00000000,0.01750000,-0.01750000,0.30139705,4,0.01750000
4079535,0.01000000,0.00407353,0.00592647,0.30732352,4,0.01000000
4079538,0.00000000,0.00407353,-0.00407353,0.30324999,4,0.00407353
4079545,0.00000000,0.01750000,-0.01750000,0.28574999,4,0.01750000
4079549,0.01000000,0.00407353,0.00592647,0.29167646,4,0.01000000
4079552,0.00000000,0.00407353,-0.00407353,0.28760293,4,0.00407353
4079556,0.00000000,0.01750000,-0.01750000,0.27010293,4,0.01750000
4080181,0.05000000,0.00407353,0.04592647,0.31602940,4,0.05000000
4080200,0.00000000,0.00407353,-0.00407353,0.31195587,4,0.00407353
4080209,0.00000000,0.00000000,-0.00000000,0.31195587,4,0.00000000
4081326,0.01000000,0.00407353,0.00592647,0.31788234,4,0.01000000
4081332,0.00000000,0.00407353,-0.00407353,0.31380881,4,0.00407353
4081338,0.00000000,0.01750000,-0.01750000,0.29630881,4,0.01750000
4081408,0.01000000,0.00407353,0.00592647,0.30223528,5,0.01000000
4081411,0.00000000,0.00407353,-0.00407353,0.29816175,5,0.00407353
4081440,0.00000000,0.00000000,-0.00000000,0.29816175,5,0.00000000
4081469,0.01000000,0.00407353,0.00592647,0.30408822,5,0.01000000
4081473,0.00000000,0.00407353,-0.00407353,0.30001469,5,0.00407353
4081483,0.00000000,0.00000000,-0.00000000,0.30001469,5,0.00000000
4081519,0.01000000,0.00000000,0.01000000,0.31001469,6,0.01000000
4081549,0.00000000,0.00000000,-0.00000000,0.31001469,6,0.00000000
4081689,0.01000000,0.00407353,0.00592647,0.31594116,6,0.01000000
4081691,0.00000000,0.00407353,-0.00407353,0.31186763,6,0.00407353
4081696,0.00000000,0.00000000,-0.00000000,0.31186763,6,0.00000000
4081706,0.02000000,0.00407353,0.01592647,0.32779410,6,0.02000000
4081717,0.00000000,0.00407353,-0.00407353,0.32372057,6,0.00407353
4081723,0.00000000,0.00000000,-0.00000000,0.32372057,6,0.00000000
