block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1228670,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
1229506,5.00000000,0.13700000,4.86300000,4.96300000,2,5.00000000
1229583,10.00000000,6.65000000,3.35000000,8.31300000,3,10.00000000
1229596,2.00000000,0.00000000,2.00000000,10.31300000,4,2.00000000
1229612,20.00000000,15.10000000,4.90000000,15.21300000,4,20.00000000
1232073,0.10000000,0.00000000,0.10000000,15.31300000,5,0.10000000
1232090,0.20000000,0.00000000,0.20000000,15.51300000,6,0.20000000
1232225,3.00000000,0.00000000,3.00000000,18.51300000,6,3.00000000
1232365,25.00000000,34.56400000,-9.56400000,8.94900000,6,29.40000000
1232391,10.00000000,0.00000000,10.00000000,18.94900000,6,10.00000000
1232462,4.00000000,0.00000000,4.00000000,22.94900000,7,4.00000000
1232612,0.57016526,0.00000000,0.57016526,23.51916526,7,0.57016526
1232662,4.99500000,0.00000000,4.99500000,28.51416526,8,4.99500000
1232743,1.00000000,0.00000000,1.00000000,29.51416526,9,1.00000000
1232968,1.10000000,0.00000000,1.10000000,30.61416526,10,1.10000000
1233070,45.00000000,53.20000000,-8.20000000,22.41416526,10,45.00000000
1233100,53.00000000,7.46709335,45.53290665,67.94707191,10,50.00000000
1233122,3.00000000,0.00000000,3.00000000,70.94707191,10,3.00000000
1233124,20.00000000,0.00000000,20.00000000,90.94707191,10,20.00000000
1233163,2.85000000,66.60000000,-63.75000000,27.19707191,10,66.60000000
1233198,0.00000000,20.48201653,-20.48201653,6.71505538,10,20.48201653
1233314,50.00000000,0.00000000,50.00000000,56.71505538,10,50.00000000
1233349,5.00000000,0.00000000,5.00000000,61.71505538,10,5.00000000
1233352,4.99000000,0.00000000,4.99000000,66.70505538,10,4.99000000
1233354,18.00000000,0.00000000,18.00000000,84.70505538,10,18.00000000
1233395,4.98200000,0.00000000,4.98200000,89.68705538,10,4.98200000
1233403,4.97300000,0.00000000,4.97300000,94.66005538,10,4.97300000
1233409,3.00000000,0.00000000,3.00000000,97.66005538,10,3.00000000
