block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1275926,10.00000000,9.00000000,1.00000000,1.00000000,1,10.00000000
1275952,10.00000000,10.60000000,-0.60000000,0.40000000,2,10.00000000
1275980,10.00000000,9.10000000,0.90000000,1.30000000,2,10.00000000
1275983,11.00000000,12.20000000,-1.20000000,0.10000000,4,10.00000000
1275985,1.00000000,0.10000000,0.90000000,1.00000000,4,1.00000000
1275986,2.00000000,1.70000000,0.30000000,1.30000000,5,1.50000000
1276001,10.00000000,10.60000000,-0.60000000,0.70000000,5,10.00000000
1276004,1.00000000,1.60000000,-0.60000000,0.10000000,5,1.50000000
1276052,1.00000000,0.10000000,0.90000000,1.00000000,6,1.00000000
1276056,0.10000000,0.10000000,0.00000000,1.00000000,6,0.10000000
1276740,11.00000000,10.70000000,0.30000000,1.30000000,7,10.00000000
1277110,10.00000000,10.60000000,-0.60000000,0.70000000,8,10.00000000
1277116,10.00000000,10.60000000,-0.60000000,0.10000000,8,10.00000000
