block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1222171,0.05000000,0.00333333,0.04666667,0.04666667,2,0.05000000
1222178,0.05000000,0.01233333,0.03766667,0.08433333,2,0.05000000
1222198,0.05000000,0.01533333,0.03466667,0.11900000,2,0.05000000
1222430,0.05000000,0.01833333,0.03166667,0.15066667,2,0.05000000
1223129,5.00000000,0.35133333,4.64866667,4.79933333,3,5.00000000
1223186,5.00000000,0.65133333,4.34866667,9.14800000,3,5.00000000
1223260,1.00000000,0.68466667,0.31533333,9.46333333,4,1.00000000
1223288,1.00000000,0.74466667,0.25533333,9.71866667,5,1.00000000
1223295,1.00014490,0.80467633,0.19546857,9.91413524,5,1.00014490
1223323,1.00000000,0.86467536,0.13532464,10.04945988,5,1.00000000
1223325,0.50000000,0.00000000,0.50000000,10.54945988,6,0.50000000
1223327,1.00000000,0.92467536,0.07532464,10.62478452,6,1.00000000
1223331,1.00000000,0.98467536,0.01532464,10.64010916,6,1.00000000
1223334,1.00000000,1.04467536,-0.04467536,10.59543380,6,1.00000000
1223338,1.00000000,1.10467536,-0.10467536,10.49075844,6,1.00000000
1223340,0.49000000,0.00000000,0.49000000,10.98075844,6,0.49000000
1223343,1.00000000,1.16467536,-0.16467536,10.81608308,6,1.00000000
1223345,1.00000000,1.22467536,-0.22467536,10.59140772,6,1.00000000
1223347,3.00000000,4.03402608,-1.03402608,9.55738163,6,1.00000000
1223348,1.00000000,1.46467536,-0.46467536,9.09270627,6,1.00000000
1223349,1.00000000,1.52467536,-0.52467536,8.56803091,6,1.00000000
1223350,1.00000000,1.58467536,-0.58467536,7.98335555,6,1.00000000
1223351,1.00000000,1.64467536,-0.64467536,7.33868019,6,1.00000000
1223353,1.00000000,1.70467536,-0.70467536,6.63400483,6,1.00000000
1223354,1.00000000,1.76467536,-0.76467536,5.86932947,6,1.00000000
1223356,2.05000000,5.53369275,-3.48369275,2.38563672,6,1.00000000
1223359,0.05000000,1.40134203,-1.35134203,1.03429469,6,0.30000000
1223360,1.00000000,0.98467536,0.01532464,1.04961933,6,1.00000000
1223361,2.00000000,2.02935072,-0.02935072,1.02026861,6,1.00000000
1223362,1.00000000,0.98467536,0.01532464,1.03559325,6,1.00000000
1223363,1.00000000,1.04467536,-0.04467536,0.99091789,6,1.00000000
1223365,1.05000000,1.00600869,0.04399131,1.03490920,7,1.00000000
1223388,10.00000000,3.03367536,6.96632464,8.00123384,7,10.00000000
1223391,1.00000000,1.28467536,-0.28467536,7.71655847,7,1.00000000
1223392,2.00000000,6.12735072,-4.12735072,3.58920775,7,1.00000000
1223400,1.00000000,3.15367536,-2.15367536,1.43553239,7,1.00000000
1223401,1.00000000,1.70467536,-0.70467536,0.73085703,7,1.00000000
1223402,2.00000000,1.96935072,0.03064928,0.76150631,7,1.00000000
1223404,1.00000000,1.04467536,-0.04467536,0.71683095,7,1.00000000
1223421,0.40000000,0.00000000,0.40000000,1.11683095,7,0.40000000
1223486,2.00000000,1.96935072,0.03064928,1.14748023,8,1.00000000
1223488,2.00000000,2.02935072,-0.02935072,1.11812951,8,1.00000000
1223490,1.00000000,0.98467536,0.01532464,1.13345415,8,1.00000000
1223553,0.10000000,0.02466667,0.07533333,1.20878748,9,0.10000000
1223560,0.10000000,0.02466667,0.07533333,1.28412081,9,0.10000000
1223563,0.10000000,0.02466667,0.07533333,1.35945415,9,0.10000000
1223568,0.10000000,0.32466667,-0.22466667,1.13478748,9,0.30000000
1223570,0.10000000,0.02466667,0.07533333,1.21012081,9,0.10000000
1223574,0.10000000,0.02466667,0.07533333,1.28545415,9,0.10000000
1223575,5.00000000,4.05634203,0.94365797,2.22911212,9,5.00000000
1223591,0.30000000,0.00000000,0.30000000,2.52911212,10,0.30000000
1223594,1.00000000,0.38466667,0.61533333,3.14444545,11,1.00000000
1223628,1.00000000,0.92467536,0.07532464,3.21977009,11,1.00000000
1223792,1.00000000,2.07067536,-1.07067536,2.14909473,12,1.00000000
1224410,5.00000000,4.41634203,0.58365797,2.73275270,13,5.00000000
1224558,2.00000000,0.74466667,1.25533333,3.98808604,13,1.00000000
1224559,1.00000000,0.00000000,1.00000000,4.98808604,13,1.00000000
1229829,1.00000000,0.00000000,1.00000000,5.98808604,13,1.00000000
1231037,2.00000000,0.00000000,2.00000000,7.98808604,14,2.00000000
1258831,1.00000000,0.00000000,1.00000000,8.98808604,15,1.00000000
1258876,1.00000000,0.00000000,1.00000000,9.98808604,16,1.00000000
1262185,1.00000000,0.00000000,1.00000000,10.98808604,17,1.00000000
1262379,5.00000000,0.00000000,5.00000000,15.98808604,18,5.00000000
1264905,0.05634716,0.00000000,0.05634716,16.04443320,18,0.05634716
1264939,2.00000000,0.00000000,2.00000000,18.04443320,18,2.00000000
1267400,5.00000000,0.00000000,5.00000000,23.04443320,19,5.00000000
1269062,1.00000000,0.00000000,1.00000000,24.04443320,19,1.00000000
1270564,1.00000000,0.00000000,1.00000000,25.04443320,19,1.00000000
1271354,0.10000000,0.00000000,0.10000000,25.14443320,20,0.10000000
1271388,0.40000000,0.00000000,0.40000000,25.54443320,20,0.40000000
1291287,0.05000000,0.00000000,0.05000000,25.59443320,21,0.05000000
1291439,0.05500000,0.00000000,0.05500000,25.64943320,22,0.05500000
1291491,0.05000000,0.00000000,0.05000000,25.69943320,22,0.05000000
