block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1271925,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1273731,0.10226312,1.05000000,-0.94773688,0.05226312,2,1.05000000
1274192,1.00000000,0.10737627,0.89262373,0.94488684,2,1.00000000
1289417,0.12000000,1.05000000,-0.93000000,0.01488684,2,1.05000000
23756036,0.01000000,0.00000000,0.01000000,0.02488684,3,0.01000000
23756484,1.00000000,0.13650000,0.86350000,0.88838684,3,1.00000000
23756492,1.00000000,0.12600000,0.87400000,1.76238684,3,1.00000000
23756500,10.00000000,8.53650000,1.46350000,3.22588684,3,1.05000000
23756516,0.10000000,0.00000000,0.10000000,3.32588684,3,0.01000000
23756526,0.04000000,0.00000000,0.04000000,3.36588684,3,0.01000000
23756535,0.04000000,0.00000000,0.04000000,3.40588684,3,0.01000000
