block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4134671,0.12000000,0.12000000,0.00000000,0.00000000,3,0.06000000
4134693,0.10000000,0.10000000,0.00000000,0.00000000,4,0.10000000
4134704,0.10000000,0.10000000,0.00000000,0.00000000,5,0.10000000
4134747,0.04000000,0.04000000,0.00000000,0.00000000,6,0.04000000
4134765,0.02000000,0.02000000,0.00000000,0.00000000,7,0.02000000
4134769,0.08000000,0.08000000,0.00000000,0.00000000,7,0.08000000
4134782,0.02000000,0.02000000,0.00000000,0.00000000,8,0.02000000
4134803,0.10000000,0.10000000,0.00000000,0.00000000,9,0.10000000
4134998,0.02000000,0.02000000,0.00000000,0.00000000,10,0.02000000
4135288,0.04000000,0.04000000,0.00000000,0.00000000,10,0.04000000
4135374,0.04000000,0.04000000,0.00000000,0.00000000,11,0.04000000
4135403,0.10000000,0.10000000,0.00000000,0.00000000,12,0.10000000
4135627,0.02000000,0.02000000,0.00000000,0.00000000,13,0.02000000
4135675,0.10000000,0.10000000,0.00000000,0.00000000,14,0.10000000
4136171,0.08000000,0.08000000,0.00000000,0.00000000,15,0.08000000
4136237,0.02000000,0.02000000,0.00000000,0.00000000,16,0.02000000
4136574,0.10000000,0.10000000,0.00000000,0.00000000,17,0.10000000
4136662,0.10000000,0.10000000,0.00000000,0.00000000,18,0.10000000
4137149,0.02000000,0.02000000,0.00000000,0.00000000,18,0.02000000
4139005,0.10000000,0.10000000,0.00000000,0.00000000,18,0.10000000
4163356,0.02000000,0.02000000,0.00000000,0.00000000,19,0.02000000
4163361,0.04000000,0.04000000,0.00000000,0.00000000,19,0.04000000
4163664,0.10000000,0.00000000,0.10000000,0.10000000,20,0.10000000
4163690,0.08000000,0.00000000,0.08000000,0.18000000,20,0.08000000
4163699,0.08000000,0.08000000,0.00000000,0.18000000,20,0.08000000
4163754,0.10000000,0.10000000,0.00000000,0.18000000,21,0.10000000
4163990,0.04000000,0.04000000,0.00000000,0.18000000,21,0.04000000
4202659,0.02000000,0.02000000,0.00000000,0.18000000,22,0.02000000
4202781,0.02000000,0.02000000,0.00000000,0.18000000,23,0.02000000
4202782,0.10000000,0.10000000,0.00000000,0.18000000,24,0.10000000
4202818,0.04000000,0.04000000,0.00000000,0.18000000,25,0.04000000
4202854,0.02000000,0.02000000,0.00000000,0.18000000,26,0.02000000
4202913,0.04000000,0.04000000,0.00000000,0.18000000,27,0.04000000
4202935,0.02000000,0.02000000,0.00000000,0.18000000,28,0.02000000
4203022,0.02000000,0.02000000,0.00000000,0.18000000,29,0.02000000
4203655,0.06000000,0.06000000,0.00000000,0.18000000,30,0.06000000
4203657,0.10000000,0.00000000,0.10000000,0.28000000,31,0.10000000
4203665,0.06000000,0.00000000,0.06000000,0.34000000,31,0.06000000
4203675,0.02000000,0.00000000,0.02000000,0.36000000,31,0.02000000
4203752,0.08000000,0.08000000,0.00000000,0.36000000,32,0.08000000
4203755,0.10000000,0.10000000,0.00000000,0.36000000,33,0.10000000
4203783,0.08000000,0.08000000,0.00000000,0.36000000,34,0.08000000
4203866,0.10000000,0.10000000,0.00000000,0.36000000,35,0.10000000
4203868,0.10000000,0.10000000,0.00000000,0.36000000,36,0.10000000
4203947,0.10000000,0.10000000,0.00000000,0.36000000,37,0.10000000
4204074,0.10000000,0.10000000,0.00000000,0.36000000,38,0.10000000
4204091,0.10000000,0.10000000,0.00000000,0.36000000,39,0.10000000
4204111,0.02000000,0.02000000,0.00000000,0.36000000,39,0.02000000
4204142,0.10000000,0.10000000,0.00000000,0.36000000,40,0.10000000
4204144,0.10000000,0.10000000,0.00000000,0.36000000,41,0.10000000
4204152,0.10000000,0.10000000,0.00000000,0.36000000,42,0.10000000
4204176,0.02000000,0.00000000,0.02000000,0.38000000,42,0.02000000
4204251,0.10000000,0.00000000,0.10000000,0.48000000,43,0.10000000
4204257,0.10000000,0.00000000,0.10000000,0.58000000,43,0.10000000
4204266,0.12000000,0.02000000,0.10000000,0.68000000,44,0.10000000
4204275,0.10000000,0.00000000,0.10000000,0.78000000,44,0.10000000
4204305,0.06000000,0.06000000,0.00000000,0.78000000,45,0.06000000
4204420,0.04000000,0.00000000,0.04000000,0.82000000,46,0.04000000
4204437,0.02000000,0.00000000,0.02000000,0.84000000,47,0.02000000
4204497,0.10000000,0.10000000,0.00000000,0.84000000,48,0.10000000
4204505,0.10000000,0.00000000,0.10000000,0.94000000,48,0.10000000
4204533,0.11000000,0.11000000,0.00000000,0.94000000,49,0.11000000
4204555,0.10000000,0.00000000,0.10000000,1.04000000,50,0.10000000
4204562,0.10000000,0.10000000,0.00000000,1.04000000,51,0.10000000
4204573,0.10000000,0.10000000,0.00000000,1.04000000,51,0.10000000
4204583,0.02000000,0.02000000,0.00000000,1.04000000,52,0.02000000
4204602,0.10000000,0.10000000,0.00000000,1.04000000,53,0.10000000
4204618,0.06000000,0.06000000,0.00000000,1.04000000,53,0.06000000
4204619,0.10000000,0.10000000,0.00000000,1.04000000,54,0.10000000
4204627,0.04000000,0.04000000,0.00000000,1.04000000,54,0.04000000
4204630,0.10000000,0.10000000,0.00000000,1.04000000,55,0.10000000
4204645,0.20000000,0.20000000,0.00000000,1.04000000,57,0.10000000
4204647,0.10000000,0.10000000,0.00000000,1.04000000,58,0.10000000
4204660,0.10000000,0.10000000,0.00000000,1.04000000,59,0.10000000
4204661,0.10000000,0.10000000,0.00000000,1.04000000,60,0.10000000
4204665,0.10000000,0.10000000,0.00000000,1.04000000,61,0.10000000
4204669,0.10000000,0.10000000,0.00000000,1.04000000,62,0.10000000
4204679,0.10000000,0.10000000,0.00000000,1.04000000,63,0.10000000
4204701,0.10000000,0.10000000,0.00000000,1.04000000,64,0.10000000
4204708,0.10000000,0.10000000,0.00000000,1.04000000,65,0.10000000
4204762,0.04000000,0.04000000,0.00000000,1.04000000,65,0.04000000
4204792,0.10000000,0.10000000,0.00000000,1.04000000,66,0.10000000
4204817,0.04000000,0.02000000,0.02000000,1.06000000,67,0.02000000
4204823,0.02000000,0.02000000,0.00000000,1.06000000,67,0.02000000
4204859,0.10000000,0.10000000,0.00000000,1.06000000,68,0.10000000
4204869,0.10000000,0.10000000,0.00000000,1.06000000,69,0.10000000
4204877,0.10000000,0.10000000,0.00000000,1.06000000,70,0.10000000
4204913,0.10000000,0.10000000,0.00000000,1.06000000,71,0.10000000
4204968,0.10000000,0.10000000,0.00000000,1.06000000,72,0.10000000
4204981,0.10000000,0.10000000,0.00000000,1.06000000,73,0.10000000
4204984,0.10000000,0.10000000,0.00000000,1.06000000,74,0.10000000
4204985,0.10000000,0.10000000,0.00000000,1.06000000,75,0.10000000
4205006,0.34000000,0.34000000,0.00000000,1.06000000,79,0.10000000
4205101,0.04000000,0.04000000,0.00000000,1.06000000,80,0.04000000
4205119,0.02000000,0.02000000,0.00000000,1.06000000,81,0.02000000
4205193,0.08000000,0.08000000,0.00000000,1.06000000,82,0.08000000
4205202,0.10000000,0.10000000,0.00000000,1.06000000,83,0.10000000
4205226,0.02000000,0.00000000,0.02000000,1.08000000,84,0.02000000
4205227,0.10000000,0.10000000,0.00000000,1.08000000,85,0.10000000
4205232,0.02000000,0.02000000,0.00000000,1.08000000,85,0.02000000
4205235,0.02000000,0.02000000,0.00000000,1.08000000,85,0.02000000
4205462,0.02000000,0.02000000,0.00000000,1.08000000,86,0.02000000
4206472,0.10000000,0.10000000,0.00000000,1.08000000,87,0.10000000
4206476,0.10000000,0.10000000,0.00000000,1.08000000,88,0.10000000
4206701,0.04000000,0.04000000,0.00000000,1.08000000,88,0.04000000
4206723,0.10000000,0.10000000,0.00000000,1.08000000,89,0.10000000
4206725,0.30000000,0.30000000,0.00000000,1.08000000,92,0.10000000
4206727,0.10000000,0.10000000,0.00000000,1.08000000,93,0.10000000
4206765,0.06000000,0.06000000,0.00000000,1.08000000,94,0.06000000
4206993,0.02000000,0.00000000,0.02000000,1.10000000,95,0.02000000
4214237,0.06000000,0.00000000,0.06000000,1.16000000,96,0.06000000
4214249,0.06000000,0.00000000,0.06000000,1.22000000,96,0.06000000
4214267,0.02000000,0.00000000,0.02000000,1.24000000,96,0.02000000
4232112,0.10000000,0.00000000,0.10000000,1.34000000,97,0.10000000
4233302,0.04000000,0.00000000,0.04000000,1.38000000,98,0.04000000
4253868,0.02000000,0.00000000,0.02000000,1.40000000,99,0.02000000
4253876,0.02000000,0.00000000,0.02000000,1.42000000,99,0.02000000
12656786,0.10000000,0.00000000,0.10000000,1.52000000,100,0.10000000
