block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3556102,0.00711546,0.00000000,0.00711546,0.00711546,1,0.00711546
3557437,0.10000000,0.00000000,0.10000000,0.10711546,2,0.10000000
3557470,0.00938942,0.00000000,0.00938942,0.11650488,3,0.00938942
3558470,0.29825548,0.00000000,0.29825548,0.41476036,4,0.29825548
3559576,3.00000000,0.00000000,3.00000000,3.41476036,5,3.00000000
3561392,0.04938942,0.00000000,0.04938942,3.46414978,6,0.04938942
3562201,0.00000000,0.24249048,-0.24249048,3.22165929,7,0.09900000
3563322,0.49808103,0.00000000,0.49808103,3.71974032,8,0.49808103
3567873,0.00000000,0.26838401,-0.26838401,3.45135631,8,0.09900000
3573643,0.00000000,0.25845380,-0.25845380,3.19290251,8,0.09900000
3574584,0.09583186,0.00000000,0.09583186,3.28873437,8,0.09583186
3575796,0.08000000,0.00000000,0.08000000,3.36873437,9,0.08000000
3579688,0.00000000,0.26119924,-0.26119924,3.10753513,9,0.09900000
3582077,1.00000000,0.00000000,1.00000000,4.10753513,10,1.00000000
3585730,0.00000000,0.32153487,-0.32153487,3.78600026,10,0.09900000
3591559,0.00000000,0.30963808,-0.30963808,3.47636219,10,0.09900000
3597169,0.00000000,0.29818147,-0.29818147,3.17818072,10,0.09900000
3599248,1.01315550,0.00000000,1.01315550,4.19133622,11,1.01315550
3599358,0.50000000,0.00000000,0.50000000,4.69133622,12,0.50000000
3599513,0.50000000,0.00000000,0.50000000,5.19133622,13,0.50000000
3602855,0.10000000,0.00000000,0.10000000,5.29133622,14,0.10000000
3602870,0.00000000,0.43176964,-0.43176964,4.85956658,14,0.09900000
3604624,14.88065634,0.00000000,14.88065634,19.74022292,15,7.44054018
3608264,0.01000000,0.00000000,0.01000000,19.75022292,16,0.01000000
3608728,0.00000000,1.46111011,-1.46111011,18.28911282,16,0.36537912
3614265,0.00000000,1.40737903,-1.40737903,16.88173378,16,0.33834859
3616965,4.27258024,0.00000000,4.27258024,21.15431402,17,4.27258024
3618156,0.13000000,0.00000000,0.13000000,21.28431402,18,0.13000000
3620872,0.00000000,1.36440601,-1.36440601,19.91990801,18,0.31471707
3625880,0.00000000,1.31392299,-1.31392299,18.60598503,18,0.28947556
3631721,0.00000000,1.26530784,-1.26530784,17.34067719,18,0.26516799
3635147,0.10000000,0.00000000,0.10000000,17.44067719,19,0.10000000
3637014,0.00000000,1.22549145,-1.22549145,16.21518575,19,0.24553783
3640403,3.00000000,0.00000000,3.00000000,19.21518575,20,3.00000000
3641011,0.40000000,0.00000000,0.40000000,19.61518575,20,0.20000000
3642690,0.00000000,1.41814826,-1.41814826,18.19703748,20,0.28383820
3646035,0.52000000,0.00000000,0.52000000,18.71703748,20,0.52000000
3649183,0.00000000,1.40207678,-1.40207678,17.31496071,20,0.26722246
3655304,0.00000000,1.35019994,-1.35019994,15.96476077,20,0.24553783
3666995,0.00000000,2.55237610,-2.55237610,13.41238467,20,0.24553783
3670529,0.00000000,1.20580462,-1.20580462,12.20658004,20,0.24553783
3678960,0.00000000,1.16118985,-1.16118985,11.04539019,20,0.24553783
3684080,0.10000000,0.00000000,0.10000000,11.14539019,21,0.10000000
3689499,0.00000000,0.63709780,-0.63709780,10.50829239,21,0.24552383
3692848,0.00000000,2.20564040,-2.20564040,8.30265199,21,0.24553783
3701580,0.00000000,2.04862043,-2.04862043,6.25403156,21,0.24553783
3704482,0.00000000,0.96781818,-0.96781818,5.28621339,21,0.24553783
3711571,0.00000000,0.93200890,-0.93200890,4.35420448,21,0.24553783
3717686,0.20000000,0.00000000,0.20000000,4.55420448,22,0.20000000
3721874,0.38000000,0.00000000,0.38000000,4.93420448,23,0.38000000
3727374,0.00000000,0.08171272,-0.08171272,4.85249177,23,0.02402636
3727389,0.00000000,1.08021486,-1.08021486,3.77227691,23,0.24553783
3728551,0.00000000,0.02402636,-0.02402636,3.74825055,23,0.02402636
3751211,0.00500000,0.00000000,0.00500000,3.75325055,24,0.00500000
3769738,0.00000000,0.18089772,-0.18089772,3.57235283,24,0.09900000
3815672,0.00000000,0.18089772,-0.18089772,3.39145512,24,0.09900000
4211541,0.13223900,0.00000000,0.13223900,3.52369412,25,0.13223900
4214059,0.00000000,1.33570650,-1.33570650,2.18798762,25,0.24553783
4223412,0.00000000,0.08679056,-0.08679056,2.10119706,25,0.02656528
4336372,0.01000000,0.00000000,0.01000000,2.11119706,26,0.01000000
4336386,0.00100000,0.00000000,0.00100000,2.11219706,26,0.00100000
4336440,0.00300000,0.00000000,0.00300000,2.11519706,26,0.00300000
4367819,0.00100000,0.00000000,0.00100000,2.11619706,27,0.00100000
4556403,0.00000000,0.02660228,-0.02660228,2.08959478,27,0.02660228
5317949,0.01500000,0.00000000,0.01500000,2.10459478,28,0.01500000
5322238,0.00150000,0.00000000,0.00150000,2.10609478,29,0.00150000
5360409,0.00000000,0.79083085,-0.79083085,1.31526393,29,0.24553783
7547319,0.01000000,0.00000000,0.01000000,1.32526393,30,0.01000000
25383956,0.00001000,0.00000000,0.00001000,1.32527393,31,0.00001000
