block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4083529,0.05000000,0.00000000,0.05000000,0.05000000,1,0.05000000
4083534,0.05000000,0.00250000,0.04750000,0.09750000,2,0.05000000
4083538,0.05000000,0.05000000,0.00000000,0.09750000,3,0.05000000
4083599,1.18635167,1.18635167,0.00000000,0.09750000,3,1.18635167
4085438,1.00000000,1.00000000,0.00000000,0.09750000,4,1.00000000
4088057,0.05000000,0.05000000,0.00000000,0.09750000,5,0.05000000
4100852,1.20000000,1.20000000,0.00000000,0.09750000,6,1.20000000
4103858,0.10000000,0.10000000,0.00000000,0.09750000,7,0.10000000
4104813,1.93000000,1.93000000,0.00000000,0.09750000,8,1.93000000
4105669,0.10000000,0.10000000,0.00000000,0.09750000,9,0.10000000
4105689,1.50000000,1.50000000,0.00000000,0.09750000,10,1.50000000
4106085,3.00000000,3.00000000,0.00000000,0.09750000,11,3.00000000
4106123,0.50000000,0.50000000,0.00000000,0.09750000,12,0.50000000
4106132,2.00000000,2.00000000,0.00000000,0.09750000,12,2.00000000
4106197,0.05000000,0.05000000,0.00000000,0.09750000,13,0.05000000
4106785,0.13000000,0.13000000,0.00000000,0.09750000,14,0.13000000
4106982,2.00000000,2.00000000,0.00000000,0.09750000,15,2.00000000
4107145,0.05000000,0.05000000,0.00000000,0.09750000,16,0.05000000
4107215,10.00000000,10.00000000,0.00000000,0.09750000,17,10.00000000
4107315,0.10000000,0.10000000,0.00000000,0.09750000,18,0.10000000
4107366,2.50000000,2.50000000,0.00000000,0.09750000,19,2.50000000
4110808,4.00000000,4.00000000,0.00000000,0.09750000,20,4.00000000
4111057,3.00000000,3.00000000,0.00000000,0.09750000,21,3.00000000
4111286,1.00000000,1.00000000,0.00000000,0.09750000,22,1.00000000
4111563,0.04100000,0.04100000,0.00000000,0.09750000,23,0.04100000
4111596,10.00000000,10.00000000,0.00000000,0.09750000,23,10.00000000
4112218,4.00000000,4.00000000,0.00000000,0.09750000,24,4.00000000
4112370,0.05000000,0.05000000,0.00000000,0.09750000,25,0.05000000
4112411,0.25687731,0.25687731,0.00000000,0.09750000,26,0.25687731
4112736,0.05500000,0.05500000,0.00000000,0.09750000,27,0.05500000
4112744,0.05000000,0.05000000,0.00000000,0.09750000,28,0.05000000
4113084,0.16000000,0.16000000,0.00000000,0.09750000,29,0.16000000
4113237,0.10000000,0.10000000,0.00000000,0.09750000,30,0.10000000
4113312,0.50000000,0.50000000,0.00000000,0.09750000,31,0.50000000
4113512,1.00000000,1.00000000,0.00000000,0.09750000,32,1.00000000
4113550,0.05000000,0.05000000,0.00000000,0.09750000,33,0.05000000
4113609,0.15000000,0.15000000,0.00000000,0.09750000,34,0.15000000
4113672,0.08420859,0.08420859,0.00000000,0.09750000,35,0.08420859
4113876,0.08800000,0.08800000,0.00000000,0.09750000,35,0.08800000
4114431,1.00000000,1.00000000,0.00000000,0.09750000,36,1.00000000
4114914,0.80000000,0.80000000,0.00000000,0.09750000,37,0.80000000
4114919,0.40000000,0.40000000,0.00000000,0.09750000,37,0.40000000
4115120,10.00000000,10.00000000,0.00000000,0.09750000,37,10.00000000
4115639,0.60000000,0.60000000,0.00000000,0.09750000,38,0.60000000
4115666,0.19146410,0.19146410,0.00000000,0.09750000,39,0.19146410
4115699,0.12000000,0.12000000,-0.00000000,0.09750000,40,0.12000000
4115804,0.15500000,0.15500000,0.00000000,0.09750000,41,0.15500000
4116153,0.10000000,0.10000000,0.00000000,0.09750000,42,0.10000000
4116427,0.99000000,0.99000000,0.00000000,0.09750000,43,0.99000000
4116570,0.40000000,0.40000000,0.00000000,0.09750000,44,0.40000000
4116608,0.06000000,0.06000000,-0.00000000,0.09750000,45,0.06000000
4116656,1.18000000,1.18000000,0.00000000,0.09750000,46,1.18000000
4116672,1.00000000,1.00000000,0.00000000,0.09750000,47,1.00000000
4116820,1.00000000,1.00000000,0.00000000,0.09750000,48,1.00000000
4116826,2.35500000,2.35500000,0.00000000,0.09750000,49,2.35500000
4116860,0.04874000,0.04874000,0.00000000,0.09750000,50,0.04874000
4116874,0.00100000,0.00000000,0.00100000,0.09850000,51,0.00100000
4116939,0.05500000,0.05500000,0.00000000,0.09850000,52,0.05500000
4116998,0.20000000,0.20000000,0.00000000,0.09850000,53,0.20000000
4117031,2.00000000,2.00000000,0.00000000,0.09850000,54,2.00000000
4117036,3.00000000,3.00000000,0.00000000,0.09850000,54,3.00000000
4117101,0.04500000,0.00000000,0.04500000,0.14350000,55,0.04500000
