block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4069981,0.01000000,0.01000000,0.00000000,0.00000000,2,0.01000000
4080751,0.16542460,0.00000000,0.16542460,0.16542460,3,0.16542460
4127119,0.27602738,0.00000000,0.27602738,0.44145198,4,0.27602738
4127145,0.10000000,0.00000000,0.10000000,0.54145198,4,0.10000000
4129298,0.20000000,0.00000000,0.20000000,0.74145198,4,0.20000000
4136226,0.10000000,0.00000000,0.10000000,0.84145198,4,0.10000000
4136815,0.00172046,0.00000000,0.00172046,0.84317244,4,0.00172046
4137060,0.01000000,0.00000000,0.01000000,0.85317244,4,0.01000000
4137486,2.59000000,0.00000000,2.59000000,3.44317244,5,2.59000000
4137496,2.59000000,0.00000000,2.59000000,6.03317244,5,2.59000000
4137501,2.59000000,2.59000000,0.00000000,6.03317244,5,2.59000000
4137507,0.20000000,0.20000000,0.00000000,6.03317244,5,0.20000000
4137550,0.60000000,0.60000000,0.00000000,6.03317244,5,0.60000000
4137575,3.50000000,3.50000000,0.00000000,6.03317244,5,3.50000000
4137617,2.00000000,2.00000000,0.00000000,6.03317244,6,2.00000000
4137647,4.64000000,4.64000000,0.00000000,6.03317244,7,4.64000000
4138221,0.08000000,0.08000000,0.00000000,6.03317244,8,0.08000000
4138273,0.10000000,0.10000000,0.00000000,6.03317244,9,0.10000000
4139106,0.01000000,0.01000000,0.00000000,6.03317244,9,0.01000000
4139113,0.02000000,0.02000000,0.00000000,6.03317244,9,0.02000000
4139150,0.88000000,0.88000000,0.00000000,6.03317244,9,0.88000000
4139288,0.20000000,0.20000000,0.00000000,6.03317244,9,0.20000000
4139309,0.01000000,0.01000000,0.00000000,6.03317244,9,0.01000000
4139982,0.25000000,0.25000000,0.00000000,6.03317244,10,0.25000000
4141731,2.00000000,2.00000000,0.00000000,6.03317244,11,2.00000000
4142531,0.50000000,0.50000000,0.00000000,6.03317244,11,0.50000000
4143293,0.12000000,0.12000000,0.00000000,6.03317244,11,0.12000000
4144467,3.00000000,3.00000000,0.00000000,6.03317244,11,3.00000000
4146851,3.77400000,3.77400000,0.00000000,6.03317244,11,3.77400000
4146963,0.10000000,0.10000000,0.00000000,6.03317244,11,0.10000000
4147329,1.00000000,1.00000000,0.00000000,6.03317244,12,1.00000000
4147543,1.00000000,0.00000000,1.00000000,7.03317244,12,1.00000000
4147967,1.20000000,1.20000000,0.00000000,7.03317244,12,1.20000000
4157197,0.01500000,0.01500000,0.00000000,7.03317244,13,0.01500000
4157222,0.01000000,0.01000000,0.00000000,7.03317244,13,0.01000000
4158740,17.00000000,17.00000000,0.00000000,7.03317244,13,17.00000000
4159048,4.83367285,4.83367285,0.00000000,7.03317244,13,4.83367285
4163734,0.25000000,0.25000000,0.00000000,7.03317244,13,0.25000000
4163994,1.00000000,1.00000000,0.00000000,7.03317244,13,1.00000000
4164813,1.73400000,1.73400000,0.00000000,7.03317244,13,1.73400000
4165298,1.00000000,1.00000000,0.00000000,7.03317244,13,1.00000000
4165444,0.50000000,0.50000000,0.00000000,7.03317244,14,0.50000000
4167964,0.30000000,0.30000000,0.00000000,7.03317244,14,0.30000000
4169484,0.15000000,0.15000000,0.00000000,7.03317244,14,0.15000000
4172214,0.10000000,0.10000000,0.00000000,7.03317244,14,0.10000000
