block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4046445,1.00000000,1.00000000,0.00000000,0.00000000,2,1.00000000
4072945,1.00000000,1.00000000,0.00000000,0.00000000,2,1.00000000
4173071,0.01000000,0.00000000,0.01000000,0.01000000,3,0.01000000
4173082,0.01500000,0.01500000,0.00000000,0.01000000,3,0.01500000
4197466,0.00100000,0.00100000,0.00000000,0.01000000,3,0.00100000
4201182,0.30000000,0.30000000,0.00000000,0.01000000,4,0.30000000
4203068,0.50000000,0.50000000,0.00000000,0.01000000,5,0.50000000
4211974,200.00000000,200.00000000,0.00000000,0.01000000,6,200.00000000
4211988,298.00000000,298.00000000,0.00000000,0.01000000,6,298.00000000
4217088,980.00000000,980.00000000,0.00000000,0.01000000,7,980.00000000
4236139,1.00000000,1.00000000,0.00000000,0.01000000,8,1.00000000
4248272,1.00000000,1.00000000,0.00000000,0.01000000,8,1.00000000
4249379,2.00000000,2.00000000,0.00000000,0.01000000,9,2.00000000
4249707,1.00000000,1.00000000,0.00000000,0.01000000,10,1.00000000
4267666,0.12900000,0.12900000,0.00000000,0.01000000,11,0.12900000
4272197,2.50000000,2.50000000,0.00000000,0.01000000,12,2.50000000
4278871,1.00000000,0.00000000,1.00000000,1.01000000,13,1.00000000
4278883,1.00000000,1.00000000,0.00000000,1.01000000,13,1.00000000
4302707,33.00000000,33.00000000,0.00000000,1.01000000,14,33.00000000
4332584,1.99343200,1.99343200,0.00000000,1.01000000,14,1.99343200
4332594,0.99445850,0.99445850,0.00000000,1.01000000,14,0.99445850
4332601,0.99445875,0.99445875,0.00000000,1.01000000,15,0.99445875
4332622,2.50000000,2.50000000,0.00000000,1.01000000,15,2.50000000
4332669,21.99580000,21.99580000,0.00000000,1.01000000,16,21.99580000
4332744,9.99580000,9.99580000,0.00000000,1.01000000,17,9.99580000
4837105,0.10000000,0.10000000,0.00000000,1.01000000,18,0.10000000
4978823,0.10000000,0.10000000,0.00000000,1.01000000,19,0.10000000
