block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3943550,5.02580000,0.00000000,5.02580000,5.02580000,2,4.02580000
3943552,45.00000000,0.00000000,45.00000000,50.02580000,4,34.00000000
3943553,3.00000000,0.00000000,3.00000000,53.02580000,5,3.00000000
3943554,1.73900000,0.00000000,1.73900000,54.76480000,8,1.25000000
3943555,234.29563987,0.00000000,234.29563987,289.06043987,23,150.00000000
3943556,121.77468747,0.00000000,121.77468747,410.83512734,29,100.00000000
3943557,90.15050661,0.00000000,90.15050661,500.98563395,41,50.00000000
3943558,126.27850016,0.00000000,126.27850016,627.26413411,54,47.50000000
3943559,10.00000000,0.00000000,10.00000000,637.26413411,56,8.00000000
3943560,18.38007000,0.00000000,18.38007000,655.64420411,65,9.01000000
3943561,67.70311038,0.00000000,67.70311038,723.34731449,79,30.00000000
3943563,21.43500000,0.00000000,21.43500000,744.78231449,87,5.00000000
3943565,70.83459432,0.00000000,70.83459432,815.61690881,99,41.00000000
3943566,1.30000000,0.00000000,1.30000000,816.91690881,101,1.00000000
3943568,75.11456486,0.00000000,75.11456486,892.03147367,110,30.00000000
3943569,3.32000000,0.00000000,3.32000000,895.35147367,113,1.83000000
3943570,25.71200000,0.00000000,25.71200000,921.06347367,122,9.00000000
3943572,300.25000000,0.00000000,300.25000000,1221.31347367,124,300.00000000
3943573,16.40000000,0.00000000,16.40000000,1237.71347367,128,11.00000000
3943574,3.97900000,0.00000000,3.97900000,1241.69247367,133,2.18900000
3943575,55.82143056,0.00000000,55.82143056,1297.51390423,142,30.00000000
3943576,8.92000000,0.00000000,8.92000000,1306.43390423,148,4.30000000
3943578,21.40000000,0.00000000,21.40000000,1327.83390423,151,17.00000000
3943579,12.35588227,0.00000000,12.35588227,1340.18978650,155,5.00000000
3943580,0.77000000,0.00000000,0.77000000,1340.95978650,157,0.60000000
3943581,5.88595000,0.00000000,5.88595000,1346.84573650,159,5.00000000
3943582,7.76995000,0.00000000,7.76995000,1354.61568650,163,5.00000000
3943583,2.20000000,0.00000000,2.20000000,1356.81568650,165,2.00000000
3943585,3.68305084,0.00000000,3.68305084,1360.49873734,170,2.10000000
3943586,28.26280880,0.00000000,28.26280880,1388.76154614,181,10.00000000
3943590,429.49140846,0.00000000,429.49140846,1818.25295460,196,300.00000000
3943592,1.39000000,0.00000000,1.39000000,1819.64295460,198,0.99000000
3943594,4.59000000,0.00000000,4.59000000,1824.23295460,202,2.00000000
3943595,32.28432734,0.00000000,32.28432734,1856.51728194,211,8.00000000
3943596,26.80100000,0.00000000,26.80100000,1883.31828194,215,20.00000000
3943600,21.96955272,0.00000000,21.96955272,1905.28783466,226,4.98720272
3943601,69.78549708,0.00000000,69.78549708,1975.07333174,241,48.00000000
3943602,22.39489100,0.00000000,22.39489100,1997.46822274,244,16.99489100
3943603,18.64730009,0.00000000,18.64730009,2016.11552283,254,10.00000000
3943605,3.40000000,0.00000000,3.40000000,2019.51552283,256,2.40000000
3943607,0.06000000,0.00000000,0.06000000,2019.57552283,256,0.06000000
3943608,5.37056651,0.00000000,5.37056651,2024.94608934,260,2.01000000
3943610,16.74711034,0.00000000,16.74711034,2041.69319968,266,12.00000000
3943612,2.08042510,0.00000000,2.08042510,2043.77362478,269,1.59400000
3943613,3.48023489,0.00000000,3.48023489,2047.25385967,271,2.44023489
3943614,9.76512800,0.00000000,9.76512800,2057.01898767,278,4.45000000
3943615,13.91400000,0.00000000,13.91400000,2070.93298767,289,2.60000000
3943617,0.69000000,0.00000000,0.69000000,2071.62298767,291,0.50000000
3943618,4.22000000,0.00000000,4.22000000,2075.84298767,297,1.00000000
3943619,1.42900000,0.00000000,1.42900000,2077.27198767,299,1.00000000
3943620,279.50104234,0.00000000,279.50104234,2356.77303001,302,273.00000000
3943622,69.40500000,0.00000000,69.40500000,2426.17803001,309,29.50000000
3943624,5.81275316,0.00000000,5.81275316,2431.99078317,313,5.00000000
3943626,3.38654556,0.00000000,3.38654556,2435.37732873,316,1.60000000
3943628,6.18827243,0.00000000,6.18827243,2441.56560116,321,2.00000000
3943631,3.69200000,0.00000000,3.69200000,2445.25760116,325,2.00000000
3943634,11.59300000,0.00000000,11.59300000,2456.85060116,329,8.00000000
3943636,1.79000000,0.00000000,1.79000000,2458.64060116,332,1.00000000
3943640,4.47100000,0.00000000,4.47100000,2463.11160116,333,4.47100000
3943641,18.10672576,0.00000000,18.10672576,2481.21832693,336,10.00000000
3943642,0.05000000,0.00000000,0.05000000,2481.26832693,337,0.05000000
3943643,10.22600000,0.00000000,10.22600000,2491.49432693,340,8.69600000
3943647,7.09900000,0.00000000,7.09900000,2498.59332693,344,4.99900000
3943649,14.68996918,0.00000000,14.68996918,2513.28329611,348,6.40000000
3943651,1.00000000,0.00000000,1.00000000,2514.28329611,348,1.00000000
3943652,10.64315755,0.00000000,10.64315755,2524.92645366,352,9.00000000
3943653,1.00000000,0.00000000,1.00000000,2525.92645366,353,1.00000000
3943660,36.06937000,0.00000000,36.06937000,2561.99582366,357,32.00000000
3943661,2.20000000,0.00000000,2.20000000,2564.19582366,359,2.00000000
