block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4202405,0.00300000,0.00000000,0.00300000,0.00300000,1,0.00300000
4202410,0.00300000,0.00000000,0.00300000,0.00600000,1,0.00300000
4206109,0.00400000,0.00000000,0.00400000,0.01000000,2,0.00400000
4206206,0.00500000,0.00000000,0.00500000,0.01500000,2,0.00500000
4206225,0.00500000,0.00000000,0.00500000,0.02000000,2,0.00500000
4206238,0.00500000,0.00000000,0.00500000,0.02500000,2,0.00500000
4206241,0.00400000,0.00000000,0.00400000,0.02900000,2,0.00400000
4206249,0.00400000,0.00000000,0.00400000,0.03300000,2,0.00400000
4206255,0.00400000,0.00000000,0.00400000,0.03700000,2,0.00400000
4206264,0.00400000,0.00000000,0.00400000,0.04100000,2,0.00400000
4206272,0.00500000,0.00000000,0.00500000,0.04600000,2,0.00500000
4206294,0.00500000,0.00000000,0.00500000,0.05100000,2,0.00500000
4206352,0.00400000,0.00000000,0.00400000,0.05500000,2,0.00400000
4206362,0.00400000,0.00000000,0.00400000,0.05900000,2,0.00400000
4206371,0.00400000,0.00000000,0.00400000,0.06300000,2,0.00400000
4206384,0.00500000,0.00000000,0.00500000,0.06800000,2,0.00500000
4206392,0.00500000,0.00000000,0.00500000,0.07300000,2,0.00500000
4206397,0.00400000,0.00000000,0.00400000,0.07700000,2,0.00400000
4209405,0.00500000,0.00000000,0.00500000,0.08200000,2,0.00500000
4209464,0.00500000,0.00000000,0.00500000,0.08700000,2,0.00500000
4213605,0.00500000,0.00000000,0.00500000,0.09200000,3,0.00500000
4213609,0.01000000,0.00000000,0.01000000,0.10200000,3,0.01000000
4213887,0.05000000,0.00000000,0.05000000,0.15200000,4,0.05000000
4213948,0.00010000,0.00000000,0.00010000,0.15210000,5,0.00010000
4214020,0.01000000,0.00000000,0.01000000,0.16210000,6,0.01000000
4214066,0.01000000,0.00000000,0.01000000,0.17210000,6,0.01000000
4214075,0.00500000,0.00000000,0.00500000,0.17710000,6,0.00500000
4214332,0.01000000,0.00000000,0.01000000,0.18710000,6,0.01000000
4216931,0.00500000,0.00000000,0.00500000,0.19210000,7,0.00500000
4224251,0.00500000,0.00000000,0.00500000,0.19710000,8,0.00500000
4224259,0.00500000,0.00000000,0.00500000,0.20210000,8,0.00500000
4224270,0.00600000,0.00000000,0.00600000,0.20810000,8,0.00600000
4224402,0.00600000,0.00000000,0.00600000,0.21410000,8,0.00600000
4234819,0.00600000,0.00000000,0.00600000,0.22010000,9,0.00600000
4234882,0.00500000,0.00000000,0.00500000,0.22510000,9,0.00500000
4234888,0.00500000,0.00000000,0.00500000,0.23010000,9,0.00500000
4237491,0.00001000,0.00000000,0.00001000,0.23011000,10,0.00001000
4238547,0.00300000,0.00000000,0.00300000,0.23311000,11,0.00300000
4238733,0.00500000,0.00000000,0.00500000,0.23811000,12,0.00500000
4238747,0.00500000,0.00000000,0.00500000,0.24311000,12,0.00500000
4238772,0.00001000,0.00000000,0.00001000,0.24312000,12,0.00001000
4241317,0.00100000,0.00000000,0.00100000,0.24412000,13,0.00100000
