block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4201680,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
4201689,0.10000000,0.00000000,0.10000000,0.20000000,1,0.10000000
4201761,0.10000000,0.00000000,0.10000000,0.30000000,1,0.10000000
4202778,1.00000000,0.00000000,1.00000000,1.30000000,1,1.00000000
4205032,0.10000000,0.00000000,0.10000000,1.40000000,1,0.10000000
4205836,1.00000000,0.00000000,1.00000000,2.40000000,1,1.00000000
4209761,0.30000000,0.00000000,0.30000000,2.70000000,1,0.30000000
4211630,0.10000000,0.00000000,0.10000000,2.80000000,1,0.10000000
4212112,0.10000000,0.00000000,0.10000000,2.90000000,1,0.10000000
4215041,0.20000000,0.00000000,0.20000000,3.10000000,1,0.20000000
4225601,0.50000000,0.00000000,0.50000000,3.60000000,1,0.50000000
4226033,0.10000000,0.00000000,0.10000000,3.70000000,1,0.10000000
4263247,2.00000000,0.00000000,2.00000000,5.70000000,1,2.00000000
4347215,0.00000000,1.00000000,-1.00000000,4.70000000,2,1.00000000
4347237,0.00000000,1.00000000,-1.00000000,3.70000000,3,1.00000000
4347255,0.00000000,1.00000000,-1.00000000,2.70000000,3,1.00000000
4347277,0.00000000,1.00000000,-1.00000000,1.70000000,4,1.00000000
4347284,0.00000000,1.60000000,-1.60000000,0.10000000,4,1.60000000
