block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3678858,0.50000000,0.00000000,0.50000000,0.50000000,1,0.50000000
3678899,0.50000000,0.00000000,0.50000000,1.00000000,1,0.50000000
3678910,0.00250000,0.00000000,0.00250000,1.00250000,2,0.00250000
3678933,0.40000000,0.00000000,0.40000000,1.40250000,2,0.40000000
3678977,0.00250000,0.00000000,0.00250000,1.40500000,3,0.00250000
3679023,0.00250000,0.00000000,0.00250000,1.40750000,3,0.00250000
3679577,0.10000000,0.00000000,0.10000000,1.50750000,4,0.10000000
12034450,0.01000000,0.00000000,0.01000000,1.51750000,5,0.01000000
12037528,0.00250000,0.00000000,0.00250000,1.52000000,6,0.00250000
12038648,0.00250000,0.00000000,0.00250000,1.52250000,7,0.00250000
