block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3080067,1.49600000,0.00000000,1.49600000,1.49600000,1,1.49600000
3080078,0.00000000,0.00100000,-0.00100000,1.49500000,1,0.00100000
3080137,50.29347092,0.00000000,50.29347092,51.78847092,2,50.29347092
3273039,0.40000000,0.00000000,0.40000000,52.18847092,3,0.40000000
3278003,0.42000000,0.00000000,0.42000000,52.60847092,3,0.42000000
3288112,0.40000000,0.00000000,0.40000000,53.00847092,4,0.40000000
3303355,0.10000000,0.00000000,0.10000000,53.10847092,5,0.10000000
3303365,0.00000000,0.10000000,-0.10000000,53.00847092,5,0.10000000
3315230,0.80000000,0.00000000,0.80000000,53.80847092,6,0.80000000
3319777,0.40000000,0.00000000,0.40000000,54.20847092,7,0.40000000
3325191,1.00000002,0.00000000,1.00000002,55.20847094,8,1.00000002
3326099,0.00000000,0.97000002,-0.97000002,54.23847092,8,0.97000002
3333807,0.00000000,0.03382982,-0.03382982,54.20464110,9,0.03382982
3336474,0.05844390,0.00000000,0.05844390,54.26308500,9,0.05844390
3337230,0.00000000,0.00976000,-0.00976000,54.25332500,9,0.00976000
3339744,0.00000000,0.08050000,-0.08050000,54.17282500,9,0.08050000
3344580,0.00000000,0.03382982,-0.03382982,54.13899518,10,0.03382982
3345724,0.16000000,0.00000000,0.16000000,54.29899518,11,0.16000000
3346317,0.00000000,0.18000000,-0.18000000,54.11899518,11,0.18000000
3386045,0.02381348,0.00000000,0.02381348,54.14280866,11,0.02381348
3393123,0.00000000,0.16200000,-0.16200000,53.98080866,11,0.16200000
3437223,0.18000000,0.00000000,0.18000000,54.16080866,12,0.18000000
3556514,0.00000000,1.39000000,-1.39000000,52.77080866,12,1.39000000
3556525,0.00000000,52.05847092,-52.05847092,0.71233774,13,51.78847092
