block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3492504,1.50000000,0.00000000,1.50000000,1.50000000,1,1.50000000
3492520,39.37776904,0.00000000,39.37776904,40.87776904,3,27.77700000
3492544,1.00000000,0.00000000,1.00000000,41.87776904,4,1.00000000
3492561,184.09000000,0.00000000,184.09000000,225.96776904,5,184.09000000
3492575,1.50000000,0.00000000,1.50000000,227.46776904,6,1.50000000
3492590,22.20000000,0.00000000,22.20000000,249.66776904,6,22.20000000
3492614,30.00000000,0.00000000,30.00000000,279.66776904,7,30.00000000
3492625,20.00000000,0.00000000,20.00000000,299.66776904,7,20.00000000
3492666,4.50000000,0.00000000,4.50000000,304.16776904,8,4.50000000
3492671,125.00000000,0.00000000,125.00000000,429.16776904,9,125.00000000
3492683,125.00000000,0.00000000,125.00000000,554.16776904,9,125.00000000
3492690,2.29000000,0.00000000,2.29000000,556.45776904,10,2.29000000
3492747,15.00000000,0.00000000,15.00000000,571.45776904,11,15.00000000
3492781,1.80000000,0.00000000,1.80000000,573.25776904,12,1.80000000
3492789,17.50000000,0.00000000,17.50000000,590.75776904,13,17.50000000
3492800,99.78000000,0.00000000,99.78000000,690.53776904,14,99.78000000
3492836,151.90000000,0.00000000,151.90000000,842.43776904,15,151.90000000
3493200,0.00000000,717.43776904,-717.43776904,125.00000000,16,717.43776904
