block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2614577,3.00000000,0.00000000,3.00000000,3.00000000,1,3.00000000
2614601,3.00000000,0.30000000,2.70000000,5.70000000,4,3.00000000
2614613,3.00000000,0.39000000,2.61000000,8.31000000,6,3.00000000
2614756,3.00000000,0.39000000,2.61000000,10.92000000,6,3.00000000
2614992,3.00000000,0.39000000,2.61000000,13.53000000,6,3.00000000
2618985,19.00000000,0.95000000,18.05000000,31.58000000,7,19.00000000
2621612,0.00000000,0.17250000,-0.17250000,31.40750000,7,0.10500000
2625581,4.00000000,0.20000000,3.80000000,35.20750000,8,4.00000000
2625611,4.00000000,0.52000000,3.48000000,38.68750000,11,4.00000000
2625628,0.00000000,0.66500000,-0.66500000,38.02250000,11,0.66500000
2627595,0.00000000,0.17250000,-0.17250000,37.85000000,11,0.10500000
2632383,3.00000000,0.30000000,2.70000000,40.55000000,12,3.00000000
2633171,0.00000000,0.93700000,-0.93700000,39.61300000,12,0.66500000
2636413,0.00000000,0.04050000,-0.04050000,39.57250000,12,0.04050000
2639417,0.00000000,1.08250000,-1.08250000,38.49000000,12,0.66500000
2644846,0.00000000,0.91000000,-0.91000000,37.58000000,12,0.66500000
2648502,0.00000000,0.17250000,-0.17250000,37.40750000,12,0.10500000
2648746,2.99000000,0.00000000,2.99000000,40.39750000,13,2.99000000
2650952,0.00000000,0.91000000,-0.91000000,39.48750000,13,0.66500000
2651418,3.00000000,0.15000000,2.85000000,42.33750000,13,3.00000000
2654355,0.00000000,0.17250000,-0.17250000,42.16500000,13,0.10500000
2657423,0.00000000,1.04200000,-1.04200000,41.12300000,13,0.66500000
2662040,0.00000000,0.81050000,-0.81050000,40.31250000,13,0.66500000
2663569,0.00000000,0.37700000,-0.37700000,39.93550000,13,0.14000000
2666678,0.00000000,0.14550000,-0.14550000,39.79000000,13,0.10500000
2669392,0.00000000,0.91000000,-0.91000000,38.88000000,13,0.66500000
2672616,0.00000000,0.27750000,-0.27750000,38.60250000,13,0.10500000
2675544,0.00000000,1.01500000,-1.01500000,37.58750000,13,0.66500000
2678364,0.00000000,0.17250000,-0.17250000,37.41500000,13,0.10500000
2681577,0.00000000,1.04200000,-1.04200000,36.37300000,13,0.66500000
2684731,0.00000000,0.14550000,-0.14550000,36.22750000,13,0.10500000
2687346,0.00000000,1.01500000,-1.01500000,35.21250000,13,0.66500000
2687445,0.00000000,0.02700000,-0.02700000,35.18550000,13,0.02700000
2690373,0.00000000,0.14550000,-0.14550000,35.04000000,13,0.10500000
2695056,0.00000000,1.18750000,-1.18750000,33.85250000,13,0.66500000
2699895,0.00000000,1.18750000,-1.18750000,32.66500000,13,0.66500000
2702948,3.00000000,0.36000000,2.64000000,35.30500000,15,3.00000000
2705379,0.00000000,1.04200000,-1.04200000,34.26300000,15,0.66500000
2708053,0.00000000,0.14550000,-0.14550000,34.11750000,15,0.10500000
2711462,0.00000000,1.14700000,-1.14700000,32.97050000,15,0.66500000
2714271,0.00000000,0.14550000,-0.14550000,32.82500000,15,0.10500000
2717441,0.00000000,1.14700000,-1.14700000,31.67800000,15,0.66500000
2720119,0.00000000,0.14550000,-0.14550000,31.53250000,15,0.10500000
2723393,0.00000000,1.12000000,-1.12000000,30.41250000,15,0.66500000
2726492,0.00000000,0.17250000,-0.17250000,30.24000000,15,0.10500000
2730718,0.00000000,1.29250000,-1.29250000,28.94750000,15,0.66500000
2736029,0.00000000,1.29250000,-1.29250000,27.65500000,15,0.66500000
2740539,0.00000000,0.91000000,-0.91000000,26.74500000,15,0.66500000
2744999,0.00000000,0.38250000,-0.38250000,26.36250000,15,0.10500000
2747974,0.00000000,1.29250000,-1.29250000,25.07000000,15,0.66500000
2765509,0.00000000,3.60000000,-3.60000000,21.47000000,15,1.99500000
2770885,0.00000000,1.18750000,-1.18750000,20.28250000,15,0.66500000
2772044,0.00000000,0.23700000,-0.23700000,20.04550000,15,0.10500000
2781189,0.00000000,1.43800000,-1.43800000,18.60750000,15,0.66500000
2793307,0.00000000,2.58500000,-2.58500000,16.02250000,15,1.33000000
2800089,0.00000000,1.39750000,-1.39750000,14.62500000,15,0.66500000
2809041,0.00000000,1.60500000,-1.60500000,13.02000000,15,0.66500000
2817498,0.00000000,0.38250000,-0.38250000,12.63750000,15,0.10500000
2824360,0.00000000,0.06750000,-0.06750000,12.57000000,15,0.04050000
