block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1300588,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
1300590,0.16000000,0.16600000,-0.00600000,0.09400000,1,0.16000000
1300595,20.00000000,2.24000000,17.76000000,17.85400000,2,20.00000000
1300606,1.00000000,0.10000000,0.90000000,18.75400000,3,1.00000000
1300608,4.00000000,0.40000000,3.60000000,22.35400000,4,4.00000000
1300611,1.00000000,0.10000000,0.90000000,23.25400000,4,1.00000000
1300615,0.50000000,0.05000000,0.45000000,23.70400000,5,0.50000000
1300626,2.00000000,0.20000000,1.80000000,25.50400000,6,2.00000000
1300783,4.49300000,0.44930000,4.04370000,29.54770000,6,4.49300000
1300797,0.45200000,0.04520000,0.40680000,29.95450000,6,0.45200000
1300804,0.03000000,0.00300000,0.02700000,29.98150000,6,0.03000000
1300885,0.02000000,0.00200000,0.01800000,29.99950000,6,0.02000000
1300892,0.01000000,30.00100000,-29.99100000,0.00850000,6,30.00000000
