block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3219681,277.77000000,0.00000000,277.77000000,277.77000000,1,277.77000000
3219760,0.01000000,0.00000000,0.01000000,277.78000000,2,0.01000000
3219781,0.00000000,0.00000000,-0.00000000,277.78000000,2,0.00000000
3219857,0.02000000,0.00000000,0.02000000,277.80000000,2,0.02000000
3219864,0.00000000,0.00000000,-0.00000000,277.80000000,2,0.00000000
3220362,0.05000000,0.00000000,0.05000000,277.85000000,2,0.05000000
3220366,0.00000000,0.10000000,-0.10000000,277.75000000,2,0.10000000
3222292,0.01000000,0.00000000,0.01000000,277.76000000,2,0.01000000
3222298,0.00000000,0.00000000,-0.00000000,277.76000000,2,0.00000000
3225040,0.21000000,0.00000000,0.21000000,277.97000000,3,0.21000000
3225045,0.00000000,0.00000000,-0.00000000,277.97000000,3,0.00000000
3225051,0.42000000,0.00000000,0.42000000,278.39000000,3,0.42000000
3225055,0.00000000,0.42000000,-0.42000000,277.97000000,3,0.42000000
3225294,1.12000000,0.00000000,1.12000000,279.09000000,3,1.12000000
3225298,0.00000000,0.00000000,-0.00000000,279.09000000,3,0.00000000
3225312,2.24000000,0.00000000,2.24000000,281.33000000,3,2.24000000
3225317,0.00000000,5.04000000,-5.04000000,276.29000000,3,5.04000000
3225329,0.39000000,0.00000000,0.39000000,276.68000000,3,0.39000000
3225336,0.00000000,0.00000000,-0.00000000,276.68000000,3,0.00000000
3225339,0.78000000,0.00000000,0.78000000,277.46000000,3,0.78000000
3225345,0.00000000,2.16000000,-2.16000000,275.30000000,3,2.16000000
3225383,0.36000000,0.00000000,0.36000000,275.66000000,3,0.36000000
3225387,0.00000000,1.08000000,-1.08000000,274.58000000,3,1.08000000
3225391,0.39000000,0.00000000,0.39000000,274.97000000,3,0.39000000
3225396,0.00000000,0.00000000,-0.00000000,274.97000000,3,0.00000000
3225471,0.78000000,0.00000000,0.78000000,275.75000000,3,0.78000000
3225479,0.00000000,0.00000000,-0.00000000,275.75000000,3,0.00000000
3225482,1.56000000,0.00000000,1.56000000,277.31000000,3,1.56000000
3225491,0.00000000,0.00000000,-0.00000000,277.31000000,3,0.00000000
3225620,2.47000000,0.00000000,2.47000000,279.78000000,3,2.47000000
3225627,0.00000000,0.00000000,-0.00000000,279.78000000,3,0.00000000
3232491,0.01000000,0.00000000,0.01000000,279.79000000,4,0.01000000
3232495,0.00000000,0.02000000,-0.02000000,279.77000000,4,0.02000000
3232505,0.01000000,0.00000000,0.01000000,279.78000000,4,0.01000000
3232513,0.00000000,0.00000000,-0.00000000,279.78000000,4,0.00000000
3235137,0.07000000,0.00000000,0.07000000,279.85000000,4,0.07000000
3235142,0.00000000,0.21000000,-0.21000000,279.64000000,4,0.21000000
3235166,0.07000000,0.00000000,0.07000000,279.71000000,4,0.07000000
3235180,0.00000000,0.00000000,-0.00000000,279.71000000,4,0.00000000
3235189,0.14000000,0.00000000,0.14000000,279.85000000,4,0.14000000
3235196,0.00000000,0.00000000,-0.00000000,279.85000000,4,0.00000000
