block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2697337,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
2697339,0.20000000,0.10000000,0.10000000,0.20000000,2,0.20000000
2697361,0.40000000,0.20000000,0.20000000,0.40000000,2,0.40000000
2697847,0.50000000,0.36000000,0.14000000,0.54000000,2,0.50000000
2697902,0.20000000,0.48600000,-0.28600000,0.25400000,2,0.48600000
2703249,0.01000000,0.22860000,-0.21860000,0.03540000,3,0.22860000
2705416,0.13540000,0.03186000,0.10354000,0.13894000,3,0.13540000
2705477,0.23894000,0.13894000,0.10000000,0.23894000,3,0.23894000
2705671,0.00000000,0.21504600,-0.21504600,0.02389400,3,0.21504600
2705728,0.20000000,0.02389400,0.17610600,0.20000000,3,0.20000000
2705887,0.60000000,0.20000000,0.40000000,0.60000000,3,0.30000000
2706029,0.40000000,0.30000000,0.10000000,0.70000000,3,0.40000000
2706041,0.50000000,0.40000000,0.10000000,0.80000000,3,0.50000000
2706150,0.60000000,0.50000000,0.10000000,0.90000000,3,0.60000000
2708390,0.14000000,0.54000000,-0.40000000,0.50000000,3,0.54000000
2708409,0.30000000,0.20000000,0.10000000,0.60000000,3,0.30000000
2708923,0.00000000,0.27000000,-0.27000000,0.33000000,3,0.27000000
2709110,0.26000000,0.02700000,0.23300000,0.56300000,3,0.13000000
2709114,0.23300000,0.13300000,0.10000000,0.66300000,3,0.23300000
2709490,0.00000000,0.20970000,-0.20970000,0.45330000,3,0.20970000
2711146,0.20000000,0.02097000,0.17903000,0.63233000,3,0.20000000
2711171,0.40000000,0.20233000,0.19767000,0.83000000,3,0.40000000
2714754,0.00000000,0.36000000,-0.36000000,0.47000000,3,0.36000000
2714920,0.14000000,0.04000000,0.10000000,0.57000000,3,0.14000000
2715100,0.24000000,0.12600000,0.11400000,0.68400000,3,0.24000000
2715189,0.35400000,0.25400000,0.10000000,0.78400000,3,0.35400000
2715199,0.45400000,0.35400000,0.10000000,0.88400000,3,0.45400000
2715533,0.00000000,0.40860000,-0.40860000,0.47540000,3,0.40860000
2715546,0.14540000,0.04540000,0.10000000,0.57540000,3,0.14540000
2715607,0.30000000,0.14540000,0.15460000,0.73000000,3,0.30000000
2715672,0.40000000,0.30000000,0.10000000,0.83000000,3,0.40000000
2715797,0.50000000,0.40000000,0.10000000,0.93000000,3,0.50000000
2715940,0.60000000,0.50000000,0.10000000,1.03000000,3,0.60000000
2716087,1.00000000,0.60000000,0.40000000,1.43000000,3,1.00000000
2716270,0.10000000,0.00000000,0.10000000,1.53000000,4,0.10000000
2716287,1.11000000,1.00000000,0.11000000,1.64000000,5,1.11000000
2716514,2.42000000,1.11000000,1.31000000,2.95000000,6,1.21000000
2716524,1.31000000,1.21000000,0.10000000,3.05000000,6,1.31000000
2716553,1.50000000,1.31000000,0.19000000,3.24000000,6,1.50000000
2716558,1.61111111,1.50000000,0.11111111,3.35111111,6,1.61111111
2716621,1.75000000,1.61111111,0.13888889,3.49000000,6,1.75000000
2716630,1.85123457,1.75000000,0.10123457,3.59123457,6,1.85123457
2716701,1.95200000,1.85123457,0.10076543,3.69200000,6,1.95200000
2716993,2.05410000,1.95200000,0.10210000,3.79410000,7,2.05410000
2717240,2.15410000,2.05410000,0.10000000,3.89410000,8,2.15410000
2717535,2.55000000,2.15410000,0.39590000,4.29000000,8,2.55000000
2718087,0.00000000,2.29500000,-2.29500000,1.99500000,8,2.29500000
2718322,0.35000000,0.00000000,0.35000000,2.34500000,8,0.35000000
2718403,0.00000000,0.22950000,-0.22950000,2.11550000,8,0.22950000
2718936,0.00000000,0.02295000,-0.02295000,2.09255000,8,0.02295000
2720855,0.00000000,0.00229500,-0.00229500,2.09025500,9,0.00229500
2720860,0.10025500,0.00025500,0.10000000,2.19025500,9,0.10025500
2721203,0.00000000,0.09022950,-0.09022950,2.10002550,9,0.09022950
2725287,0.11002550,0.01002550,0.10000000,2.20002550,9,0.11002550
2727682,1.00000000,0.11002550,0.88997450,3.09000000,9,1.00000000
2730836,1.10000000,1.00000000,0.10000000,3.19000000,9,1.10000000
2732202,1.20000000,1.10000000,0.10000000,3.29000000,10,1.20000000
2740845,0.00000000,1.08000000,-1.08000000,2.21000000,10,1.08000000
5125007,0.00000000,0.10800000,-0.10800000,2.10200000,10,0.10800000
5138373,0.00000000,0.01080000,-0.01080000,2.09120000,11,0.01080000
5184098,0.00000000,0.00108000,-0.00108000,2.09012000,11,0.00108000
