block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1270807,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
1270879,0.20000000,0.14500000,0.05500000,0.15500000,3,0.20000000
1270884,2.00000000,0.45000000,1.55000000,1.70500000,3,2.00000000
1270890,4.00000000,2.90000000,1.10000000,2.80500000,3,4.00000000
1270902,10.00000000,6.00000000,4.00000000,6.80500000,4,10.00000000
1270906,5.00000000,0.50000000,4.50000000,11.30500000,4,5.00000000
1270912,10.00000000,19.75000000,-9.75000000,1.55500000,4,12.50000000
1270914,10.00000000,1.00000000,9.00000000,10.55500000,5,10.00000000
1270918,20.00000000,27.00000000,-7.00000000,3.55500000,6,12.50000000
1270922,10.00000000,13.50000000,-3.50000000,0.05500000,6,12.50000000
1270926,10.00000000,1.00000000,9.00000000,9.05500000,6,10.00000000
1270927,3.50000000,0.35000000,3.15000000,12.20500000,7,3.50000000
1270929,10.00000000,13.50000000,-3.50000000,8.70500000,7,12.50000000
1270930,10.00000000,13.50000000,-3.50000000,5.20500000,7,12.50000000
1270933,10.00000000,13.50000000,-3.50000000,1.70500000,7,12.50000000
1270936,10.00000000,5.37500000,4.62500000,6.33000000,7,10.00000000
1270937,10.00000000,13.50000000,-3.50000000,2.83000000,7,12.50000000
1270939,15.00000000,14.00000000,1.00000000,3.83000000,7,12.50000000
1270942,4.00000000,0.40000000,3.60000000,7.43000000,7,4.00000000
1270956,0.10000000,0.01000000,0.09000000,7.52000000,7,0.10000000
1271000,0.10000000,0.01000000,0.09000000,7.61000000,7,0.10000000
1271336,5.00000000,0.50000000,4.50000000,12.11000000,8,5.00000000
1272175,0.15000000,0.00000000,0.15000000,12.26000000,9,0.15000000
1273401,5.00000000,13.00000000,-8.00000000,4.26000000,10,12.50000000
1273431,8.00000000,0.00000000,8.00000000,12.26000000,11,8.00000000
1273606,1.00000000,0.00000000,1.00000000,13.26000000,12,1.00000000
1273805,9.90000000,13.49000000,-3.59000000,9.67000000,12,12.50000000
1274204,1.00000000,0.10000000,0.90000000,10.57000000,13,1.00000000
1274301,1.00000000,0.10000000,0.90000000,11.47000000,13,1.00000000
1274857,1.00000000,0.10000000,0.90000000,12.37000000,14,1.00000000
1274869,1.10000000,0.11000000,0.99000000,13.36000000,14,1.10000000
1275643,0.69258900,0.06925890,0.62333010,13.98333010,15,0.69258900
1275645,1.68758900,0.16875890,1.51883010,15.50216020,15,1.00000000
1275685,0.68103900,0.06810390,0.61293510,16.11509530,16,0.68103900
