block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3639486,69.00000000,0.00000000,69.00000000,69.00000000,1,69.00000000
3639487,600.00000000,0.00000000,600.00000000,669.00000000,2,600.00000000
3639548,69.00000000,0.00000000,69.00000000,738.00000000,2,69.00000000
3639565,69.00000000,0.00000000,69.00000000,807.00000000,3,69.00000000
3639656,70.10000000,0.00000000,70.10000000,877.10000000,4,70.10000000
3639727,100.10000000,0.00000000,100.10000000,977.20000000,5,100.10000000
3639734,100.10000000,0.00000000,100.10000000,1077.30000000,5,100.10000000
3640174,40.10000000,0.00000000,40.10000000,1117.40000000,6,40.10000000
3640323,70.00000000,0.00000000,70.00000000,1187.40000000,7,70.00000000
3644072,40.10000000,0.00000000,40.10000000,1227.50000000,8,40.10000000
3644962,40.10000000,0.00000000,40.10000000,1267.60000000,9,40.10000000
3645129,40.10000000,0.00000000,40.10000000,1307.70000000,10,40.10000000
3645202,40.10000000,0.00000000,40.10000000,1347.80000000,10,40.10000000
3645988,50.10000000,0.00000000,50.10000000,1397.90000000,11,50.10000000
3651059,40.10000000,0.00000000,40.10000000,1438.00000000,11,40.10000000
3652156,40.10000000,0.00000000,40.10000000,1478.10000000,12,40.10000000
3655106,65.10000000,0.00000000,65.10000000,1543.20000000,12,65.10000000
3657992,40.05000000,0.00000000,40.05000000,1583.25000000,13,40.05000000
3658097,80.00000000,0.00000000,80.00000000,1663.25000000,14,80.00000000
3658102,55.00000000,0.00000000,55.00000000,1718.25000000,15,55.00000000
3661642,40.08000000,0.00000000,40.08000000,1758.33000000,16,40.08000000
3664305,100.00000000,0.00000000,100.00000000,1858.33000000,17,100.00000000
3664320,50.00000000,0.00000000,50.00000000,1908.33000000,18,50.00000000
3666850,40.09500000,0.00000000,40.09500000,1948.42500000,19,40.09500000
3669304,40.10000000,0.00000000,40.10000000,1988.52500000,20,40.10000000
3674669,40.10000000,0.00000000,40.10000000,2028.62500000,20,40.10000000
3683694,1.00000000,0.00000000,1.00000000,2029.62500000,21,1.00000000
3683712,25.00000000,0.00000000,25.00000000,2054.62500000,22,25.00000000
3683840,100.00000000,0.00000000,100.00000000,2154.62500000,22,100.00000000
3683888,40.00000000,0.00000000,40.00000000,2194.62500000,22,40.00000000
3683898,100.00000000,0.00000000,100.00000000,2294.62500000,22,100.00000000
3689688,150.00000000,0.00000000,150.00000000,2444.62500000,22,150.00000000
3721034,45.10000000,0.00000000,45.10000000,2489.72500000,23,45.10000000
3722914,274.40600000,0.00000000,274.40600000,2764.13100000,24,274.40600000
3769294,55.99788509,0.00000000,55.99788509,2820.12888509,25,55.99788509
3769309,55.99330518,0.00000000,55.99330518,2876.12219027,25,55.99330518
3770308,465.18000000,0.00000000,465.18000000,3341.30219027,26,465.18000000
3770970,88.00000000,0.00000000,88.00000000,3429.30219027,27,88.00000000
3771068,50.10000000,0.00000000,50.10000000,3479.40219027,28,50.10000000
3774841,99.99580000,0.00000000,99.99580000,3579.39799027,29,99.99580000
3784079,298.53157900,0.00000000,298.53157900,3877.92956927,30,298.53157900
3787724,40.10000000,0.00000000,40.10000000,3918.02956927,31,40.10000000
3787868,40.50000000,0.00000000,40.50000000,3958.52956927,32,40.50000000
3796317,5.00000000,0.00000000,5.00000000,3963.52956927,33,5.00000000
3796548,40.10000000,0.00000000,40.10000000,4003.62956927,33,40.10000000
3797209,0.00000000,69.00000000,-69.00000000,3934.62956927,34,69.00000000
3797241,0.00000000,600.00000000,-600.00000000,3334.62956927,34,600.00000000
3797243,0.00000000,69.00000000,-69.00000000,3265.62956927,34,69.00000000
3797245,0.00000000,70.10000000,-70.10000000,3195.52956927,34,70.10000000
3797249,0.00000000,140.20000000,-140.20000000,3055.32956927,34,140.20000000
3797251,0.00000000,40.10000000,-40.10000000,3015.22956927,34,40.10000000
3797261,0.00000000,135.10000000,-135.10000000,2880.12956927,34,135.10000000
3797265,0.00000000,40.10000000,-40.10000000,2840.02956927,34,40.10000000
3797271,0.00000000,40.10000000,-40.10000000,2799.92956927,34,40.10000000
3797277,0.00000000,40.10000000,-40.10000000,2759.82956927,34,40.10000000
3797282,0.00000000,90.20000000,-90.20000000,2669.62956927,34,90.20000000
3797316,0.00000000,40.10000000,-40.10000000,2629.52956927,34,40.10000000
3797322,0.00000000,40.05000000,-40.05000000,2589.47956927,34,40.05000000
3797326,0.00000000,80.00000000,-80.00000000,2509.47956927,34,80.00000000
3797329,0.00000000,55.00000000,-55.00000000,2454.47956927,34,55.00000000
3798375,0.00000000,40.08000000,-40.08000000,2414.39956927,34,40.08000000
3798377,0.00000000,100.00000000,-100.00000000,2314.39956927,34,100.00000000
3798381,0.00000000,50.00000000,-50.00000000,2264.39956927,34,50.00000000
3798385,0.00000000,40.09500000,-40.09500000,2224.30456927,34,40.09500000
3798391,0.00000000,40.10000000,-40.10000000,2184.20456927,34,40.10000000
3798393,0.00000000,40.00000000,-40.00000000,2144.20456927,34,40.00000000
3798395,0.00000000,250.00000000,-250.00000000,1894.20456927,34,250.00000000
3798399,0.00000000,45.10000000,-45.10000000,1849.10456927,34,45.10000000
3798404,0.00000000,274.40600000,-274.40600000,1574.69856927,34,274.40600000
3798408,0.00000000,55.99330518,-55.99330518,1518.70526409,34,55.99330518
3798412,0.00000000,465.18000000,-465.18000000,1053.52526409,34,465.18000000
3798414,0.00000000,88.00000000,-88.00000000,965.52526409,34,88.00000000
3798416,0.00000000,50.10000000,-50.10000000,915.42526409,34,50.10000000
3798420,0.00000000,99.99580000,-99.99580000,815.42946409,34,99.99580000
3798427,0.00000000,298.53157900,-298.53157900,516.89788509,34,298.53157900
3798429,0.00000000,80.20000000,-80.20000000,436.69788509,34,80.20000000
3798433,0.00000000,40.50000000,-40.50000000,396.19788509,34,40.50000000
3922817,10.00000000,0.00000000,10.00000000,406.19788509,35,10.00000000
3922823,20.00000000,0.00000000,20.00000000,426.19788509,35,10.00000000
