block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2709114,105.00000000,0.00000000,105.00000000,105.00000000,1,105.00000000
2709117,1.00000000,0.00000000,1.00000000,106.00000000,1,1.00000000
2709122,2.00000000,4.00000000,-2.00000000,104.00000000,1,4.00000000
2709127,3.00000000,0.00000000,3.00000000,107.00000000,1,3.00000000
2709130,1.00000000,2.00000000,-1.00000000,106.00000000,1,2.00000000
2709143,1.00000000,2.00000000,-1.00000000,105.00000000,2,2.00000000
2709145,2.00000000,0.00000000,2.00000000,107.00000000,2,2.00000000
2709148,1.50000000,0.00000000,1.50000000,108.50000000,2,1.50000000
2709164,3.00000000,0.00000000,3.00000000,111.50000000,2,3.00000000
2709169,0.00000000,10.00000000,-10.00000000,101.50000000,2,10.00000000
2709181,5.00000000,10.00000000,-5.00000000,96.50000000,2,10.00000000
2709185,9.00000000,0.00000000,9.00000000,105.50000000,2,9.00000000
2709188,4.00000000,0.00000000,4.00000000,109.50000000,2,4.00000000
2713326,0.00000000,51.00000000,-51.00000000,58.50000000,2,51.00000000
2713339,2.00000000,0.00000000,2.00000000,60.50000000,3,2.00000000
2713432,3.00000000,2.00000000,1.00000000,61.50000000,6,2.00000000
2713437,4.00000000,0.00000000,4.00000000,65.50000000,6,2.00000000
2713445,4.00000000,4.00000000,0.00000000,65.50000000,9,2.00000000
2713449,5.00000000,6.00000000,-1.00000000,64.50000000,14,2.00000000
2713450,4.00000000,4.00000000,0.00000000,64.50000000,17,2.00000000
2713459,4.00000000,0.00000000,4.00000000,68.50000000,21,1.00000000
2713460,4.00000000,4.00000000,0.00000000,68.50000000,25,2.00000000
2713464,4.00000000,0.00000000,4.00000000,72.50000000,29,1.00000000
2713466,4.00000000,8.00000000,-4.00000000,68.50000000,33,2.00000000
2713471,4.00000000,2.00000000,2.00000000,70.50000000,37,2.00000000
2713489,42.00000000,0.00000000,42.00000000,112.50000000,37,42.00000000
2726578,1.00000000,0.00000000,1.00000000,113.50000000,38,1.00000000
2726588,6.00000000,10.00000000,-4.00000000,109.50000000,38,10.00000000
2726609,10.00000000,20.00000000,-10.00000000,99.50000000,38,20.00000000
2726628,9.00000000,0.00000000,9.00000000,108.50000000,38,9.00000000
2726641,9.00000000,0.00000000,9.00000000,117.50000000,38,9.00000000
2726660,9.00000000,0.00000000,9.00000000,126.50000000,38,9.00000000
2726663,9.00000000,18.00000000,-9.00000000,117.50000000,38,18.00000000
2726676,8.00000000,16.00000000,-8.00000000,109.50000000,38,16.00000000
2726680,7.00000000,0.00000000,7.00000000,116.50000000,38,7.00000000
2726724,7.00000000,0.00000000,7.00000000,123.50000000,38,7.00000000
2726736,7.00000000,14.00000000,-7.00000000,116.50000000,38,14.00000000
2726770,7.15000000,0.00000000,7.15000000,123.65000000,38,7.15000000
2726784,7.15000000,0.00000000,7.15000000,130.80000000,38,7.15000000
2726795,7.15000000,0.00000000,7.15000000,137.95000000,38,7.15000000
2726819,7.10000000,0.00000000,7.10000000,145.05000000,38,7.10000000
2726839,7.10000000,14.20000000,-7.10000000,137.95000000,38,14.20000000
2726842,6.40000000,0.00000000,6.40000000,144.35000000,38,6.40000000
2726859,6.40000000,0.00000000,6.40000000,150.75000000,38,6.40000000
2726873,6.40000000,12.80000000,-6.40000000,144.35000000,38,12.80000000
2726890,5.79000000,0.00000000,5.79000000,150.14000000,38,5.79000000
2726903,5.79000000,0.00000000,5.79000000,155.93000000,38,5.79000000
2726911,5.79000000,0.00000000,5.79000000,161.72000000,38,5.79000000
2726917,5.79000000,11.58000000,-5.79000000,155.93000000,38,11.58000000
2726947,5.22000000,0.00000000,5.22000000,161.15000000,38,5.22000000
2726955,5.22000000,10.44000000,-5.22000000,155.93000000,38,10.44000000
2726972,4.69800000,0.00000000,4.69800000,160.62800000,38,4.69800000
