block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1184724,0.50000000,0.01500000,0.48500000,0.48500000,1,0.50000000
1189480,30.00000000,0.92500000,29.07500000,29.56000000,2,30.00000000
1189501,2.00000000,0.06000000,1.94000000,31.50000000,3,2.00000000
1189604,1.00000000,1.03000000,-0.03000000,31.47000000,4,1.00000000
1189821,20.00000000,0.60000000,19.40000000,50.87000000,5,20.00000000
1189845,18.00000000,0.54000000,17.46000000,68.33000000,6,18.00000000
1189869,11.00000000,0.33000000,10.67000000,79.00000000,7,11.00000000
1189900,60.00000000,67.80000000,-7.80000000,71.20000000,7,60.00000000
1189929,30.00000000,40.90000000,-10.90000000,60.30000000,8,40.00000000
1189935,20.00000000,0.60000000,19.40000000,79.70000000,9,20.00000000
1189941,20.00000000,36.60000000,-16.60000000,63.10000000,9,36.00000000
1189960,13.50000000,22.40500000,-8.90500000,54.19500000,10,22.00000000
1190080,0.00000000,6.78000000,-6.78000000,47.41500000,10,6.78000000
1190359,0.99790602,0.02993718,0.96796884,48.38296884,11,0.99790602
1190435,28.00000000,0.84000000,27.16000000,75.54296884,12,28.00000000
1190436,2.00000000,0.06000000,1.94000000,77.48296884,13,2.00000000
1190599,0.10000000,0.00300000,0.09700000,77.57996884,14,0.10000000
1190766,16.99790602,0.50993718,16.48796884,94.06793768,15,16.99790602
1191193,4.59055238,0.13771657,4.45283581,98.52077349,16,4.59055238
1191200,100.00000000,123.00000000,-23.00000000,75.52077349,16,100.00000000
1191208,49.98360500,61.49950815,-11.51590315,64.00487035,16,60.00000000
1191243,40.98659442,1.22959783,39.75699659,103.76186694,17,40.98659442
1191356,100.00000000,111.99581204,-11.99581204,91.76605490,18,100.00000000
1191371,99.99525368,106.37677442,-6.38152074,85.38453416,18,99.99525368
1191377,98.98279766,2.96948393,96.01331373,181.39784789,18,98.98279766
1191380,30.00000000,0.90000000,29.10000000,210.49784789,18,30.00000000
1191399,9.39065764,0.28171973,9.10893791,219.60678580,18,9.39065764
1191422,0.10000000,0.00300000,0.09700000,219.70378580,18,0.10000000
1191706,5.00000000,0.15000000,4.85000000,224.55378580,19,5.00000000
1192017,0.02000000,0.00060000,0.01940000,224.57318580,20,0.02000000
1192586,0.00100000,0.00100000,0.00000000,224.57318580,21,0.00100000
1192601,0.00100000,0.00100000,0.00000000,224.57318580,22,0.00100000
1192602,0.00100000,0.00100000,0.00000000,224.57318580,23,0.00100000
1192623,0.01000000,0.00030000,0.00970000,224.58288580,23,0.01000000
1192627,0.01000000,0.00030000,0.00970000,224.59258580,23,0.01000000
1192631,0.01000000,0.00030000,0.00970000,224.60228580,23,0.01000000
1192638,0.10000000,0.00300000,0.09700000,224.69928580,23,0.10000000
1193068,0.01000000,0.00030000,0.00970000,224.70898580,23,0.01000000
1193140,0.01000000,0.00030000,0.00970000,224.71868580,23,0.01000000
