block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1277099,10.00000000,0.00000000,10.00000000,10.00000000,1,10.00000000
1277102,10.00000000,16.00000000,-6.00000000,4.00000000,3,15.00000000
1277108,20.00000000,17.00000000,3.00000000,7.00000000,4,15.00000000
1277109,10.00000000,16.00000000,-6.00000000,1.00000000,5,15.00000000
1277113,10.00000000,1.00000000,9.00000000,10.00000000,5,10.00000000
1277114,10.00000000,16.00000000,-6.00000000,4.00000000,5,15.00000000
1277116,10.00000000,1.00000000,9.00000000,13.00000000,5,10.00000000
1277118,10.00000000,16.00000000,-6.00000000,7.00000000,6,15.00000000
1277122,10.00000000,16.00000000,-6.00000000,1.00000000,6,15.00000000
1277189,10.00000000,1.00000000,9.00000000,10.00000000,6,10.00000000
1277192,10.00000000,16.00000000,-6.00000000,4.00000000,6,15.00000000
1277202,10.00000000,1.00000000,9.00000000,13.00000000,6,10.00000000
1277205,10.00000000,16.00000000,-6.00000000,7.00000000,6,15.00000000
1277206,10.00000000,16.00000000,-6.00000000,1.00000000,7,15.00000000
1277430,10.00000000,1.00000000,9.00000000,10.00000000,8,10.00000000
1277587,10.00000000,16.00000000,-6.00000000,4.00000000,8,15.00000000
1277589,10.00000000,1.00000000,9.00000000,13.00000000,8,10.00000000
1277626,10.00000000,16.00000000,-6.00000000,7.00000000,8,15.00000000
1277635,10.00000000,16.00000000,-6.00000000,1.00000000,8,15.00000000
1278690,10.00000000,0.00000000,10.00000000,11.00000000,9,10.00000000
5423626,0.00000001,0.00000000,0.00000001,11.00000001,10,0.00000001
