block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4028168,0.02000000,0.02000000,0.00000000,0.00000000,2,0.02000000
4028332,0.10000000,0.10000000,0.00000000,0.00000000,2,0.10000000
4028343,0.20000000,0.20000000,0.00000000,0.00000000,3,0.20000000
4031609,0.05000000,0.05000000,0.00000000,0.00000000,3,0.05000000
4055094,0.01500000,0.01500000,0.00000000,0.00000000,4,0.01500000
4055127,0.01000000,0.01000000,0.00000000,0.00000000,5,0.01000000
4055130,0.16000000,0.16000000,0.00000000,0.00000000,5,0.16000000
4078019,0.11100000,0.11100000,0.00000000,0.00000000,6,0.11100000
4183037,0.00600000,0.00600000,0.00000000,0.00000000,7,0.00600000
4183060,0.01000000,0.01000000,0.00000000,0.00000000,7,0.01000000
4184547,0.20000000,0.20000000,0.00000000,0.00000000,8,0.20000000
4315193,0.01000000,0.01000000,0.00000000,0.00000000,9,0.01000000
4869529,0.11872334,0.11872334,0.00000000,0.00000000,10,0.11872334
4881245,0.01000000,0.00000000,0.01000000,0.01000000,11,0.01000000
4881309,0.02000000,0.02000000,0.00000000,0.01000000,11,0.02000000
4882692,0.02000000,0.02000000,0.00000000,0.01000000,11,0.02000000
4913017,0.02000000,0.02000000,0.00000000,0.01000000,12,0.02000000
5766402,0.00001000,0.00001000,0.00000000,0.01000000,13,0.00001000
6081830,0.00100000,0.00000000,0.00100000,0.01100000,14,0.00100000
6372355,0.05000000,0.05000000,0.00000000,0.01100000,15,0.05000000
6919593,0.01000000,0.01000000,0.00000000,0.01100000,16,0.01000000
7197884,0.00100000,0.00100000,0.00000000,0.01100000,17,0.00100000
7197906,0.00200000,0.00200000,0.00000000,0.01100000,17,0.00200000
8082729,0.05000000,0.05000000,0.00000000,0.01100000,18,0.05000000
10485395,0.01518313,0.01518313,0.00000000,0.01100000,19,0.01518313
11134846,0.00200000,0.00200000,0.00000000,0.01100000,20,0.00200000
12214531,0.00000030,0.00000000,0.00000030,0.01100030,21,0.00000030
12303256,0.00500000,0.00500000,0.00000000,0.01100030,22,0.00500000
12311183,0.01089657,0.01089657,0.00000000,0.01100030,23,0.01089657
12312046,0.00907720,0.00000000,0.00907720,0.02007750,23,0.00907720
17420837,0.02000000,0.02000000,0.00000000,0.02007750,24,0.02000000
18351035,0.00010000,0.00010000,0.00000000,0.02007750,25,0.00010000
18351076,0.10000000,0.10000000,0.00000000,0.02007750,25,0.10000000
18351132,0.00100000,0.00100000,0.00000000,0.02007750,26,0.00100000
18354618,0.01000000,0.01000000,0.00000000,0.02007750,27,0.01000000
18354626,0.20000000,0.20000000,0.00000000,0.02007750,28,0.20000000
18354638,0.20000000,0.20000000,0.00000000,0.02007750,29,0.20000000
18354642,0.30000000,0.30000000,0.00000000,0.02007750,29,0.30000000
18354645,0.20000000,0.20000000,0.00000000,0.02007750,30,0.20000000
18354657,0.01000000,0.01000000,0.00000000,0.02007750,31,0.01000000
18354666,0.20000000,0.20000000,0.00000000,0.02007750,32,0.20000000
18354667,0.14000000,0.14000000,0.00000000,0.02007750,32,0.14000000
18354679,0.05000000,0.05000000,0.00000000,0.02007750,33,0.05000000
18354701,0.10000000,0.10000000,0.00000000,0.02007750,34,0.10000000
22189903,0.10000000,0.10000000,0.00000000,0.02007750,35,0.10000000
