block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4128500,0.10000000,0.10000000,0.00000000,0.00000000,2,0.10000000
4132085,10.00000000,0.00000000,10.00000000,10.00000000,3,10.00000000
4132253,5.00000000,0.00000000,5.00000000,15.00000000,4,5.00000000
4132264,4.50000000,0.00000000,4.50000000,19.50000000,5,4.50000000
4132280,8.00000000,0.00000000,8.00000000,27.50000000,6,8.00000000
4132400,0.70000000,0.00000000,0.70000000,28.20000000,7,0.70000000
4132412,0.70000000,0.00000000,0.70000000,28.90000000,7,0.70000000
4132438,0.70000000,0.00000000,0.70000000,29.60000000,7,0.70000000
4132989,0.00100000,0.00000000,0.00100000,29.60100000,8,0.00100000
4132997,0.00100000,0.00000000,0.00100000,29.60200000,8,0.00100000
4133246,1.00000000,1.00000000,0.00000000,29.60200000,8,1.00000000
4133386,0.10000000,0.00000000,0.10000000,29.70200000,9,0.10000000
4134303,0.32520581,0.00000000,0.32520581,30.02720581,10,0.32520581
4134423,1.00000000,0.00000000,1.00000000,31.02720581,11,1.00000000
4134688,0.24455900,0.00000000,0.24455900,31.27176481,12,0.24455900
4135059,0.37955900,0.00000000,0.37955900,31.65132381,13,0.37955900
4135168,0.99000000,0.00000000,0.99000000,32.64132381,14,0.99000000
4135201,0.75000000,0.00000000,0.75000000,33.39132381,14,0.75000000
4135257,0.10000000,0.00000000,0.10000000,33.49132381,14,0.10000000
4135560,0.00500000,0.00000000,0.00500000,33.49632381,15,0.00500000
4135735,0.02000000,0.00000000,0.02000000,33.51632381,15,0.02000000
4135912,924.93326090,924.93326090,0.00000000,33.51632381,15,924.93326090
4135957,429.28205000,429.28205000,0.00000000,33.51632381,16,429.28205000
4136135,7.31000000,0.00000000,7.31000000,40.82632381,17,7.31000000
4136136,45.70000000,0.00000000,45.70000000,86.52632381,18,45.70000000
4136142,0.20000000,0.00000000,0.20000000,86.72632381,19,0.20000000
4136144,10.00000000,0.00000000,10.00000000,96.72632381,20,10.00000000
4136145,827.48826208,287.28000000,540.20826208,636.93458589,35,457.00000000
4136146,11.76000000,0.00000000,11.76000000,648.69458589,38,10.00000000
