block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3611308,0.03300000,0.00000000,0.03300000,0.03300000,1,0.03300000
3611338,0.10000000,0.00000000,0.10000000,0.13300000,1,0.10000000
3619791,2.75000000,0.00000000,2.75000000,2.88300000,2,2.75000000
3685577,18.00000000,0.00000000,18.00000000,20.88300000,3,18.00000000
3686113,3.00000000,0.00000000,3.00000000,23.88300000,4,3.00000000
3694215,2.00000000,0.00000000,2.00000000,25.88300000,5,2.00000000
3703379,1.00000000,0.00000000,1.00000000,26.88300000,6,1.00000000
3703384,1.00000000,0.00000000,1.00000000,27.88300000,6,1.00000000
3703393,1.00000000,0.00000000,1.00000000,28.88300000,6,1.00000000
3739775,0.22799780,0.00000000,0.22799780,29.11099780,7,0.22799780
3740212,0.20100000,0.00000000,0.20100000,29.31199780,7,0.20100000
3750266,0.10000000,0.00000000,0.10000000,29.41199780,8,0.10000000
3750799,1.69000000,0.00000000,1.69000000,31.10199780,9,1.69000000
3750816,1.60000000,0.00000000,1.60000000,32.70199780,9,1.60000000
3751080,0.35404356,0.00000000,0.35404356,33.05604136,10,0.35404356
3751483,10.00000000,0.00000000,10.00000000,43.05604136,11,10.00000000
3751527,1.00000000,0.00000000,1.00000000,44.05604136,12,1.00000000
3751907,0.09000000,0.00000000,0.09000000,44.14604136,13,0.09000000
3751983,0.89000000,0.00000000,0.89000000,45.03604136,14,0.89000000
3752342,0.00600000,0.00000000,0.00600000,45.04204136,15,0.00600000
3752735,1.00000000,0.00000000,1.00000000,46.04204136,16,1.00000000
3752746,0.90000000,0.00000000,0.90000000,46.94204136,16,0.90000000
3752759,0.99816727,0.00000000,0.99816727,47.94020862,16,0.99816727
3753843,5.00000000,0.00000000,5.00000000,52.94020862,17,5.00000000
3754798,1.10000000,0.00000000,1.10000000,54.04020862,18,1.10000000
3754817,0.60000000,0.00000000,0.60000000,54.64020862,19,0.60000000
3754834,0.60000000,0.00000000,0.60000000,55.24020862,19,0.60000000
3755066,2.33300000,0.00000000,2.33300000,57.57320862,20,2.33300000
3755253,3.90000000,0.00000000,3.90000000,61.47320862,21,3.90000000
3757077,0.25000000,0.00000000,0.25000000,61.72320862,22,0.25000000
3758270,0.06346171,0.00000000,0.06346171,61.78667033,23,0.06346171
3758293,0.62461705,0.00000000,0.62461705,62.41128738,23,0.62461705
3758308,0.62461705,0.00000000,0.62461705,63.03590444,23,0.62461705
