block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4240755,0.00100000,0.00000000,0.00100000,0.00100000,1,0.00100000
4240825,0.00200000,0.00000000,0.00200000,0.00300000,1,0.00200000
4240852,0.00300000,0.00000000,0.00300000,0.00600000,1,0.00300000
4240857,3.60000000,0.00000000,3.60000000,3.60600000,2,3.60000000
4240858,30.00000000,0.00000000,30.00000000,33.60600000,4,28.00000000
4240859,58.35000000,0.00000000,58.35000000,91.95600000,6,41.05000000
4240860,50.04122037,0.00000000,50.04122037,141.99722037,18,18.81129037
4240861,166.29161910,0.00000000,166.29161910,308.28883947,22,150.10000000
4240862,201.15754100,0.00000000,201.15754100,509.44638047,24,200.00000000
4240863,2.49368586,0.00000000,2.49368586,511.94006633,26,1.99368586
4240864,220.12630549,0.00000000,220.12630549,732.06637182,30,133.00000739
4240865,58.94242000,0.00000000,58.94242000,791.00879182,37,30.00000000
4240867,34.61269542,0.00000000,34.61269542,825.62148724,43,19.90269542
4240868,52.58598246,0.00000000,52.58598246,878.20746970,52,15.00000000
4240869,109.38921226,0.00000000,109.38921226,987.59668195,57,70.00000000
4240870,12.16257375,0.00000000,12.16257375,999.75925570,58,12.00000000
4240871,144.47400000,0.00000000,144.47400000,1144.23325570,68,70.00000000
4240872,13.59731664,0.00000000,13.59731664,1157.83057234,70,8.00000000
4240873,50.20000000,0.00000000,50.20000000,1208.03057234,71,32.90000000
4240874,102.71104037,0.00000000,102.71104037,1310.74161271,84,28.80000000
4240875,49.48527884,0.00000000,49.48527884,1360.22689155,92,28.00000000
4240876,86.45475000,0.00000000,86.45475000,1446.68164155,96,70.00000000
4240877,4.28100000,0.00000000,4.28100000,1450.96264155,99,3.00000000
4240878,2.17500000,0.00000000,2.17500000,1453.13764155,100,2.00000000
4240879,22.51459103,0.00000000,22.51459103,1475.65223259,104,19.60000000
4240880,228.30018527,0.00000000,228.30018527,1703.95241785,110,200.00000000
4240881,35.23000000,0.00000000,35.23000000,1739.18241785,115,32.00000000
4240882,68.73205793,0.00000000,68.73205793,1807.91447578,118,31.00000000
4240883,12.94600000,0.00000000,12.94600000,1820.86047578,123,4.00000000
4240884,240.09149360,0.00000000,240.09149360,2060.95196938,124,230.09149360
4240885,44.46937569,0.00000000,44.46937569,2105.42134507,135,24.00000000
4240886,13.90000000,0.00000000,13.90000000,2119.32134507,136,13.90000000
4240887,172.28625385,0.00000000,172.28625385,2291.60759892,147,52.68875966
4240888,11.31144593,0.00000000,11.31144593,2302.91904485,149,6.87000000
4240889,42.92774397,0.00000000,42.92774397,2345.84678882,157,25.00000000
4240890,59.36162462,0.00000000,59.36162462,2405.20841344,162,28.00000000
4240891,82.72553841,0.00000000,82.72553841,2487.93395185,170,40.00000000
4240892,7.10000000,0.00000000,7.10000000,2495.03395185,172,6.10000000
4240893,19.99000000,0.00000000,19.99000000,2515.02395185,176,5.70000000
4240894,60.95360236,0.00000000,60.95360236,2575.97755421,185,19.00000000
4240895,60.37884931,0.00000000,60.37884931,2636.35640352,191,23.77000000
4240896,10.46843488,0.00000000,10.46843488,2646.82483840,194,5.40000000
4240898,31.00709567,0.00000000,31.00709567,2677.83193407,196,30.00000000
4240899,10.00000000,0.00000000,10.00000000,2687.83193407,197,10.00000000
4240900,27.95925168,0.00000000,27.95925168,2715.79118575,202,17.00000000
4240901,65.09965000,0.00000000,65.09965000,2780.89083575,206,48.95000000
4240902,20.51755882,0.00000000,20.51755882,2801.40839457,208,5.99500000
4240903,25.89738000,0.00000000,25.89738000,2827.30577457,213,10.10000000
4240904,97.90033469,0.00000000,97.90033469,2925.20610926,218,52.69870066
4240905,321.80000000,0.00000000,321.80000000,3247.00610926,219,320.00000000
4240906,54.72804320,0.00000000,54.72804320,3301.73415246,222,36.00000000
4240907,61.98619904,0.00000000,61.98619904,3363.72035150,229,22.22000000
4240908,12.08000000,0.00000000,12.08000000,3375.80035150,232,6.70000000
4240909,8.60000000,0.00000000,8.60000000,3384.40035150,232,5.00000000
4240910,6.72900000,0.00000000,6.72900000,3391.12935150,233,6.35000000
4240911,103.27628937,0.00000000,103.27628937,3494.40564087,240,48.90000000
4240912,3.20700000,0.00000000,3.20700000,3497.61264087,242,1.00000000
4240913,59.31271068,0.00000000,59.31271068,3556.92535155,245,28.00000000
4240914,102.24426546,0.00000000,102.24426546,3659.16961701,253,30.00000000
4240915,13.70125006,0.00000000,13.70125006,3672.87086707,258,5.00000000
4240916,0.56000000,0.00000000,0.56000000,3673.43086707,259,0.56000000
4240917,10.70097995,0.00000000,10.70097995,3684.13184702,265,3.00000000
4240918,60.25300000,0.00000000,60.25300000,3744.38484702,266,19.99300000
4240919,17.86852642,0.00000000,17.86852642,3762.25337344,267,11.00000000
4240920,8.07000000,0.00000000,8.07000000,3770.32337344,269,5.80000000
4240921,8.02916849,0.00000000,8.02916849,3778.35254193,274,3.03500000
4240922,122.37796428,0.00000000,122.37796428,3900.73050621,277,52.68825966
4240923,6.73700000,0.00000000,6.73700000,3907.46750621,279,5.00000000
4240924,8.82900000,0.00000000,8.82900000,3916.29650621,282,5.00000000
4240925,160.74515784,0.00000000,160.74515784,4077.04166405,289,100.00000000
4240926,48.26243815,0.00000000,48.26243815,4125.30410220,295,10.00000000
4240927,7.20000000,0.00000000,7.20000000,4132.50410220,297,5.00000000
4240928,30.00323000,0.00000000,30.00323000,4162.50733220,300,25.00000000
4240929,9.72538317,0.00000000,9.72538317,4172.23271537,305,4.08227547
4240930,13.86000000,0.00000000,13.86000000,4186.09271537,310,5.08000000
4240931,12.97732819,0.00000000,12.97732819,4199.07004356,315,2.80000000
4240932,174.04600000,0.00000000,174.04600000,4373.11604356,319,100.00000000
4240933,20.00000000,0.00000000,20.00000000,4393.11604356,320,20.00000000
4240934,118.69500000,0.00000000,118.69500000,4511.81104356,321,100.00000000
4240935,111.21574000,0.00000000,111.21574000,4623.02678356,327,60.00000000
4240936,1302.17974152,0.00000000,1302.17974152,5925.20652508,340,510.00000000
4240937,2174.21349930,0.00000000,2174.21349930,8099.42002438,381,491.73731633
4240938,1633.17469090,0.00000000,1633.17469090,9732.59471527,420,518.00000000
4240939,338.19927853,0.00000000,338.19927853,10070.79399380,476,57.49000000
4240940,1022.66379086,0.00000000,1022.66379086,11093.45778466,501,300.00000000
4240950,0.00000000,75.33659349,-75.33659349,11018.12119117,503,71.10092258
4240995,1.00000000,10663.55353899,-10662.55353899,355.56765218,505,10663.55353899
4241003,4.75984070,0.00000000,4.75984070,360.32749288,505,4.70000000
