block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4228153,5.00000000,5.00000000,0.00000000,0.00000000,2,5.00000000
4228240,6.00000000,0.00000000,6.00000000,6.00000000,3,6.00000000
4228257,6.00000000,6.00000000,0.00000000,6.00000000,3,6.00000000
4228280,5.00000000,5.00000000,0.00000000,6.00000000,4,5.00000000
4229343,35.00000000,35.00000000,0.00000000,6.00000000,5,35.00000000
4229405,12.00000000,12.00000000,0.00000000,6.00000000,6,12.00000000
4229466,5.00000000,0.00000000,5.00000000,11.00000000,7,5.00000000
4229483,5.00000000,5.00000000,0.00000000,11.00000000,7,5.00000000
4229783,5.12030000,5.12030000,0.00000000,11.00000000,8,5.12030000
4229836,6.00000000,6.00000000,0.00000000,11.00000000,9,6.00000000
4230197,5.00000000,5.00000000,0.00000000,11.00000000,10,5.00000000
4230217,10.00690000,10.00690000,0.00000000,11.00000000,11,10.00690000
4232509,16.50000000,16.50000000,0.00000000,11.00000000,12,16.50000000
4233490,1.00000000,0.00000000,1.00000000,12.00000000,13,1.00000000
4233502,1.00000000,0.00000000,1.00000000,13.00000000,13,1.00000000
4233520,1.00000000,0.00000000,1.00000000,14.00000000,13,1.00000000
4233527,5.00000000,5.00000000,0.00000000,14.00000000,13,5.00000000
4234005,0.30000000,0.00000000,0.30000000,14.30000000,14,0.30000000
4234523,1.00000000,0.00000000,1.00000000,15.30000000,15,1.00000000
4234541,1.00000000,0.00000000,1.00000000,16.30000000,15,1.00000000
