block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1339819,1.00000000,1.00000000,0.00000000,0.00000000,2,1.00000000
1340079,1.00000000,1.00000000,0.00000000,0.00000000,3,1.00000000
1358153,1.00000000,1.00000000,0.00000000,0.00000000,4,1.00000000
1358159,1.00000000,1.00000000,0.00000000,0.00000000,5,1.00000000
1358315,1.00000000,1.00000000,0.00000000,0.00000000,6,1.00000000
1358385,1.00000000,1.00000000,0.00000000,0.00000000,7,1.00000000
1358875,1.00000000,1.00000000,0.00000000,0.00000000,8,1.00000000
1358905,1.00000000,1.00000000,0.00000000,0.00000000,9,1.00000000
1358907,1.00000000,1.00000000,0.00000000,0.00000000,10,1.00000000
1358913,1.00000000,1.00000000,0.00000000,0.00000000,11,1.00000000
1358925,1.00000000,1.00000000,0.00000000,0.00000000,12,1.00000000
1359403,1.00000000,1.00000000,0.00000000,0.00000000,13,1.00000000
1359559,1.00000000,1.00000000,0.00000000,0.00000000,14,1.00000000
1361114,1.00000000,1.00000000,0.00000000,0.00000000,15,1.00000000
1365492,1.00000000,1.00000000,0.00000000,0.00000000,16,1.00000000
1368261,1.00000000,1.00000000,0.00000000,0.00000000,17,1.00000000
1369738,1.00000000,1.00000000,0.00000000,0.00000000,18,1.00000000
1369742,1.00000000,1.00000000,0.00000000,0.00000000,19,1.00000000
1369797,1.00000000,1.00000000,0.00000000,0.00000000,20,1.00000000
1369853,1.00000000,1.00000000,0.00000000,0.00000000,21,1.00000000
1375809,1.00000000,1.00000000,0.00000000,0.00000000,22,1.00000000
1376627,1.00000000,1.00000000,0.00000000,0.00000000,23,1.00000000
1377608,1.00000000,1.00000000,0.00000000,0.00000000,24,1.00000000
1377646,1.00000000,1.00000000,0.00000000,0.00000000,25,1.00000000
1378170,1.00000000,1.00000000,0.00000000,0.00000000,26,1.00000000
1378385,1.00000000,1.00000000,0.00000000,0.00000000,27,1.00000000
1378430,1.00000000,1.00000000,0.00000000,0.00000000,28,1.00000000
1378479,1.00000000,1.00000000,0.00000000,0.00000000,29,1.00000000
1378645,1.00000000,1.00000000,0.00000000,0.00000000,30,1.00000000
1378704,1.00000000,1.00000000,0.00000000,0.00000000,31,1.00000000
1378759,1.00000000,1.00000000,0.00000000,0.00000000,32,1.00000000
1378780,1.00000000,1.00000000,0.00000000,0.00000000,33,1.00000000
1378784,1.00000000,1.00000000,0.00000000,0.00000000,33,1.00000000
1378817,1.00000000,1.00000000,0.00000000,0.00000000,34,1.00000000
1378825,1.00000000,1.00000000,0.00000000,0.00000000,35,1.00000000
1378827,1.00000000,1.00000000,0.00000000,0.00000000,36,1.00000000
1378918,1.00000000,1.00000000,0.00000000,0.00000000,37,1.00000000
1378923,1.00000000,1.00000000,0.00000000,0.00000000,38,1.00000000
1378940,1.00000000,1.00000000,0.00000000,0.00000000,38,1.00000000
1378941,1.00000000,1.00000000,0.00000000,0.00000000,38,1.00000000
1378950,1.00000000,1.00000000,0.00000000,0.00000000,39,1.00000000
1378970,2.00000000,2.00000000,0.00000000,0.00000000,40,1.00000000
1378980,1.00000000,1.00000000,0.00000000,0.00000000,41,1.00000000
1378981,1.00000000,1.00000000,0.00000000,0.00000000,42,1.00000000
1379008,1.00000000,1.00000000,0.00000000,0.00000000,43,1.00000000
1379019,1.00000000,1.00000000,0.00000000,0.00000000,44,1.00000000
1379020,1.00000000,1.00000000,0.00000000,0.00000000,44,1.00000000
1379021,1.00000000,1.00000000,0.00000000,0.00000000,45,1.00000000
1379048,1.00000000,1.00000000,0.00000000,0.00000000,46,1.00000000
1379072,1.00000000,1.00000000,0.00000000,0.00000000,47,1.00000000
1379088,1.00000000,1.00000000,0.00000000,0.00000000,48,1.00000000
1379108,1.00000000,1.00000000,0.00000000,0.00000000,49,1.00000000
1379109,1.00000000,1.00000000,0.00000000,0.00000000,50,1.00000000
1379115,1.00000000,1.00000000,0.00000000,0.00000000,51,1.00000000
1379180,1.00000000,1.00000000,0.00000000,0.00000000,52,1.00000000
1379195,1.00000000,1.00000000,0.00000000,0.00000000,53,1.00000000
1379199,2.00000000,2.00000000,0.00000000,0.00000000,55,1.00000000
1379200,1.00000000,1.00000000,0.00000000,0.00000000,56,1.00000000
1379201,1.00000000,1.00000000,0.00000000,0.00000000,57,1.00000000
1379203,1.00000000,1.00000000,0.00000000,0.00000000,58,1.00000000
1379213,1.00000000,1.00000000,0.00000000,0.00000000,59,1.00000000
1379221,1.00000000,1.00000000,0.00000000,0.00000000,60,1.00000000
1379230,1.00000000,1.00000000,0.00000000,0.00000000,61,1.00000000
1379244,2.00000000,2.00000000,0.00000000,0.00000000,63,1.00000000
1379245,1.00000000,1.00000000,0.00000000,0.00000000,64,1.00000000
1379246,2.00000000,2.00000000,0.00000000,0.00000000,66,1.00000000
