block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3707323,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
3709574,0.02000000,0.00000000,0.02000000,0.12000000,1,0.02000000
3709611,0.01000000,0.00000000,0.01000000,0.13000000,2,0.01000000
3712643,0.01000000,0.10000000,-0.09000000,0.04000000,2,0.06666667
3712694,0.00000000,0.00150000,-0.00150000,0.03850000,2,0.00150000
3712835,5.13000000,0.00000000,5.13000000,5.16850000,2,5.13000000
3712842,0.34510000,0.00000000,0.34510000,5.51360000,3,0.34510000
3713789,0.50000000,0.00000000,0.50000000,6.01360000,4,0.50000000
3714358,0.10030000,0.00000000,0.10030000,6.11390000,5,0.10030000
3716415,0.11500000,0.00000000,0.11500000,6.22890000,5,0.11500000
3717511,0.14000000,0.00000000,0.14000000,6.36890000,5,0.14000000
3717744,0.72500000,0.00000000,0.72500000,7.09390000,5,0.72500000
3717798,0.31000000,0.00000000,0.31000000,7.40390000,6,0.31000000
3717815,0.45000000,0.00000000,0.45000000,7.85390000,6,0.45000000
3717848,0.39500000,0.00000000,0.39500000,8.24890000,6,0.39500000
3717855,0.15000000,0.00000000,0.15000000,8.39890000,6,0.15000000
3717867,0.22500000,0.00000000,0.22500000,8.62390000,6,0.22500000
3717905,0.50000000,0.00000000,0.50000000,9.12390000,6,0.50000000
3717930,0.25000000,0.00000000,0.25000000,9.37390000,6,0.25000000
3717964,0.30000000,0.00000000,0.30000000,9.67390000,6,0.30000000
3717996,1.50000000,0.00000000,1.50000000,11.17390000,7,1.50000000
3718005,0.20000000,0.00000000,0.20000000,11.37390000,7,0.20000000
3718011,0.25000000,0.00000000,0.25000000,11.62390000,7,0.25000000
3718015,0.15000000,0.00000000,0.15000000,11.77390000,7,0.15000000
3718031,0.01000000,4.90507428,-4.89507428,6.87882572,7,1.80547500
3718049,1.05000000,0.00000000,1.05000000,7.92882572,7,1.05000000
3718056,2.60000000,0.00000000,2.60000000,10.52882572,7,2.60000000
3718105,0.13000000,0.00000000,0.13000000,10.65882572,7,0.13000000
3718155,3.00000000,0.00000000,3.00000000,13.65882572,7,3.00000000
3720516,0.50000000,0.00000000,0.50000000,14.15882572,8,0.50000000
3721189,0.25000000,0.00000000,0.25000000,14.40882572,8,0.25000000
3721190,0.25000000,0.00000000,0.25000000,14.65882572,8,0.25000000
3721332,1.00000000,0.00000000,1.00000000,15.65882572,9,1.00000000
3721360,0.50000000,0.00000000,0.50000000,16.15882572,9,0.50000000
3722548,1.60000000,0.00000000,1.60000000,17.75882572,9,1.60000000
3722573,0.50000000,0.00000000,0.50000000,18.25882572,10,0.50000000
3722707,0.15000000,0.00000000,0.15000000,18.40882572,10,0.15000000
3722924,1.50000000,0.00000000,1.50000000,19.90882572,10,1.50000000
3722929,1.50000000,0.00000000,1.50000000,21.40882572,10,1.50000000
3723212,0.10000000,0.00000000,0.10000000,21.50882572,11,0.10000000
3723351,2.60000000,0.00000000,2.60000000,24.10882572,11,2.60000000
3723355,1.00000000,0.00000000,1.00000000,25.10882572,12,1.00000000
3723366,0.55000000,0.00000000,0.55000000,25.65882572,12,0.55000000
3723371,0.70010000,0.00000000,0.70010000,26.35892572,12,0.70010000
3723381,1.00000000,0.00000000,1.00000000,27.35892572,12,1.00000000
3723388,0.30000000,0.00000000,0.30000000,27.65892572,12,0.30000000
3723394,0.01000000,12.21540000,-12.20540000,15.45352572,12,4.15962050
3723405,1.15000000,0.00000000,1.15000000,16.60352572,12,1.15000000
3723417,0.50000000,0.00000000,0.50000000,17.10352572,12,0.50000000
3723467,4.00000000,0.00000000,4.00000000,21.10352572,12,4.00000000
3723468,0.01000000,0.00000000,0.01000000,21.11352572,13,0.01000000
3723549,0.35000000,0.00000000,0.35000000,21.46352572,13,0.35000000
3723958,0.10000000,0.00000000,0.10000000,21.56352572,13,0.10000000
3724068,1.15000000,0.00000000,1.15000000,22.71352572,14,1.15000000
3725179,1.55000000,0.00000000,1.55000000,24.26352572,14,1.55000000
3725188,1.30000000,0.00000000,1.30000000,25.56352572,14,1.30000000
3726236,0.29400000,0.00000000,0.29400000,25.85752572,15,0.29400000
3727280,0.10000000,0.00000000,0.10000000,25.95752572,16,0.10000000
3727289,1.30000000,0.00000000,1.30000000,27.25752572,16,1.30000000
3727433,0.50000000,0.00000000,0.50000000,27.75752572,17,0.50000000
3727464,0.50000000,0.00000000,0.50000000,28.25752572,17,0.50000000
3727859,1.00000000,0.00000000,1.00000000,29.25752572,17,1.00000000
3728026,0.59000000,0.00000000,0.59000000,29.84752572,18,0.59000000
3728237,1.07500000,0.00000000,1.07500000,30.92252572,19,1.07500000
3728269,0.30000000,0.00000000,0.30000000,31.22252572,19,0.30000000
3728285,1.58900000,0.00000000,1.58900000,32.81152572,20,1.58900000
3728415,0.60000000,0.00000000,0.60000000,33.41152572,21,0.60000000
3728429,0.24200000,0.00000000,0.24200000,33.65352572,22,0.24200000
3728471,0.80000000,0.00000000,0.80000000,34.45352572,22,0.80000000
3728494,0.73200000,0.00000000,0.73200000,35.18552572,23,0.73200000
3728535,0.63000000,0.00000000,0.63000000,35.81552572,23,0.63000000
3728572,0.20200000,0.00000000,0.20200000,36.01752572,23,0.20200000
3728737,2.85000000,0.00000000,2.85000000,38.86752572,24,2.85000000
3728786,2.20000000,0.00000000,2.20000000,41.06752572,24,2.20000000
3728800,0.50000000,0.00000000,0.50000000,41.56752572,24,0.50000000
3728838,2.30000000,0.00000000,2.30000000,43.86752572,24,1.80000000
3728840,2.00000000,0.00000000,2.00000000,45.86752572,24,1.50000000
3728843,4.50000000,0.00000000,4.50000000,50.36752572,24,2.00000000
3728862,0.01000000,19.19010000,-19.18010000,31.18742572,24,6.45070825
3728881,0.50000000,0.00000000,0.50000000,31.68742572,24,0.50000000
3728903,1.25000000,0.00000000,1.25000000,32.93742572,24,1.25000000
3728939,2.50000000,0.00000000,2.50000000,35.43742572,24,2.50000000
3729467,0.10000000,0.00000000,0.10000000,35.53742572,25,0.10000000
3731061,0.62000000,0.00000000,0.62000000,36.15742572,25,0.62000000
3731260,0.63010000,0.00000000,0.63010000,36.78752572,25,0.63010000
3731312,0.24100000,0.00000000,0.24100000,37.02852572,25,0.24100000
3731550,0.93000000,0.00000000,0.93000000,37.95852572,25,0.93000000
3731744,0.40000000,0.00000000,0.40000000,38.35852572,25,0.40000000
