block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3786583,2.00000000,0.00000000,2.00000000,2.00000000,1,2.00000000
3786592,2.00000000,0.00000000,2.00000000,4.00000000,1,2.00000000
3786600,0.04000000,0.00000000,0.04000000,4.04000000,1,0.04000000
3786606,0.03000000,0.00000000,0.03000000,4.07000000,1,0.03000000
3786610,0.02000000,0.00000000,0.02000000,4.09000000,1,0.02000000
3786654,0.00400000,0.00000000,0.00400000,4.09400000,1,0.00400000
3786676,0.00500000,0.00000000,0.00500000,4.09900000,1,0.00500000
3787670,5.00000000,0.00000000,5.00000000,9.09900000,1,5.00000000
3787695,0.02200000,0.00000000,0.02200000,9.12100000,1,0.02200000
3787707,0.02300000,0.00000000,0.02300000,9.14400000,1,0.02300000
3792269,0.01000000,0.00000000,0.01000000,9.15400000,1,0.01000000
3810195,0.00000000,7.00000000,-7.00000000,2.15400000,1,6.96500000
3810320,2.00000000,0.00000000,2.00000000,4.15400000,1,2.00000000
3810336,0.01000000,0.00637531,0.00362469,4.15762469,2,0.01000000
3810430,0.01000000,0.00637531,0.00362469,4.16124938,2,0.01000000
3828109,0.01000000,0.00637531,0.00362469,4.16487407,2,0.01000000
3828126,0.01000000,0.00637531,0.00362469,4.16849876,2,0.01000000
3828169,0.01000000,0.00637531,0.00362469,4.17212345,2,0.01000000
3828251,0.01000000,0.00637531,0.00362469,4.17574814,2,0.01000000
3828253,0.00000000,0.00227223,-0.00227223,4.17347591,2,0.00226543
3828272,0.01000000,0.00637531,0.00362469,4.17710060,2,0.01000000
3828278,0.00000000,0.00227223,-0.00227223,4.17482838,2,0.00226543
3828734,0.01000000,0.00637531,0.00362469,4.17845307,2,0.01000000
3828737,0.00000000,0.00444025,-0.00444025,4.17401282,2,0.00444025
3828769,0.01000000,0.00637531,0.00362469,4.17763751,2,0.01000000
3828770,0.00000000,0.01110061,-0.01110061,4.16653690,2,0.01110061
3828792,0.01000000,0.00637531,0.00362469,4.17016159,2,0.01000000
3828797,0.00000000,0.00227223,-0.00227223,4.16788936,2,0.00226543
3831475,0.00000000,1.99544875,-1.99544875,2.17244061,2,1.98547150
