block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1288141,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
1288144,0.60000000,1.53000000,-0.93000000,0.07000000,3,1.33000000
1288145,0.70000000,0.23333333,0.46666667,0.53666667,4,0.70000000
1288146,1.00000000,1.13133333,-0.13133333,0.40533333,5,1.00000000
1288147,0.50000000,0.16666667,0.33333333,0.73866667,6,0.50000000
1288149,1.00000000,1.26433333,-0.26433333,0.47433333,6,1.00000000
1288156,2.00000000,1.99666667,0.00333333,0.47766667,6,2.00000000
1288190,1.00000000,0.99833333,0.00166667,0.47933333,6,1.00000000
1288225,0.10000000,0.03333333,0.06666667,0.54600000,7,0.10000000
1288226,0.50000000,0.16666667,0.33333333,0.87933333,7,0.50000000
1288232,3.00000000,2.33000000,0.67000000,1.54933333,7,3.00000000
1288234,1.00000000,0.33333333,0.66666667,2.21600000,8,1.00000000
1288257,2.00000000,3.32666667,-1.32666667,0.88933333,8,2.66000000
1288280,1.00000000,1.79633333,-0.79633333,0.09300000,9,1.33000000
1288301,3.00000000,1.66500000,1.33500000,1.42800000,9,3.00000000
1288540,3.56000000,1.56000000,2.00000000,3.42800000,9,3.56000000
1288574,0.74750000,0.24916667,0.49833333,3.92633333,9,0.74750000
1288583,0.05000000,0.01666667,0.03333333,3.95966667,9,0.05000000
1288587,0.07000000,4.01333333,-3.94333333,0.01633333,10,3.99000000
