block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1745803,1.10000000,0.00000000,1.10000000,1.10000000,1,1.10000000
1745820,0.00000000,1.10000000,-1.10000000,0.00000000,1,1.10000000
1745848,0.20000000,0.00000000,0.20000000,0.20000000,1,0.20000000
1746238,1.00000000,0.00000000,1.00000000,1.20000000,2,1.00000000
1746241,10.00000000,0.00000000,10.00000000,11.20000000,3,10.00000000
1746265,65.00000000,0.00000000,65.00000000,76.20000000,4,65.00000000
1746285,5.01123474,0.00000000,5.01123474,81.21123474,5,5.00000000
1746298,65.00000000,0.00000000,65.00000000,146.21123474,5,65.00000000
1746318,77.00000000,0.00000000,77.00000000,223.21123474,7,74.00000000
1746373,5.00000000,0.00000000,5.00000000,228.21123474,8,5.00000000
1746384,3.00000000,0.00000000,3.00000000,231.21123474,8,3.00000000
1746389,0.50000000,0.00000000,0.50000000,231.71123474,9,0.50000000
1746392,2.00000000,0.00000000,2.00000000,233.71123474,10,2.00000000
1746403,100.00000000,0.00000000,100.00000000,333.71123474,11,100.00000000
1746436,10.00000000,0.00000000,10.00000000,343.71123474,11,10.00000000
1746438,5.00000000,0.00000000,5.00000000,348.71123474,12,5.00000000
1746440,9.08406932,0.00000000,9.08406932,357.79530406,13,9.08406932
1746442,6.00000000,0.00000000,6.00000000,363.79530406,14,6.00000000
1746482,180.00000000,0.00000000,180.00000000,543.79530406,15,180.00000000
1746496,70.00000000,0.00000000,70.00000000,613.79530406,15,70.00000000
1746512,100.00000000,0.00000000,100.00000000,713.79530406,16,100.00000000
1746517,1.00000000,0.00000000,1.00000000,714.79530406,17,1.00000000
1746539,1.00000000,0.00000000,1.00000000,715.79530406,17,1.00000000
1746540,82.50000000,0.00000000,82.50000000,798.29530406,18,82.50000000
1746549,1.00000000,0.00000000,1.00000000,799.29530406,18,1.00000000
1746554,20.00000000,0.00000000,20.00000000,819.29530406,19,20.00000000
1746558,10.00000000,0.00000000,10.00000000,829.29530406,20,10.00000000
1746564,0.50000000,0.00000000,0.50000000,829.79530406,21,0.50000000
1746573,100.00000000,0.00000000,100.00000000,929.79530406,22,100.00000000
1746586,11.00000000,0.00000000,11.00000000,940.79530406,23,10.00000000
1746593,0.10000000,0.00000000,0.10000000,940.89530406,24,0.10000000
1746609,22.00000000,0.00000000,22.00000000,962.89530406,25,22.00000000
1746620,10.00000000,0.00000000,10.00000000,972.89530406,26,10.00000000
1746630,50.20000000,0.00000000,50.20000000,1023.09530406,26,50.00000000
1746634,5.00000000,0.00000000,5.00000000,1028.09530406,27,5.00000000
1746685,5.00000000,0.00000000,5.00000000,1033.09530406,28,5.00000000
1746745,75.00000000,0.00000000,75.00000000,1108.09530406,29,75.00000000
1746786,1.00000000,0.00000000,1.00000000,1109.09530406,30,1.00000000
1746797,0.51000000,0.00000000,0.51000000,1109.60530406,31,0.51000000
1746840,1.00000000,0.00000000,1.00000000,1110.60530406,32,1.00000000
1746844,9.40000000,0.00000000,9.40000000,1120.00530406,33,9.40000000
1746855,14.00000000,0.00000000,14.00000000,1134.00530406,34,14.00000000
1746870,9.40000000,0.00000000,9.40000000,1143.40530406,34,9.40000000
1746886,9.00000000,0.00000000,9.00000000,1152.40530406,34,9.00000000
1746933,175.00000000,0.00000000,175.00000000,1327.40530406,35,175.00000000
1747001,25.00000000,0.00000000,25.00000000,1352.40530406,36,25.00000000
1747031,49.99955154,0.00000000,49.99955154,1402.40485560,37,49.99955154
1747074,1.00000000,0.00000000,1.00000000,1403.40485560,38,1.00000000
1747078,15.00000000,0.00000000,15.00000000,1418.40485560,39,15.00000000
1747113,3.00000000,0.00000000,3.00000000,1421.40485560,40,3.00000000
1747122,0.30522143,0.00000000,0.30522143,1421.71007703,41,0.30522143
1747143,3.00000000,0.00000000,3.00000000,1424.71007703,41,3.00000000
1747168,3.00000000,0.00000000,3.00000000,1427.71007703,41,3.00000000
1747172,0.12000000,0.00000000,0.12000000,1427.83007703,42,0.12000000
1747181,3.00000002,0.00000000,3.00000002,1430.83007705,42,3.00000002
1747221,1.20000000,0.00000000,1.20000000,1432.03007705,43,1.20000000
1747228,10.00000000,0.00000000,10.00000000,1442.03007705,44,10.00000000
1747243,0.10000000,0.00000000,0.10000000,1442.13007705,44,0.10000000
1747251,0.10000000,0.00000000,0.10000000,1442.23007705,44,0.10000000
1747279,1.61623096,0.00000000,1.61623096,1443.84630801,45,1.61623096
1747292,100.00000000,0.00000000,100.00000000,1543.84630801,46,100.00000000
1747299,4.17000000,0.00000000,4.17000000,1548.01630801,47,4.17000000
1747329,1.00000000,0.00000000,1.00000000,1549.01630801,48,1.00000000
1747378,18.00000000,0.00000000,18.00000000,1567.01630801,48,18.00000000
1747420,7.97000000,0.00000000,7.97000000,1574.98630801,49,7.97000000
1747431,1.00000000,0.00000000,1.00000000,1575.98630801,49,1.00000000
1747451,7.95000000,0.00000000,7.95000000,1583.93630801,49,7.95000000
1747453,98.00000000,0.00000000,98.00000000,1681.93630801,49,98.00000000
1747490,80.00000000,0.00000000,80.00000000,1761.93630801,50,80.00000000
1747949,15.00000000,0.00000000,15.00000000,1776.93630801,51,15.00000000
1747990,15.00000000,0.00000000,15.00000000,1791.93630801,51,15.00000000
1747997,9.25000000,0.00000000,9.25000000,1801.18630801,52,4.50000000
