block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1278032,3.00000000,0.00000000,3.00000000,3.00000000,1,3.00000000
1278033,2.00000000,0.20000000,1.80000000,4.80000000,3,2.00000000
1278034,4.00000000,0.40000000,3.60000000,8.40000000,4,4.00000000
1278035,7.00000000,12.70000000,-5.70000000,2.70000000,4,12.00000000
1278036,5.00000000,0.50000000,4.50000000,7.20000000,4,5.00000000
1278040,2.00000000,8.20000000,-6.20000000,1.00000000,4,8.00000000
1278045,100.00000000,82.00000000,18.00000000,19.00000000,5,100.00000000
1278105,25.00000000,2.50000000,22.50000000,41.50000000,6,25.00000000
1300429,200.00000000,20.00000000,180.00000000,221.50000000,7,100.00000000
1300431,100.00000000,10.00000000,90.00000000,311.50000000,7,100.00000000
1300436,100.00000000,410.00000000,-310.00000000,1.50000000,7,400.00000000
