block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1026466,0.05000000,0.00000000,0.05000000,0.05000000,1,0.05000000
1026488,0.08000000,0.08000000,0.00000000,0.05000000,2,0.08000000
1026492,0.06000000,0.06000000,0.00000000,0.05000000,3,0.06000000
1026582,1.00000000,0.00000000,1.00000000,1.05000000,4,1.00000000
1026588,1.00000000,0.00000000,1.00000000,2.05000000,5,1.00000000
1026685,0.01000000,0.00000000,0.01000000,2.06000000,6,0.01000000
1026851,1.60000000,1.93333333,-0.33333333,1.72666667,7,1.93333333
1026879,3.36000000,1.93333333,1.42666667,3.15333333,7,3.36000000
1026926,6.60000000,3.09333333,3.50666667,6.66000000,7,6.60000000
1026932,1.00000000,0.00000000,1.00000000,7.66000000,7,1.00000000
1027001,1.00000000,6.49600000,-5.49600000,2.16400000,7,6.49600000
1027002,3.10000000,0.00000000,3.10000000,5.26400000,7,3.10000000
1027016,8.50000000,0.00000000,8.50000000,13.76400000,7,8.50000000
1027028,1.00000000,12.76000000,-11.76000000,2.00400000,7,12.76000000
1027033,1.00000000,0.00000000,1.00000000,3.00400000,7,1.00000000
1027054,1.00000000,1.93333333,-0.93333333,2.07066667,7,1.93333333
1027060,1.00000000,0.00000000,1.00000000,3.07066667,7,1.00000000
1027071,1.00000000,1.93333333,-0.93333333,2.13733333,7,1.93333333
1027083,1.00000000,0.00000000,1.00000000,3.13733333,7,1.00000000
1027084,1.00000000,0.00000000,1.00000000,4.13733333,7,1.00000000
1027085,2.00000000,0.00000000,2.00000000,6.13733333,7,1.00000000
1027091,1.00000000,0.00000000,1.00000000,7.13733333,7,1.00000000
1027110,1.00000000,0.00000000,1.00000000,8.13733333,7,1.00000000
1027152,1.00000000,5.99333333,-4.99333333,3.14400000,7,5.99333333
1027157,1.20000000,0.00000000,1.20000000,4.34400000,7,1.20000000
1321439,0.00000000,2.31200000,-2.31200000,2.03200000,8,2.31200000
4415733,0.00010000,0.00000000,0.00010000,2.03210000,9,0.00010000
13109837,0.00069400,0.00069400,0.00000000,2.03210000,10,0.00069400
13109860,0.00069420,0.00069420,0.00000000,2.03210000,10,0.00069420
13109869,0.00069420,0.00069420,0.00000000,2.03210000,10,0.00069420
