block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2552613,0.20000000,0.00000000,0.20000000,0.20000000,1,0.20000000
2552619,0.20000000,0.20000000,0.00000000,0.20000000,2,0.20000000
2557845,0.10000000,0.00000000,0.10000000,0.30000000,2,0.10000000
2558311,0.70000000,0.00000000,0.70000000,1.00000000,3,0.70000000
2558733,0.00000000,0.01000000,-0.01000000,0.99000000,4,0.01000000
2558744,0.00000000,0.49000000,-0.49000000,0.50000000,4,0.49000000
2558949,0.00000000,0.20000000,-0.20000000,0.30000000,4,0.19000000
2575007,0.70000000,0.00000000,0.70000000,1.00000000,4,0.70000000
2575163,0.00000000,0.01000000,-0.01000000,0.99000000,4,0.01000000
2575180,0.00000000,0.20000000,-0.20000000,0.79000000,4,0.20000000
2575239,0.00000000,0.01000000,-0.01000000,0.78000000,4,0.01000000
2575241,0.00000000,0.02000000,-0.02000000,0.76000000,5,0.02000000
2575381,0.10000000,0.00000000,0.10000000,0.86000000,6,0.10000000
2601728,0.00000000,0.01000000,-0.01000000,0.85000000,6,0.01000000
2601783,0.00000000,0.01000000,-0.01000000,0.84000000,6,0.01000000
2601836,0.00000000,0.03000000,-0.03000000,0.81000000,6,0.03000000
2620326,0.00000000,0.03000000,-0.03000000,0.78000000,6,0.03000000
2620381,0.00000000,0.03000000,-0.03000000,0.75000000,6,0.03000000
2625876,0.00000000,0.12000000,-0.12000000,0.63000000,6,0.12000000
2625886,0.30000000,0.00000000,0.30000000,0.93000000,6,0.30000000
2626020,0.00000000,0.12000000,-0.12000000,0.81000000,6,0.12000000
2626062,0.00000000,0.12000000,-0.12000000,0.69000000,6,0.12000000
2626922,0.00000000,0.12000000,-0.12000000,0.57000000,6,0.12000000
2627019,0.20000000,0.00000000,0.20000000,0.77000000,6,0.20000000
2627223,0.00000000,0.12000000,-0.12000000,0.65000000,6,0.12000000
2630081,0.00000000,0.12000000,-0.12000000,0.53000000,6,0.12000000
2679404,0.00000000,0.02000000,-0.02000000,0.51000000,6,0.02000000
2685879,0.00000000,0.12000000,-0.12000000,0.39000000,6,0.12000000
3672039,0.00000000,0.15000000,-0.15000000,0.24000000,6,0.15000000
