block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1240500,10.00000000,0.00000000,10.00000000,10.00000000,1,10.00000000
1240717,0.01000000,0.00000000,0.01000000,10.01000000,2,0.01000000
1240877,2.90000000,0.00000000,2.90000000,12.91000000,3,2.90000000
1241016,0.10000000,0.00000000,0.10000000,13.01000000,3,0.10000000
1241213,0.03000000,0.00000000,0.03000000,13.04000000,4,0.01000000
1241225,0.01000000,0.00000000,0.01000000,13.05000000,4,0.01000000
1241254,0.10000000,0.00000000,0.10000000,13.15000000,4,0.10000000
1241350,0.07000000,0.10000000,-0.03000000,13.12000000,4,0.10000000
1241365,0.00000000,0.10000000,-0.10000000,13.02000000,4,0.10000000
1241432,0.07000000,0.00000000,0.07000000,13.09000000,4,0.07000000
1241697,0.00000000,0.10000000,-0.10000000,12.99000000,4,0.10000000
1242380,1.00000000,0.00000000,1.00000000,13.99000000,5,1.00000000
1242387,1.00000000,0.00000000,1.00000000,14.99000000,5,1.00000000
1242604,1.00000000,0.00000000,1.00000000,15.99000000,6,1.00000000
1242635,0.05000000,0.00000000,0.05000000,16.04000000,7,0.05000000
1242646,0.14000000,0.00000000,0.14000000,16.18000000,7,0.14000000
1242671,0.10000000,0.00000000,0.10000000,16.28000000,7,0.10000000
1242794,0.00000000,0.29000000,-0.29000000,15.99000000,7,0.29000000
1242944,0.15000000,0.00000000,0.15000000,16.14000000,8,0.15000000
1243018,5.00000000,0.00000000,5.00000000,21.14000000,9,5.00000000
1243145,5.00000000,0.00000000,5.00000000,26.14000000,9,5.00000000
1243165,0.05000000,0.00000000,0.05000000,26.19000000,10,0.05000000
1246012,0.00000000,2.40000000,-2.40000000,23.79000000,10,2.40000000
1248887,1.00000000,0.00000000,1.00000000,24.79000000,11,1.00000000
1251484,0.03000000,0.00000000,0.03000000,24.82000000,12,0.03000000
1251636,1.00000000,0.00000000,1.00000000,25.82000000,13,1.00000000
1253861,0.50000000,0.00000000,0.50000000,26.32000000,14,0.50000000
1253919,0.32000000,0.00000000,0.32000000,26.64000000,14,0.30000000
1253937,0.11000000,0.00000000,0.11000000,26.75000000,14,0.10000000
1253965,0.00000000,0.30000000,-0.30000000,26.45000000,14,0.30000000
1253985,0.00000000,0.60400000,-0.60400000,25.84600000,14,0.60400000
1254005,0.70000000,0.10000000,0.60000000,26.44600000,14,0.70000000
1254075,0.20000000,0.00000000,0.20000000,26.64600000,14,0.20000000
1254108,0.02000000,0.00000000,0.02000000,26.66600000,14,0.02000000
1255416,0.02000000,0.03000000,-0.01000000,26.65600000,14,0.03000000
1255425,0.00000000,0.02000000,-0.02000000,26.63600000,14,0.02000000
1259846,14.90000000,0.00000000,14.90000000,41.53600000,15,14.90000000
1259961,0.00000000,1.00000000,-1.00000000,40.53600000,15,1.00000000
1259972,0.00000000,1.00000000,-1.00000000,39.53600000,15,1.00000000
1260130,0.00000000,10.00000000,-10.00000000,29.53600000,15,10.00000000
1260884,0.00000000,0.00000000,-0.00000000,29.53600000,15,0.00000000
1260893,0.00000000,1.00000000,-1.00000000,28.53600000,15,1.00000000
1263745,4.50000000,0.00000000,4.50000000,33.03600000,15,4.50000000
1263759,0.30000000,0.00000000,0.30000000,33.33600000,15,0.30000000
1270178,0.00000000,0.10000000,-0.10000000,33.23600000,15,0.10000000
1270292,0.00000000,1.00000000,-1.00000000,32.23600000,15,0.50000000
1281751,3.00000000,0.00000000,3.00000000,35.23600000,15,3.00000000
1296823,0.00000000,2.00000000,-2.00000000,33.23600000,15,2.00000000
1297522,0.00000000,12.04700000,-12.04700000,21.18900000,15,12.04700000
1298667,0.00000000,4.00000000,-4.00000000,17.18900000,15,4.00000000
1300121,5.00000000,0.00000000,5.00000000,22.18900000,16,5.00000000
1302176,0.00000000,0.10000000,-0.10000000,22.08900000,16,0.10000000
1303229,0.00000000,1.00000000,-1.00000000,21.08900000,16,1.00000000
1303781,0.00000000,2.78900000,-2.78900000,18.30000000,16,2.78900000
1303896,0.00000000,5.00000000,-5.00000000,13.30000000,16,5.00000000
1304790,0.00000000,0.01169460,-0.01169460,13.28830540,16,0.01169460
1308881,0.10000000,0.00000000,0.10000000,13.38830540,17,0.10000000
1308930,0.00000000,0.10000000,-0.10000000,13.28830540,17,0.10000000
1323482,0.00000000,0.92100000,-0.92100000,12.36730540,17,0.92100000
1404660,0.00000000,0.04000000,-0.04000000,12.32730540,17,0.04000000
1489542,0.01000000,0.00000000,0.01000000,12.33730540,18,0.01000000
1527067,0.32000000,0.00000000,0.32000000,12.65730540,19,0.32000000
1527072,0.00000000,0.32000000,-0.32000000,12.33730540,19,0.32000000
1565476,1.00000000,0.00000000,1.00000000,13.33730540,20,1.00000000
1565608,0.00000000,0.00000000,-0.00000000,13.33730540,20,0.00000000
1565635,0.00000000,1.00000000,-1.00000000,12.33730540,20,1.00000000
1700463,0.23100000,0.00000000,0.23100000,12.56830540,20,0.23100000
1700469,0.00000000,0.46200000,-0.46200000,12.10630540,20,0.46200000
4758909,0.00000000,0.00000000,0.00000000,12.10630540,21,0.00000000
4923741,0.00000000,0.00000000,0.00000000,12.10630540,22,0.00000000
4924829,0.00000000,0.00000000,0.00000000,12.10630540,23,0.00000000
4933893,0.00000000,10.00000000,-10.00000000,2.10630540,23,10.00000000
4933923,0.00000000,2.10630540,-2.10630540,-0.00000000,23,2.10630540
