block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1295036,0.10000000,0.00000000,0.10000000,0.10000000,1,0.10000000
1295047,0.15000000,0.15000000,0.00000000,0.10000000,1,0.15000000
1295067,5.00000000,4.72500000,0.27500000,0.37500000,3,4.50000000
1295068,10.00000000,3.00000000,7.00000000,7.37500000,3,10.00000000
1295071,4.00000000,0.00000000,4.00000000,11.37500000,3,4.00000000
1295107,1.00000000,0.00000000,1.00000000,12.37500000,4,1.00000000
1295182,0.10000000,0.00000000,0.10000000,12.47500000,5,0.10000000
1295242,0.02000000,0.00000000,0.02000000,12.49500000,6,0.02000000
1295287,2.51600000,15.00000000,-12.48400000,0.01100000,7,15.00000000
1295317,1.00000000,0.00000000,1.00000000,1.01100000,7,1.00000000
1295318,3.00000000,0.00000000,3.00000000,4.01100000,7,3.00000000
1295319,6.00000000,7.69500000,-1.69500000,2.31600000,9,6.00000000
1295320,3.00000000,5.25900000,-2.25900000,0.05700000,10,3.75900000
1295342,10.00000000,6.00000000,4.00000000,4.05700000,11,10.00000000
1295354,3.02500000,4.50000000,-1.47500000,2.58200000,11,4.50000000
1295410,0.41800000,0.00000000,0.41800000,3.00000000,12,0.41800000
1295413,0.01000000,3.00000000,-2.99000000,0.01000000,12,3.00000000
1295438,1.00000000,0.00000000,1.00000000,1.01000000,12,1.00000000
1295470,0.49100000,0.00000000,0.49100000,1.50100000,12,0.49100000
1295476,1.00000000,0.00000000,1.00000000,2.50100000,13,1.00000000
1295491,2.00000000,4.50000000,-2.50000000,0.00100000,13,4.50000000
1295502,1.80000000,0.00000000,1.80000000,1.80100000,13,1.50000000
1295513,0.10000000,0.00000000,0.10000000,1.90100000,14,0.10000000
1295517,13.19900000,15.00000000,-1.80100000,0.10000000,14,15.00000000
1295666,2.00000000,0.00000000,2.00000000,2.10000000,14,2.00000000
1296922,0.00100000,0.00000000,0.00100000,2.10100000,14,0.00100000
1297670,2.40000000,0.00000000,2.40000000,4.50100000,14,2.40000000
1297679,0.03660000,4.53750000,-4.50090000,0.00010000,14,4.53750000
1300919,0.01000000,0.00000000,0.01000000,0.01010000,15,0.01000000
