block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1319323,25.10000000,0.00000000,25.10000000,25.10000000,1,25.10000000
1322241,10.00000000,1.00000000,9.00000000,34.10000000,3,10.00000000
1327281,4.00000000,0.40000000,3.60000000,37.70000000,4,4.00000000
1327284,2.00000000,2.00000000,0.00000000,37.70000000,4,2.00000000
1331133,10.11000000,1.01100000,9.09900000,46.79900000,4,10.11000000
1334157,5.00000000,50.70000000,-45.70000000,1.09900000,4,50.20000000
1336965,5.00000000,5.00000000,0.00000000,1.09900000,4,5.00000000
1339937,4.12000000,0.41200000,3.70800000,4.80700000,5,4.12000000
1340125,7.00000000,7.00000000,0.00000000,4.80700000,5,7.00000000
1345413,10.12000000,1.01200000,9.10800000,13.91500000,5,10.12000000
1357836,3.12000000,0.31200000,2.80800000,16.72300000,5,3.12000000
1363672,10.12000000,21.01200000,-10.89200000,5.83100000,5,20.00000000
1371628,2.39000000,0.23900000,2.15100000,7.98200000,5,2.39000000
1371836,2.32000000,2.32000000,0.00000000,7.98200000,5,2.32000000
1376018,4.46000000,8.44600000,-3.98600000,3.99600000,5,8.00000000
1381615,22.30000000,22.45000000,-0.15000000,3.84600000,5,22.30000000
1387763,6.85000000,10.68500000,-3.83500000,0.01100000,6,10.00000000
