block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1504048,1.00000000,0.60000000,0.40000000,0.40000000,2,1.00000000
1508824,1.11903282,0.00000000,1.11903282,1.51903282,3,1.11903282
1509133,0.00000000,1.11903282,-1.11903282,0.40000000,3,1.11903282
1513802,1.05490029,0.00000000,1.05490029,1.45490029,3,1.05490029
1514465,0.00000000,1.05490029,-1.05490029,0.40000000,3,1.05490029
1517087,1.08060675,0.00000000,1.08060675,1.48060675,3,1.08060675
1517394,0.00000000,1.08060675,-1.08060675,0.40000000,3,1.08060675
1520371,1.04780997,0.00000000,1.04780997,1.44780997,3,1.04780997
1520386,0.00000000,1.04780997,-1.04780997,0.40000000,3,1.04780997
1523717,1.01127792,0.00000000,1.01127792,1.41127792,3,1.01127792
1524196,0.00000000,1.01127792,-1.01127792,0.40000000,3,1.01127792
1530022,1.73786027,0.00000000,1.73786027,2.13786027,3,1.73786027
1530146,0.00000000,1.73786027,-1.73786027,0.40000000,3,1.73786027
1532616,1.07931381,0.00000000,1.07931381,1.47931381,3,1.07931381
1533132,0.00000000,1.07931381,-1.07931381,0.40000000,3,1.07931381
1535602,0.05000000,0.05000000,0.00000000,0.40000000,3,0.05000000
1535611,0.05000000,0.05000000,0.00000000,0.40000000,3,0.05000000
1535673,1.03197094,0.00000000,1.03197094,1.43197094,3,1.03197094
1536209,0.00000000,1.03197094,-1.03197094,0.40000000,3,1.03197094
1538293,1.05926313,0.00000000,1.05926313,1.45926313,3,1.05926313
1538431,0.00000000,1.05926313,-1.05926313,0.40000000,3,1.05926313
1540684,1.02967495,0.00000000,1.02967495,1.42967495,3,1.02967495
1540715,0.00000000,1.02967495,-1.02967495,0.40000000,3,1.02967495
1541440,0.50000000,0.50000000,0.00000000,0.40000000,3,0.50000000
1541454,0.10000000,0.00000000,0.10000000,0.50000000,3,0.10000000
1541455,0.10000000,0.00000000,0.10000000,0.60000000,3,0.10000000
1541456,0.10000000,0.00000000,0.10000000,0.70000000,3,0.10000000
1545236,1.85857772,0.00000000,1.85857772,2.55857772,3,1.85857772
