block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1050837,0.90000000,0.00000000,0.90000000,0.90000000,1,0.90000000
1085855,1.00000000,0.00000000,1.00000000,1.90000000,2,1.00000000
1088313,1.00000000,0.00000000,1.00000000,2.90000000,3,1.00000000
1089477,1.00000000,0.00000000,1.00000000,3.90000000,4,1.00000000
1090723,1.00000000,3.00000000,-2.00000000,1.90000000,5,3.00000000
1092395,1.00000000,0.00000000,1.00000000,2.90000000,5,1.00000000
1092398,1.00000000,0.00000000,1.00000000,3.90000000,5,1.00000000
1092592,1.00000000,3.00000000,-2.00000000,1.90000000,5,3.00000000
1093231,4.00000000,3.00000000,1.00000000,2.90000000,5,3.00000000
1094884,1.00000000,0.00000000,1.00000000,3.90000000,6,1.00000000
1107676,2.00000000,3.00000000,-1.00000000,2.90000000,7,3.00000000
1107730,2.00000000,0.00000000,2.00000000,4.90000000,8,2.00000000
1107755,2.00000000,3.00000000,-1.00000000,3.90000000,9,3.00000000
1108986,1.00000000,0.00000000,1.00000000,4.90000000,10,1.00000000
1110612,1.01000000,3.00000000,-1.99000000,2.91000000,11,3.00000000
1112875,6.00000000,3.00000000,3.00000000,5.91000000,11,6.00000000
1123523,1.00000000,0.00000000,1.00000000,6.91000000,12,1.00000000
1124172,10.00000000,12.00000000,-2.00000000,4.91000000,13,10.00000000
1124422,1.00000000,0.00000000,1.00000000,5.91000000,14,1.00000000
1124491,1.00000000,0.00000000,1.00000000,6.91000000,15,1.00000000
1124593,1.00000000,3.00000000,-2.00000000,4.91000000,16,3.00000000
1124620,1.00000000,0.00000000,1.00000000,5.91000000,17,1.00000000
1124642,5.00000000,4.00000000,1.00000000,6.91000000,17,5.00000000
1124847,0.00000000,5.50100000,-5.50100000,1.40900000,17,5.50100000
1124857,1.00000000,0.00000000,1.00000000,2.40900000,17,1.00000000
1125009,2.00000000,4.00000000,-2.00000000,0.40900000,18,4.00000000
1125713,2.00000000,0.00000000,2.00000000,2.40900000,19,2.00000000
1125732,1.00000000,0.00000000,1.00000000,3.40900000,20,1.00000000
1126279,1.00000000,0.00000000,1.00000000,4.40900000,21,1.00000000
1127331,100.00000000,72.02000000,27.98000000,32.38900000,22,100.00000000
1127628,2.00000000,0.00000000,2.00000000,34.38900000,23,2.00000000
1127660,13.00000000,0.00000000,13.00000000,47.38900000,23,13.00000000
1128310,10.00000000,0.00000000,10.00000000,57.38900000,23,10.00000000
1128721,1.00000000,0.00000000,1.00000000,58.38900000,23,1.00000000
1128752,100.00000000,0.00000000,100.00000000,158.38900000,23,100.00000000
1128839,100.00000000,189.00000000,-89.00000000,69.38900000,24,150.00000000
1128917,19.00000000,0.00000000,19.00000000,88.38900000,24,19.00000000
1128950,10.00000000,0.00000000,10.00000000,98.38900000,24,10.00000000
1128951,20.00000000,0.00000000,20.00000000,118.38900000,25,20.00000000
1128959,10.00000000,0.00000000,10.00000000,128.38900000,26,10.00000000
1128967,10.00000000,0.00000000,10.00000000,138.38900000,27,10.00000000
1128977,10.00000000,0.00000000,10.00000000,148.38900000,28,10.00000000
1129014,20.00000000,0.00000000,20.00000000,168.38900000,29,20.00000000
1129177,5.00000000,0.00000000,5.00000000,173.38900000,30,5.00000000
1129226,2.00000000,0.00000000,2.00000000,175.38900000,30,2.00000000
1129252,50.00000000,150.00000000,-100.00000000,75.38900000,30,150.00000000
1129260,1.00000000,0.00000000,1.00000000,76.38900000,31,1.00000000
1129268,6.00000000,0.00000000,6.00000000,82.38900000,31,6.00000000
1129317,1.00000000,0.00000000,1.00000000,83.38900000,31,1.00000000
