block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3184969,5.00000000,0.15000000,4.85000000,4.85000000,2,5.00000000
3185353,2.00000000,0.06000000,1.94000000,6.79000000,2,2.00000000
3186216,0.01000000,0.00030000,0.00970000,6.79970000,3,0.01000000
3187122,1.00000000,0.03000000,0.97000000,7.76970000,4,1.00000000
3188463,0.01000000,0.00030000,0.00970000,7.77940000,5,0.01000000
3189837,1.00000000,0.03000000,0.97000000,8.74940000,5,1.00000000
3190286,0.50000000,0.01500000,0.48500000,9.23440000,5,0.50000000
3202388,5.00000000,0.62600000,4.37400000,13.60840000,5,5.00000000
3263447,0.01000000,5.00030000,-4.99030000,8.61810000,6,2.75000000
3280487,0.01000000,0.01030000,-0.00030000,8.61780000,6,0.01000000
3378343,0.01000000,0.01030000,-0.00030000,8.61750000,6,0.01000000
3378391,1.56000000,0.04680000,1.51320000,10.13070000,6,1.56000000
3378409,0.01000000,0.00030000,0.00970000,10.14040000,6,0.01000000
3378440,0.49000000,10.01470000,-9.52470000,0.61570000,6,10.00000000
3378446,0.00000000,0.49830000,-0.49830000,0.11740000,6,0.49830000
3381876,0.01000000,0.11330000,-0.10330000,0.01410000,6,0.06215000
