block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4134939,0.05000000,0.00000000,0.05000000,0.05000000,1,0.05000000
4134941,0.00500000,0.00000000,0.00500000,0.05500000,2,0.00500000
4134945,0.10000000,0.00000000,0.10000000,0.15500000,2,0.10000000
4134947,0.09000000,0.00000000,0.09000000,0.24500000,3,0.09000000
4134956,0.05000000,0.00000000,0.05000000,0.29500000,3,0.05000000
4134957,0.00700000,0.00000000,0.00700000,0.30200000,3,0.00700000
4134961,0.09000000,0.00000000,0.09000000,0.39200000,3,0.09000000
4134990,0.20000000,0.00000000,0.20000000,0.59200000,3,0.20000000
4135272,0.02500000,0.00000000,0.02500000,0.61700000,3,0.02500000
4135279,0.10000000,0.00000000,0.10000000,0.71700000,4,0.10000000
4135303,0.25000000,0.00000000,0.25000000,0.96700000,4,0.25000000
4135334,0.23800000,0.00000000,0.23800000,1.20500000,4,0.23800000
4135349,0.03000000,0.00000000,0.03000000,1.23500000,4,0.03000000
4135350,0.30000000,0.00000000,0.30000000,1.53500000,4,0.30000000
4135358,0.15000000,0.00000000,0.15000000,1.68500000,4,0.15000000
4135362,0.05000000,0.00000000,0.05000000,1.73500000,4,0.05000000
4135372,0.00050000,0.00000000,0.00050000,1.73550000,4,0.00050000
4135503,0.00600000,0.00000000,0.00600000,1.74150000,4,0.00600000
4135508,0.15000000,0.00000000,0.15000000,1.89150000,4,0.15000000
4135641,0.02000000,0.00000000,0.02000000,1.91150000,4,0.02000000
4135662,0.00000000,1.77150000,-1.77150000,0.14000000,5,1.77150000
