block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3249675,1.00000000,0.00000000,1.00000000,1.00000000,1,1.00000000
3249920,3500.00000000,0.00000000,3500.00000000,3501.00000000,1,3500.00000000
3250042,4194.10923446,0.00000000,4194.10923446,7695.10923446,2,4194.10923446
3250083,500.00000000,0.00000000,500.00000000,8195.10923446,3,500.00000000
3250088,120.00000000,0.00000000,120.00000000,8315.10923446,4,120.00000000
3250104,74.98610883,0.00000000,74.98610883,8390.09534329,5,74.98610883
3250115,100.00000000,0.00000000,100.00000000,8490.09534329,6,100.00000000
3250121,350.00000000,0.00000000,350.00000000,8840.09534329,9,150.00000000
3250181,239.59012871,0.00000000,239.59012871,9079.68547200,10,239.59012871
3250226,70.00000000,0.00000000,70.00000000,9149.68547200,11,70.00000000
3250244,126.00000000,0.00000000,126.00000000,9275.68547200,12,126.00000000
3250256,195.40000000,0.00000000,195.40000000,9471.08547200,13,195.40000000
3250302,190.00000000,0.00000000,190.00000000,9661.08547200,14,190.00000000
3250309,190.00000000,0.00000000,190.00000000,9851.08547200,14,190.00000000
3250316,81.15789133,0.00000000,81.15789133,9932.24336332,15,81.15789133
3250318,190.00000000,0.00000000,190.00000000,10122.24336332,15,190.00000000
3250337,320.00000000,0.00000000,320.00000000,10442.24336332,16,320.00000000
3250363,80.00000000,0.00000000,80.00000000,10522.24336332,17,80.00000000
3250381,58.12316130,0.00000000,58.12316130,10580.36652462,19,50.63486600
3250386,0.84410772,0.00000000,0.84410772,10581.21063234,20,0.84410772
3250398,399.00000000,0.00000000,399.00000000,10980.21063234,21,399.00000000
3250411,29.50000000,0.00000000,29.50000000,11009.71063234,21,29.50000000
3250424,99.90000000,0.00000000,99.90000000,11109.61063234,22,99.90000000
3250467,18.64420000,0.00000000,18.64420000,11128.25483234,23,18.64420000
3250475,58.00000000,0.00000000,58.00000000,11186.25483234,24,58.00000000
3250491,99.90000000,0.00000000,99.90000000,11286.15483234,24,99.90000000
3250494,28.00000000,0.00000000,28.00000000,11314.15483234,25,28.00000000
3250500,500.00000000,0.00000000,500.00000000,11814.15483234,25,500.00000000
3250677,1000.00000000,0.00000000,1000.00000000,12814.15483234,26,1000.00000000
3250713,1.00000000,0.00000000,1.00000000,12815.15483234,27,1.00000000
3250740,150.00000000,0.00000000,150.00000000,12965.15483234,28,150.00000000
