block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4240693,0.10000000,0.10000000,0.00000000,0.00000000,2,0.10000000
4242506,0.02500000,0.00000000,0.02500000,0.02500000,3,0.02500000
4242891,0.09000000,0.09000000,-0.00000000,0.02500000,4,0.09000000
4253062,5.00000000,5.00000000,0.00000000,0.02500000,5,5.00000000
4263218,2.02500000,0.00000000,2.02500000,2.05000000,5,2.02500000
4263244,2.02500000,2.02500000,0.00000000,2.05000000,5,2.02500000
4301766,0.04000000,0.00000000,0.04000000,2.09000000,6,0.04000000
4302461,1.00000000,0.00000000,1.00000000,3.09000000,7,1.00000000
4302530,1.00000000,0.00000000,1.00000000,4.09000000,8,1.00000000
4302850,0.04000000,0.00000000,0.04000000,4.13000000,9,0.04000000
4304786,0.20000000,0.00000000,0.20000000,4.33000000,10,0.20000000
4307249,0.60000000,0.00000000,0.60000000,4.93000000,11,0.60000000
4310881,5.00000000,0.00000000,5.00000000,9.93000000,12,5.00000000
4311088,0.09400000,0.00000000,0.09400000,10.02400000,13,0.09400000
4311219,12.50000000,0.00000000,12.50000000,22.52400000,14,12.50000000
4314165,0.10260000,0.00000000,0.10260000,22.62660000,15,0.10260000
4314204,0.10267000,0.00000000,0.10267000,22.72927000,15,0.10267000
4324553,0.59800000,0.00000000,0.59800000,23.32727000,16,0.59800000
18255102,0.01000000,0.00000000,0.01000000,23.33727000,17,0.01000000
18255106,0.01000000,0.00000000,0.01000000,23.34727000,17,0.01000000
