block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
3735934,0.25000000,0.00000000,0.25000000,0.25000000,1,0.25000000
3812021,1.00000000,0.00000000,1.00000000,1.25000000,2,1.00000000
3846189,0.00800000,0.00000000,0.00800000,1.25800000,3,0.00800000
3846701,0.00800000,0.00000000,0.00800000,1.26600000,3,0.00800000
3846907,0.15000000,0.00000000,0.15000000,1.41600000,4,0.15000000
3880897,0.13600000,0.00000000,0.13600000,1.55200000,5,0.13600000
3880965,0.80000000,0.00000000,0.80000000,2.35200000,6,0.80000000
3881206,0.15200000,0.00000000,0.15200000,2.50400000,6,0.15200000
3881207,0.15200000,0.00000000,0.15200000,2.65600000,6,0.15200000
3881215,0.14200000,0.00000000,0.14200000,2.79800000,6,0.14200000
3888581,0.01500000,0.00000000,0.01500000,2.81300000,7,0.01500000
3890169,2.74702110,0.00000000,2.74702110,5.56002110,8,2.74702110
3906049,0.45500000,0.00000000,0.45500000,6.01502110,9,0.45500000
3906674,0.25900000,0.00000000,0.25900000,6.27402110,10,0.25900000
