block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1292121,1.00000000,0.03000000,0.97000000,0.97000000,2,1.00000000
1292124,2.00000000,2.06000000,-0.06000000,0.91000000,3,2.00000000
1292132,0.50000000,0.01500000,0.48500000,1.39500000,3,0.50000000
1292135,4.00000000,4.12000000,-0.12000000,1.27500000,4,4.00000000
1292140,5.00000000,1.15000000,3.85000000,5.12500000,5,5.00000000
1292147,2.00000000,0.06000000,1.94000000,7.06500000,5,2.00000000
1292157,1.00000000,0.03000000,0.97000000,8.03500000,5,1.00000000
1292160,0.50000000,0.01500000,0.48500000,8.52000000,6,0.50000000
1292176,7.00000000,8.21000000,-1.21000000,7.31000000,6,8.00000000
1292180,4.00000000,0.12000000,3.88000000,11.19000000,7,4.00000000
1292194,1.00000000,0.03000000,0.97000000,12.16000000,8,1.00000000
1292223,5.00000000,14.15000000,-9.15000000,3.01000000,9,10.00000000
1292230,1.00000000,0.03000000,0.97000000,3.98000000,10,1.00000000
1292248,0.50000000,0.01500000,0.48500000,4.46500000,10,0.50000000
1292262,3.00000000,3.09000000,-0.09000000,4.37500000,10,3.00000000
1292294,0.50000000,0.01500000,0.48500000,4.86000000,10,0.50000000
1292315,0.50000000,0.01500000,0.48500000,5.34500000,10,0.50000000
1292318,3.00000000,0.09000000,2.91000000,8.25500000,10,3.00000000
1292334,0.29000000,0.00870000,0.28130000,8.53630000,11,0.29000000
1292339,1.00000000,0.03000000,0.97000000,9.50630000,11,1.00000000
1292348,5.00000000,0.15000000,4.85000000,14.35630000,12,5.00000000
1292357,1.00000000,0.03000000,0.97000000,15.32630000,12,1.00000000
1292381,1.00000000,0.03000000,0.97000000,16.29630000,12,1.00000000
1292388,0.70000000,0.02100000,0.67900000,16.97530000,12,0.70000000
1292396,0.50000000,0.01500000,0.48500000,17.46030000,12,0.50000000
1292404,3.00000000,14.09000000,-11.09000000,6.37030000,12,14.00000000
1292429,1.00000000,0.00000000,1.00000000,7.37030000,12,1.00000000
1292497,5.00000000,0.15000000,4.85000000,12.22030000,12,5.00000000
1292543,2.00000000,8.06000000,-6.06000000,6.16030000,12,8.00000000
1292606,7.00000000,2.21000000,4.79000000,10.95030000,12,7.00000000
1292610,4.99000000,0.00000000,4.99000000,15.94030000,13,4.99000000
1292617,5.00000000,0.00000000,5.00000000,20.94030000,14,5.00000000
1292619,10.00000000,0.00000000,10.00000000,30.94030000,14,5.00000000
1292621,5.00000000,0.00000000,5.00000000,35.94030000,14,5.00000000
1292646,2.00000000,0.06000000,1.94000000,37.88030000,14,2.00000000
1292669,1.00000000,0.03000000,0.97000000,38.85030000,14,1.00000000
1292710,1.50000000,0.04500000,1.45500000,40.30530000,15,1.00000000
1292727,3.00000000,10.09000000,-7.09000000,33.21530000,15,10.00000000
1292754,1.00000000,2.03000000,-1.03000000,32.18530000,15,2.00000000
1292791,1.00000000,0.03000000,0.97000000,33.15530000,15,1.00000000
1292914,1.00000000,1.03000000,-0.03000000,33.12530000,15,1.00000000
1292968,3.26000000,0.09780000,3.16220000,36.28750000,16,2.76000000
1292994,0.55000000,0.01650000,0.53350000,36.82100000,16,0.55000000
1293141,0.55000000,0.01650000,0.53350000,37.35450000,16,0.55000000
1293270,0.55000000,0.01650000,0.53350000,37.88800000,16,0.55000000
1293287,0.55000000,0.01650000,0.53350000,38.42150000,16,0.55000000
1293465,25.00000000,27.33000000,-2.33000000,36.09150000,17,25.00000000
1293467,0.55000000,0.01650000,0.53350000,36.62500000,17,0.55000000
1295268,0.50000000,5.49000000,-4.99000000,31.63500000,18,3.83250000
1295578,0.01000000,0.00030000,0.00970000,31.64470000,18,0.01000000
1295584,0.50000000,2.01500000,-1.51500000,30.12970000,19,2.00000000
1297548,0.39000000,0.53720000,-0.14720000,29.98250000,20,0.39000000
1297626,0.00000100,0.00000003,0.00000097,29.98250097,21,0.00000100
1297877,0.00000010,0.00000000,0.00000010,29.98250107,22,0.00000010
1297890,0.00000100,0.00000000,0.00000100,29.98250207,22,0.00000100
1297922,0.00000100,0.00000000,0.00000100,29.98250307,22,0.00000100
1315642,0.01000000,0.39030005,-0.38030005,29.60220302,22,0.27300003
1315666,0.00000000,3.61220092,-3.61220092,25.99000210,22,3.61220092
1317947,1.01000000,0.00000000,1.01000000,27.00000210,23,1.01000000
1318097,2.00000000,0.00000000,2.00000000,29.00000210,24,2.00000000
1322742,5.00000000,0.00000000,5.00000000,34.00000210,25,5.00000000
1377264,0.00000100,0.00000000,0.00000100,34.00000310,25,0.00000100
5436314,0.00000001,0.00000000,0.00000001,34.00000311,26,0.00000001
