block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
4217378,0.00033300,0.00000000,0.00033300,0.00033300,1,0.00033300
4217380,0.00033300,0.00000000,0.00033300,0.00066600,1,0.00033300
4217382,0.10000000,0.00000000,0.10000000,0.10066600,1,0.10000000
4217388,0.10000000,0.00000000,0.10000000,0.20066600,1,0.10000000
4217392,0.10000000,0.00000000,0.10000000,0.30066600,1,0.10000000
4217396,0.20000000,0.00000000,0.20000000,0.50066600,1,0.20000000
4217408,0.20000000,0.20000000,0.00000000,0.50066600,1,0.20000000
4217419,0.10000000,0.10000000,0.00000000,0.50066600,1,0.10000000
4217487,0.10000000,0.00000000,0.10000000,0.60066600,2,0.10000000
4217615,0.30906556,0.00000000,0.30906556,0.90973156,3,0.30906556
4217709,4.00000000,0.00000000,4.00000000,4.90973156,4,4.00000000
4217793,8.50000000,0.00000000,8.50000000,13.40973156,5,8.50000000
4217820,3.00000000,0.00000000,3.00000000,16.40973156,6,3.00000000
4217931,0.30000000,0.00000000,0.30000000,16.70973156,7,0.30000000
4217961,0.54666667,0.00000000,0.54666667,17.25639823,8,0.54666667
4218035,0.30000000,0.30000000,0.00000000,17.25639823,9,0.30000000
4218037,1.18528751,0.20000000,0.98528751,18.24168574,11,0.98528751
4218038,1.22000000,1.22000000,0.00000000,18.24168574,12,1.22000000
4218039,8.52362500,8.52362500,0.00000000,18.24168574,12,8.52362500
4218040,13.75100000,13.75100000,0.00000000,18.24168574,13,13.45100000
4218042,11.20000000,11.20000000,0.00000000,18.24168574,17,5.00000000
4218044,0.10000000,0.10000000,0.00000000,18.24168574,18,0.10000000
4218046,2.70000000,2.70000000,0.00000000,18.24168574,19,2.00000000
4218051,2.00000000,2.00000000,0.00000000,18.24168574,20,2.00000000
4218061,1.28741156,0.30256556,0.98484600,19.22653174,20,0.98484600
4218063,1.10000000,1.10000000,0.00000000,19.22653174,21,1.10000000
4218065,4.34482826,4.34482826,0.00000000,19.22653174,23,4.20000000
4218068,2.52000000,2.52000000,0.00000000,19.22653174,24,2.52000000
4218069,0.12000000,0.12000000,0.00000000,19.22653174,25,0.12000000
4218071,0.39666667,0.39666667,0.00000000,19.22653174,25,0.39666667
4218072,1.00000000,1.00000000,0.00000000,19.22653174,26,1.00000000
4218075,0.25000000,0.25000000,0.00000000,19.22653174,27,0.25000000
4218078,1.00000000,1.00000000,0.00000000,19.22653174,28,1.00000000
4218081,0.99000000,0.99000000,0.00000000,19.22653174,29,0.99000000
4218102,0.98000000,0.98000000,0.00000000,19.22653174,29,0.98000000
4218104,0.10000000,0.10000000,0.00000000,19.22653174,30,0.10000000
4218113,4.00000000,4.00000000,0.00000000,19.22653174,31,4.00000000
4218119,1.00000000,1.00000000,0.00000000,19.22653174,32,1.00000000
4218121,0.12000000,0.12000000,0.00000000,19.22653174,32,0.12000000
4218125,0.92200000,0.92200000,0.00000000,19.22653174,33,0.92200000
