block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
1901767,0.00300000,0.00300000,0.00000000,0.00000000,2,0.00200000
1908629,0.08000000,0.00000000,0.08000000,0.08000000,3,0.08000000
1915358,1.00000000,1.00000000,0.00000000,0.08000000,4,1.00000000
1920087,0.20000000,0.20000000,0.00000000,0.08000000,6,0.20000000
1920102,629.00000000,629.00000000,0.00000000,0.08000000,6,629.00000000
1920107,0.38383233,0.38383233,0.00000000,0.08000000,6,0.38383233
1920309,10.00000000,10.00000000,0.00000000,0.08000000,8,10.00000000
1920326,96.93693667,96.93693667,0.00000000,0.08000000,8,96.93693667
1920343,749.97235221,749.97235221,0.00000000,0.08000000,9,749.97235221
1920349,760.53996101,760.53996101,0.00000000,0.08000000,10,760.53996101
1922665,0.00000000,0.00000000,0.00000000,0.08000000,10,0.00000000
1922806,0.10000000,0.10000000,0.00000000,0.08000000,12,0.10000000
1922827,143.32000000,143.32000000,0.00000000,0.08000000,12,143.32000000
1922846,1000.00000000,1000.00000000,0.00000000,0.08000000,12,1000.00000000
1922891,999.00000000,999.00000000,0.00000000,0.08000000,12,999.00000000
1922914,0.99000000,0.99000000,0.00000000,0.08000000,12,0.99000000
1922927,0.00700000,0.00700000,0.00000000,0.08000000,12,0.00700000
1923201,204.79000000,204.79000000,0.00000000,0.08000000,12,204.79000000
1923244,0.00348325,0.00348325,0.00000000,0.08000000,12,0.00348325
1926034,0.50000000,0.50000000,0.00000000,0.08000000,13,0.50000000
1926063,0.49000000,0.49000000,0.00000000,0.08000000,13,0.49000000
1926094,1.50000000,1.50000000,0.00000000,0.08000000,14,1.50000000
1926108,10.27000000,10.27000000,0.00000000,0.08000000,15,10.27000000
1926156,1512.68800000,1512.68800000,0.00000000,0.08000000,16,1512.68800000
1934736,1.00000000,1.00000000,0.00000000,0.08000000,18,1.00000000
1934748,0.02000000,0.02000000,0.00000000,0.08000000,18,0.02000000
1934764,5.69700000,5.69700000,0.00000000,0.08000000,19,5.69700000
1939908,1.00000000,1.00000000,0.00000000,0.08000000,21,1.00000000
1939928,24.14631308,24.14631308,0.00000000,0.08000000,21,24.14631308
1940022,0.65029888,0.65029888,0.00000000,0.08000000,23,0.65029888
1940035,649.64420000,649.64420000,0.00000000,0.08000000,23,649.64420000
1940056,1000.07200000,1000.07200000,0.00000000,0.08000000,24,1000.07200000
1940085,1000.04000000,1000.04000000,0.00000000,0.08000000,25,1000.04000000
1942071,100.00000000,100.00000000,0.00000000,0.08000000,27,100.00000000
1942159,4193.00000000,4193.00000000,0.00000000,0.08000000,28,4193.00000000
1943071,1.12300000,1.12300000,0.00000000,0.08000000,29,1.12300000
1943230,94.11100000,94.11100000,0.00000000,0.08000000,29,94.11100000
1943233,1.00000000,1.00000000,0.00000000,0.08000000,31,1.00000000
1943237,5.00000000,5.00000000,0.00000000,0.08000000,32,5.00000000
1943253,885.00000000,885.00000000,0.00000000,0.08000000,32,885.00000000
1943264,85.11100000,85.11100000,0.00000000,0.08000000,33,85.11100000
1943277,81.12300000,81.12300000,0.00000000,0.08000000,34,80.12300000
1943288,993.00000000,993.00000000,0.00000000,0.08000000,34,993.00000000
1943297,1.00000000,1.00000000,0.00000000,0.08000000,35,1.00000000
1943301,998.00000000,998.00000000,0.00000000,0.08000000,35,998.00000000
1943308,999.00000000,999.00000000,0.00000000,0.08000000,36,999.00000000
1943367,80.12300000,80.12300000,0.00000000,0.08000000,37,80.12300000
1943372,500.12300000,500.12300000,0.00000000,0.08000000,37,500.12300000
1943403,0.44000000,0.44000000,0.00000000,0.08000000,38,0.44000000
1943709,10.00000000,10.00000000,0.00000000,0.08000000,38,10.00000000
1943741,1.00000000,1.00000000,0.00000000,0.08000000,39,1.00000000
1943752,10.00000000,10.00000000,0.00000000,0.08000000,39,10.00000000
1943816,299.50000000,299.50000000,0.00000000,0.08000000,39,299.50000000
1943830,1000.00000000,1000.00000000,0.00000000,0.08000000,39,1000.00000000
1943845,33124.00000000,33124.00000000,0.00000000,0.08000000,41,33120.00000000
1944043,1.00000005,1.00000005,0.00000000,0.08000000,43,1.00000005
1944046,10.00000000,10.00000000,0.00000000,0.08000000,44,10.00000000
1944073,259.63000000,259.63000000,0.00000000,0.08000000,44,259.63000000
1944088,0.02000000,0.01000000,0.01000000,0.09000000,45,0.01000000
1944097,0.10000000,0.10000000,0.00000000,0.09000000,45,0.10000000
1944106,2.00000000,2.00000000,0.00000000,0.09000000,45,2.00000000
1944142,45.00000000,45.00000000,0.00000000,0.09000000,45,45.00000000
1944174,100.00000000,100.00000000,0.00000000,0.09000000,45,100.00000000
1944181,994.00000000,994.00000000,0.00000000,0.09000000,45,994.00000000
1944206,23.00000000,23.00000000,0.00000000,0.09000000,46,23.00000000
1944211,22.00000000,22.00000000,0.00000000,0.09000000,47,22.00000000
1944230,1.00000005,1.00000005,0.00000000,0.09000000,47,1.00000005
1944231,42.00000000,42.00000000,0.00000000,0.09000000,48,42.00000000
1944237,4.00000000,4.00000000,0.00000000,0.09000000,49,4.00000000
1944244,23.00000000,23.00000000,0.00000000,0.09000000,50,23.00000000
1944246,26.00000006,26.00000006,0.00000000,0.09000000,50,26.00000006
1944257,9.00000000,9.00000000,0.00000000,0.09000000,51,9.00000000
1944258,9.00000000,9.00000000,0.00000000,0.09000000,52,9.00000000
1944261,8.00000000,8.00000000,0.00000000,0.09000000,54,4.00000000
1944284,0.03000000,0.00000000,0.03000000,0.12000000,55,0.03000000
1944358,26.00000006,26.00000006,0.00000000,0.12000000,55,26.00000006
1944369,3.00000000,3.00000000,0.00000000,0.12000000,59,1.00000000
1944398,1197.00000000,1197.00000000,0.00000000,0.12000000,59,998.00000000
1944403,898.00000000,898.00000000,0.00000000,0.12000000,59,898.00000000
1944411,0.18000000,0.18000000,0.00000000,0.12000000,60,0.18000000
1944500,0.00010000,0.00010000,0.00000000,0.12000000,61,0.00010000
1944542,0.20000000,0.20000000,0.00000000,0.12000000,62,0.20000000
1944605,0.50000000,0.50000000,0.00000000,0.12000000,64,0.50000000
1944633,2.00000000,2.00000000,0.00000000,0.12000000,65,2.00000000
1944655,1.00000000,1.00000000,0.00000000,0.12000000,65,0.80000000
1944665,0.10000000,0.10000000,0.00000000,0.12000000,65,0.10000000
1944671,3.00000000,3.00000000,0.00000000,0.12000000,65,3.00000000
1944701,2.00000000,2.00000000,0.00000000,0.12000000,66,2.00000000
1944702,1000.00000000,1000.00000000,0.00000000,0.12000000,66,1000.00000000
1944705,1000.00000000,1000.00000000,0.00000000,0.12000000,67,1000.00000000
1944708,103.30000000,103.30000000,0.00000000,0.12000000,69,99.50000000
1944712,0.12300000,0.12300000,0.00000000,0.12000000,70,0.12300000
1944715,1503.85000000,1503.85000000,0.00000000,0.12000000,70,1503.85000000
1944724,1500.20000000,1500.20000000,0.00000000,0.12000000,70,1500.20000000
1944728,1101.10000000,1101.10000000,0.00000000,0.12000000,70,1101.10000000
1944736,4.47000000,4.47000000,0.00000000,0.12000000,70,4.47000000
1944744,299.90000000,299.90000000,0.00000000,0.12000000,70,299.90000000
1944808,153.00000000,153.00000000,0.00000000,0.12000000,71,153.00000000
1944913,153.00000000,153.00000000,0.00000000,0.12000000,71,153.00000000
1944948,9.00000000,9.00000000,0.00000000,0.12000000,72,9.00000000
1944958,2.00000000,2.00000000,0.00000000,0.12000000,73,2.00000000
1944987,3.00000000,3.00000000,0.00000000,0.12000000,74,3.00000000
1944991,1.10000000,1.10000000,0.00000000,0.12000000,75,1.10000000
1944995,10.00000000,10.00000000,0.00000000,0.12000000,76,10.00000000
1944998,50.00000000,50.00000000,0.00000000,0.12000000,76,50.00000000
1945005,2.00000000,2.00000000,0.00000000,0.12000000,76,2.00000000
1945012,4.00000000,4.00000000,0.00000000,0.12000000,76,4.00000000
1945020,26000.00000000,26000.00000000,0.00000000,0.12000000,76,25900.00000000
1945027,1364.00000000,1364.00000000,0.00000000,0.12000000,77,1363.00000000
1945031,475.13500000,475.13500000,0.00000000,0.12000000,77,475.13500000
1945045,2.22200000,2.22200000,0.00000000,0.12000000,77,2.22200000
1945070,2309.57000000,2309.57000000,0.00000000,0.12000000,78,2309.57000000
1945095,171.99930845,171.99930845,0.00000000,0.12000000,78,171.99930845
1945099,14167.00000000,14167.00000000,0.00000000,0.12000000,78,14167.00000000
1945120,10.00000000,10.00000000,0.00000000,0.12000000,79,10.00000000
1945186,1.00000000,1.00000000,0.00000000,0.12000000,80,1.00000000
1945200,10.00000000,10.00000000,0.00000000,0.12000000,80,10.00000000
1945235,35417.00000000,35417.00000000,0.00000000,0.12000000,80,35417.00000000
1945247,5.00000000,5.00000000,0.00000000,0.12000000,80,5.00000000
1945248,1362.00000000,1362.00000000,0.00000000,0.12000000,80,1362.00000000
1945278,531.88000000,531.88000000,0.00000000,0.12000000,80,531.88000000
1945293,1360.00000000,1360.00000000,0.00000000,0.12000000,80,1360.00000000
1945314,1.00000000,1.00000000,0.00000000,0.12000000,81,1.00000000
1945370,100.00000000,100.00000000,0.00000000,0.12000000,81,100.00000000
1945393,189.00000000,189.00000000,0.00000000,0.12000000,81,189.00000000
1945407,100.00000000,100.00000000,0.00000000,0.12000000,81,100.00000000
1945415,100.00000000,100.00000000,0.00000000,0.12000000,82,100.00000000
1945434,65.90959308,65.90959308,0.00000000,0.12000000,82,65.90959308
1945456,1.00000000,1.00000000,0.00000000,0.12000000,84,1.00000000
1945463,64.88042686,64.88042686,0.00000000,0.12000000,84,64.88042686
1945477,2.00000000,2.00000000,0.00000000,0.12000000,84,2.00000000
1945481,831.20000000,831.20000000,0.00000000,0.12000000,84,531.20000000
1945488,64.86000000,64.86000000,0.00000000,0.12000000,84,64.86000000
1945493,1.00000000,1.00000000,0.00000000,0.12000000,86,1.00000000
1945510,64.70000000,64.70000000,0.00000000,0.12000000,86,64.70000000
1945519,300.70000000,300.70000000,0.00000000,0.12000000,86,300.70000000
1945542,1500.00000000,1500.00000000,0.00000000,0.12000000,86,1500.00000000
1945549,3789.00000000,3789.00000000,0.00000000,0.12000000,86,3789.00000000
