block,total_in,total_out,net_flow,cumulative_balance,unique_participants,max_single_tx
2016834,100.00000000,0.00000000,100.00000000,100.00000000,1,100.00000000
2016836,0.22000000,0.00000000,0.22000000,100.22000000,1,0.22000000
2016841,0.00000000,0.86328000,-0.86328000,99.35672000,1,0.86328000
2039428,0.22000000,0.00738982,0.21261018,99.56933018,2,0.22000000
2039436,0.00000000,0.00106305,-0.00106305,99.56826713,2,0.00106305
2078530,0.25000000,0.00752489,0.24247511,99.81074225,3,0.25000000
2078533,0.00000000,0.00121238,-0.00121238,99.80952987,3,0.00121238
2078683,0.34000000,0.00752489,0.33247511,100.14200498,3,0.34000000
2078689,0.00000000,0.00166238,-0.00166238,100.14034261,3,0.00166238
2078875,0.21000000,0.00748430,0.20251570,100.34285830,3,0.21000000
2078882,0.00000000,0.00101258,-0.00101258,100.34184573,3,0.00101258
2079162,0.20100000,0.00000000,0.20100000,100.54284573,3,0.20100000
2079394,0.20100000,0.00000000,0.20100000,100.74384573,3,0.20100000
2079510,0.34000000,0.00746429,0.33253571,101.07638144,3,0.34000000
2079518,0.00000000,0.00166268,-0.00166268,101.07471876,3,0.00166268
2079551,0.23000000,0.00746429,0.22253571,101.29725448,3,0.23000000
2079553,0.00000000,0.87323014,-0.87323014,100.42402433,3,0.87323014
2082852,0.22200000,0.00754133,0.21445867,100.63848301,4,0.22200000
2082856,0.00000000,0.00107229,-0.00107229,100.63741071,4,0.00107229
2087851,0.20000000,0.00000000,0.20000000,100.83741071,5,0.20000000
2089100,0.21800000,0.00754959,0.21045041,101.04786112,5,0.21800000
2089118,0.00000000,0.82580741,-0.82580741,100.22205372,5,0.82580741
2089122,0.22200000,0.00754959,0.21445041,100.43650413,6,0.22200000
2089133,0.21000000,0.00754959,0.20245041,100.63895453,7,0.21000000
2089177,0.21200000,0.00865101,0.20334899,100.84230353,7,0.21200000
2089182,0.00000000,0.79441541,-0.79441541,100.04788812,7,0.79441541
2089184,0.00000000,0.00102211,-0.00102211,100.04686601,7,0.00102211
2089222,0.21400000,0.00757875,0.20642125,100.25328726,8,0.21400000
2089231,0.00000000,0.00103211,-0.00103211,100.25225515,8,0.00103211
2089234,0.20400000,0.00000000,0.20400000,100.45625515,9,0.20400000
2089265,0.21400000,0.00757875,0.20642125,100.66267640,9,0.21400000
2089274,0.00000000,0.00103211,-0.00103211,100.66164429,9,0.00103211
2089320,0.20800000,0.00757875,0.20042125,100.86206554,9,0.20800000
2089322,0.00000000,0.00100211,-0.00100211,100.86106343,9,0.00100211
2089355,0.22600000,0.00757875,0.21842125,101.07948468,9,0.22600000
2089360,0.20400000,0.00109211,0.20290789,101.28239257,9,0.20400000
2089402,0.22800000,0.00757875,0.22042125,101.50281382,9,0.22800000
2089406,0.00000000,0.00110211,-0.00110211,101.50171171,9,0.00110211
2089548,0.20200000,0.00000000,0.20200000,101.70371171,9,0.20200000
2089571,0.21200000,0.00757875,0.20442125,101.90813296,9,0.21200000
2089578,0.00000000,0.00102211,-0.00102211,101.90711085,9,0.00102211
2089663,0.21400000,0.00759982,0.20640018,102.11351103,9,0.21400000
2089668,0.00000000,0.80991432,-0.80991432,101.30359671,9,0.80991432
2089674,0.22200000,0.00759982,0.21440018,101.51799690,9,0.22200000
2089680,0.00000000,0.84130632,-0.84130632,100.67669057,9,0.84130632
2089682,0.21200000,0.00759982,0.20440018,100.88109076,9,0.21200000
2089685,0.00000000,0.00102200,-0.00102200,100.88006876,9,0.00102200
2089774,0.21000000,0.00759982,0.20240018,101.08246894,9,0.21000000
2089776,0.00000000,0.00101200,-0.00101200,101.08145694,9,0.00101200
2089925,0.22800000,0.00762535,0.22037465,101.30183159,9,0.22800000
2089930,0.00000000,0.00110187,-0.00110187,101.30072972,9,0.00110187
2089935,0.20400000,0.00000000,0.20400000,101.50472972,9,0.20400000
2089974,0.26000000,0.00762535,0.25237465,101.75710437,9,0.26000000
2089976,0.00000000,0.00126187,-0.00126187,101.75584250,9,0.00126187
2090134,0.20000000,0.00000000,0.20000000,101.95584250,9,0.20000000
2090202,0.20000000,0.00000000,0.20000000,102.15584250,9,0.20000000
2090228,0.20800000,0.00765549,0.20034451,102.35618701,9,0.20800000
2090231,0.00000000,0.78615184,-0.78615184,101.57003516,9,0.78615184
2090251,0.21800000,0.00765549,0.21034451,101.78037967,9,0.21800000
2090256,0.00000000,0.00105172,-0.00105172,101.77932795,9,0.00105172
2090259,0.20800000,0.00765549,0.20034451,101.97967245,9,0.20800000
2090263,0.00000000,0.00100172,-0.00100172,101.97867073,9,0.00100172
2090269,0.22800000,0.00765549,0.22034451,102.19901524,9,0.22800000
2090272,0.00000000,0.86463184,-0.86463184,101.33438339,9,0.86463184
2090295,0.22800000,0.00765549,0.22034451,101.55472790,9,0.22800000
2090301,0.00000000,0.86463184,-0.86463184,100.69009606,9,0.86463184
2090305,0.22600000,0.00765549,0.21834451,100.90844056,9,0.22600000
2090312,0.00000000,0.85678384,-0.85678384,100.05165672,9,0.85678384
2090343,0.20600000,0.00000000,0.20600000,100.25765672,9,0.20600000
2090428,0.20200000,0.00000000,0.20200000,100.45965672,9,0.20200000
2090486,0.20800000,0.00764684,0.20035316,100.66000988,9,0.20800000
2090512,0.00000000,0.78618580,-0.78618580,99.87382408,9,0.78618580
2090559,0.21800000,0.00764684,0.21035316,100.08417724,9,0.21800000
2090565,0.00000000,0.00105177,-0.00105177,100.08312547,9,0.00105177
2090584,0.21000000,0.00764684,0.20235316,100.28547863,9,0.21000000
2090594,0.00000000,0.00101177,-0.00101177,100.28446687,9,0.00101177
2090612,0.22600000,0.00764684,0.21835316,100.50282003,9,0.22600000
